feature,corrcoef,category
Left Frontal Pole,-0.022123735060659237,No Correlation
Right Frontal Pole,-0.038967240507281654,No Correlation
Left Insular Cortex,-0.006490391996604091,No Correlation
Right Insular Cortex,0.06345539699796045,No Correlation
Left Superior Frontal Gyrus,-0.07784027024461578,No Correlation
Right Superior Frontal Gyrus,-0.010639653625064745,No Correlation
Left Middle Frontal Gyrus,-0.06305264478489571,No Correlation
Right Middle Frontal Gyrus,-0.0038257479891668743,No Correlation
"Left Inferior Frontal Gyrus, pars triangularis",-0.08489527564184093,No Correlation
"Right Inferior Frontal Gyrus, pars triangularis",-0.21808634877633448,No Correlation
"Left Inferior Frontal Gyrus, pars opercularis",-0.10763696129093568,No Correlation
"Right Inferior Frontal Gyrus, pars opercularis",-0.052047904627954035,No Correlation
Left Precentral Gyrus,0.07266685104992071,No Correlation
Right Precentral Gyrus,0.1110440691166471,No Correlation
Left Temporal Pole,-0.083781660457472,No Correlation
Right Temporal Pole,-0.1019999580414741,No Correlation
"Left Superior Temporal Gyrus, anterior division",0.019495917651950558,No Correlation
"Right Superior Temporal Gyrus, anterior division",0.029035180813757163,No Correlation
"Left Superior Temporal Gyrus, posterior division",0.03082568301130688,No Correlation
"Right Superior Temporal Gyrus, posterior division",-0.03659189529488163,No Correlation
"Left Middle Temporal Gyrus, anterior division",-0.08001871430087773,No Correlation
"Right Middle Temporal Gyrus, anterior division",0.0397478843824435,No Correlation
"Left Middle Temporal Gyrus, posterior division",0.048219055771600954,No Correlation
"Right Middle Temporal Gyrus, posterior division",0.10366638631588074,No Correlation
"Left Middle Temporal Gyrus, temporooccipital part",0.09417011671215866,No Correlation
"Right Middle Temporal Gyrus, temporooccipital part",0.031247914963484284,No Correlation
"Left Inferior Temporal Gyrus, anterior division",0.0008531515347195251,No Correlation
"Right Inferior Temporal Gyrus, anterior division",0.13460115864269898,No Correlation
"Left Inferior Temporal Gyrus, posterior division",0.025265747493412673,No Correlation
"Right Inferior Temporal Gyrus, posterior division",0.19049528061481166,No Correlation
"Left Inferior Temporal Gyrus, temporooccipital part",-0.017361376870615553,No Correlation
"Right Inferior Temporal Gyrus, temporooccipital part",0.020576524276784473,No Correlation
