feature,VIF
Caudate_L,4.8556198983998335
Frontal_Inf_Oper_L,4.764640569244136
Frontal_Sup_Medial_R,4.748954415754171
Thalamus_R,4.614676545941951
Parietal_Inf_R,4.596221377724541
Angular_R,4.524083423421079
SupraMarginal_R,4.465331293680248
Vermis_9,4.425275814649491
Cingulum_Mid_L,4.2488686947623915
Cerebelum_9_R,4.081810859031101
Frontal_Sup_Orb_R,4.04441942347241
Cerebelum_Crus2_L,4.036173939072664
Cerebelum_3_L,4.027771944998258
Amygdala_R,3.92325392032561
Frontal_Med_Orb_L,3.9209173458648188
Cuneus_L,3.8868298091896603
Vermis_4_5,3.7501958254080003
Hippocampus_L,3.740654771821501
subject,3.5332254257650195
Olfactory_L,3.4388432278474927
Temporal_Pole_Mid_R,3.434697400270505
Vermis_1_2,3.3750939816679963
Angular_L,3.2380320821538233
Pallidum_L,3.142972845260873
Vermis_10,2.9502812044838795
Heschl_R,2.9391401167813016
Cingulum_Post_R,2.9024095770445504
Cerebelum_7b_R,2.8086877280953293
Cerebelum_10_L,2.7167831695998172
Cerebelum_10_R,2.5423105352353637
Paracentral_Lobule_L,2.1167215904006245
