feature,VIF
Left Subcallosal Cortex,4.826600924539921
Left Frontal Medial Cortex,4.681787092414664
Left Middle Frontal Gyrus,4.402739635396214
Left Angular Gyrus,4.070229058754674
Right Angular Gyrus,4.059189966580271
"Left Inferior Temporal Gyrus, posterior division",3.9583170713934184
Left Planum Polare,3.87382952167749
Right Superior Parietal Lobule,3.867239232689143
Right Heschl's Gyrus (includes H1 and H2),3.848085038745615
"Left Middle Temporal Gyrus, temporooccipital part",3.839725740176972
"Left Middle Temporal Gyrus, anterior division",3.8016204638618953
"Left Cingulate Gyrus, anterior division",3.7603755478414325
Right Frontal Operculum Cortex,3.6868608461743433
Right Parietal Operculum Cortex,3.6795722575378083
Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3.4748451701037433
"Right Inferior Temporal Gyrus, posterior division",3.4095426814110175
"Right Parahippocampal Gyrus, anterior division",3.384408924842902
"Left Temporal Fusiform Cortex, anterior division",3.353575061490492
subject,3.323677215891914
"Right Middle Temporal Gyrus, anterior division",3.241996848621828
"Left Cingulate Gyrus, posterior division",3.2155064711610004
"Right Temporal Fusiform Cortex, anterior division",3.1017237720004904
Right Cuneal Cortex,2.9302133283950256
"Left Parahippocampal Gyrus, posterior division",2.836825428699224
