feature,VIF
subject,1.1710769579735956
Feat 15,1.0344348933451644
Feat 16,1.0273758858593478
Feat 12,1.0245538561078034
Feat 19,1.0173380272053738
Feat 8,1.0153279748152184
Feat 6,1.0089249342829687
Feat 2,1.0088061222167846
Feat 5,1.0077678292503913
Feat 10,1.0075109631348087
Feat 21,1.0066852749253266
Feat 3,1.0054483346168828
Feat 13,1.0019859893931606
Feat 4,1.001303052776019
Feat 7,1.0012988269405432
Feat 20,1.0009237470385872
Feat 11,1.0008626560492977
Feat 17,1.0001263950095882
Feat 14,1.0001123799229785
Feat 1,1.0000999526732115
Feat 9,1.000099836351642
Feat 18,1.000090026058497
