feature,VIF
subject,1.1566914688077172
Feat 15,1.024835884249118
Feat 12,1.0169629792535828
Feat 6,1.0150002796848663
Feat 4,1.0134165466570597
Feat 5,1.0098540414507569
Feat 14,1.0093707354178607
Feat 22,1.0082792309569244
Feat 36,1.0068534317030102
Feat 2,1.0064431957023354
Feat 21,1.0056747453737267
Feat 11,1.0053229974011233
Feat 31,1.0031388555485725
Feat 17,1.0027135183796647
Feat 13,1.0026822796053245
Feat 37,1.0026441530715973
Feat 38,1.0022755635164122
Feat 8,1.0018746972373604
Feat 19,1.0018742453399205
Feat 3,1.0018451452297275
Feat 7,1.0016958459033094
Feat 28,1.0015859228111372
Feat 26,1.0014971872678844
Feat 16,1.0011919811200929
Feat 9,1.0008039429886117
Feat 50,1.0006899710901658
Feat 48,1.0006876327643182
Feat 39,1.0006610615450577
Feat 10,1.0006596355185098
Feat 49,1.000584311247078
Feat 24,1.0004973992435613
Feat 33,1.000487901684966
Feat 27,1.0004719331121146
Feat 1,1.0004376212981707
Feat 43,1.0004266972434277
Feat 44,1.0004018563360584
Feat 30,1.000357473580415
Feat 41,1.000337909180519
Feat 47,1.0003068137219857
Feat 42,1.0002603748956547
Feat 29,1.000252168182077
Feat 25,1.0002488101437663
Feat 40,1.0002348410176263
Feat 20,1.000217276281201
Feat 51,1.000192060606968
Feat 34,1.000182847758668
Feat 18,1.0000909440742212
Feat 32,1.000075967124381
Feat 23,1.0000522448118583
Feat 46,1.0000194674570122
Feat 45,1.0000179764568744
Feat 35,1.0000008665610822
