feature,VIF
GM Superior parietal lobule 7PC,4.283071693030217
GM Superior parietal lobule 5L,4.01298099119179
GM Primary motor cortex BA4a,3.9217739792954758
GM Medial geniculate body,3.839440932829184
GM Primary auditory cortex TE1.2,3.7977457950627573
GM Anterior intra-parietal sulcus hIP1,3.7930856330510694
GM Hippocampus cornu ammonis,3.6860422947851545
GM Inferior parietal lobule PGp,3.6766660064529066
GM Secondary somatosensory cortex / Parietal operculum OP2,3.641569597167162
GM Insula Ig1,3.465134424598758
GM Amygdala_centromedial group,3.0113458390802768
WM Fornix,2.974827603082537
GM Inferior parietal lobule PFm,2.9683467145014752
subject,2.9280498394225014
GM Hippocampus entorhinal cortex,2.84614590119452
WM Superior occipito-frontal fascicle,2.5037509488266743
GM Mamillary body,2.494312473222041
GM Superior parietal lobule 5Ci,2.467695747506755
GM Superior parietal lobule 7M,2.3970038738405286
