feature,VIF
Feat 14,3.599485971577808
Feat 8,3.097940485732752
Feat 18,2.8056848022829306
Feat 31,2.398427972884871
Feat 46,2.163831578400576
Feat 50,2.0748962822872423
Feat 16,1.9501966493767846
Feat 38,1.9488864510114297
Feat 36,1.930680900218428
Feat 3,1.8979495040402987
Feat 10,1.8059977825644955
Feat 21,1.7822102628110303
Feat 9,1.738104887792892
Feat 13,1.7343783156417423
Feat 20,1.7313539050195437
Feat 44,1.6661726950435685
Feat 33,1.663261611309456
Feat 7,1.6466009848202705
Feat 37,1.6462057961223309
Feat 6,1.6032169273259202
Feat 26,1.59075275487251
Feat 22,1.5805045997118112
Feat 27,1.5769018461277993
Feat 28,1.5713829808871564
Feat 25,1.5568423968057676
Feat 29,1.5403853256750597
Feat 12,1.517934485890278
Feat 2,1.4978934651235514
Feat 30,1.48511573759654
Feat 24,1.4824115997471912
Feat 4,1.4795878262045477
Feat 5,1.4726645934516476
Feat 41,1.4618205613527497
Feat 11,1.4537940994380703
Feat 35,1.4390522138987494
Feat 45,1.4136317303878199
Feat 49,1.4135708116818335
Feat 42,1.4121530722686249
Feat 23,1.3708321320499912
Feat 48,1.3636586385190637
Feat 43,1.352226662216134
Feat 19,1.3447815683158884
Feat 17,1.3390174277656377
Feat 39,1.3227444928337564
Feat 40,1.3032687275408483
Feat 47,1.2781036035348137
Feat 15,1.2752500134600682
Feat 34,1.2293374607779448
subject,1.228486075383909
Feat 1,1.2076882302159246
Feat 32,1.1787406266627682
