feature,VIF
Superior Frontal Gyrus,4.805569246211812
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),4.734634888836717
Parietal Operculum Cortex,4.323953906407516
Angular Gyrus,4.319209193605032
Superior Parietal Lobule,4.185908783625469
"Cingulate Gyrus, anterior division",3.7337442609791585
Frontal Operculum Cortex,3.7201896385933995
"Middle Temporal Gyrus, anterior division",3.697547924969437
"Inferior Temporal Gyrus, posterior division",3.372409928051483
Planum Polare,3.1747167910863547
Frontal Medial Cortex,3.0505134464564296
"Cingulate Gyrus, posterior division",2.9887127748139264
Cuneal Cortex,2.8839411936348673
subject,2.8675386816253003
"Parahippocampal Gyrus, posterior division",2.2604633499403017
"Temporal Fusiform Cortex, anterior division",1.8875840615056687
