feature,VIF
subject,1.164623693774032
Feat 14,1.0245833795732666
Feat 15,1.019491204106049
Feat 5,1.0183540516063234
Feat 4,1.0164182375575912
Feat 23,1.015751795233065
Feat 13,1.0133609354487787
Feat 2,1.0071499726140334
Feat 18,1.0057149116749304
Feat 16,1.0054818685023745
Feat 3,1.0046074236058
Feat 10,1.0037356468238976
Feat 37,1.0036172768465321
Feat 19,1.0021270291489268
Feat 20,1.0021207407566037
Feat 41,1.0019098977827445
Feat 50,1.0018943305759644
Feat 34,1.001793526720628
Feat 6,1.001589766040753
Feat 49,1.001374242274322
Feat 27,1.00121258533283
Feat 39,1.0011509600027797
Feat 51,1.001084239112526
Feat 43,1.000985204170705
Feat 22,1.0009700855676302
Feat 40,1.0009386932824302
Feat 9,1.0008206214977045
Feat 30,1.0006484553360737
Feat 42,1.0005794399801806
Feat 35,1.0005582023279944
Feat 11,1.000526016565031
Feat 31,1.0004791460972942
Feat 26,1.0004698474983535
Feat 25,1.0004625689553601
Feat 24,1.0004029581153915
Feat 8,1.0003658038499361
Feat 21,1.0003614453624186
Feat 1,1.0003401153074882
Feat 44,1.0003194475791588
Feat 45,1.0002487528517148
Feat 28,1.000164472612444
Feat 29,1.0001534360826585
Feat 7,1.0001455278714773
Feat 32,1.0000534589554706
Feat 17,1.0000347206963034
Feat 48,1.0000331267726477
Feat 46,1.0000147354416105
Feat 36,1.0000090268225377
Feat 38,1.0000065566349379
Feat 33,1.0000039001560335
Feat 47,1.0000032073261673
Feat 12,1.0000006987161567
