feature,VIF
subject,1.3110279471443511
Feat 16,1.0341360364179624
Feat 15,1.0320440360232404
Feat 10,1.0190622104606273
Feat 9,1.0187454529093556
Feat 22,1.0179684050976023
Feat 19,1.0173927580258564
Feat 38,1.015753769051677
Feat 6,1.0119242281526233
Feat 42,1.0098176092274382
Feat 28,1.0089013982416268
Feat 2,1.007270383619814
Feat 8,1.0071162290218014
Feat 21,1.006668909958797
Feat 4,1.0065674418731112
Feat 11,1.0064283047009983
Feat 17,1.005702279963016
Feat 5,1.0054133958438456
Feat 32,1.0050379102791873
Feat 35,1.0050058379771243
Feat 29,1.0049858974308594
Feat 30,1.0049168325374092
Feat 26,1.0048733255055387
Feat 34,1.0047528951407896
Feat 13,1.0046270839090283
Feat 50,1.0032276542843883
Feat 37,1.0027875339270358
Feat 3,1.002610767177051
Feat 62,1.002309372592232
Feat 33,1.0022170914663844
Feat 14,1.0020968265469559
Feat 55,1.0019247531853979
Feat 12,1.0015601666746559
Feat 20,1.0014361468648534
Feat 31,1.0013892841661423
Feat 48,1.0013287033031493
Feat 51,1.0013038135424595
Feat 24,1.001139372253576
Feat 60,1.0009981423032395
Feat 40,1.0009799235374452
Feat 43,1.0009619527008338
Feat 27,1.0009326647601922
Feat 54,1.0009294077427182
Feat 41,1.0008672752950143
Feat 36,1.0007756523007134
Feat 23,1.0007283662397686
Feat 84,1.0007098142720403
Feat 25,1.0006411449122805
Feat 47,1.000525723518413
Feat 75,1.0005076351197995
Feat 7,1.0004157898257258
Feat 18,1.0004120674867485
Feat 139,1.0003924672586946
Feat 67,1.0003776346760882
Feat 59,1.0003666974301308
Feat 82,1.0003429550962009
Feat 126,1.0003350375992088
Feat 133,1.0003296516731583
Feat 46,1.000299859892461
Feat 130,1.0002978902974855
Feat 65,1.0002732377277426
Feat 95,1.000252979384479
Feat 68,1.000242589978821
Feat 86,1.0002410357805755
Feat 137,1.000239015264792
Feat 111,1.0001996510471003
Feat 81,1.0001922811688677
Feat 44,1.000188266650349
Feat 154,1.0001728034447854
Feat 184,1.0001666761727248
Feat 143,1.0001662507197548
Feat 166,1.0001568871346855
Feat 112,1.0001520820314116
Feat 89,1.0001516592318027
Feat 91,1.0001488966246588
Feat 53,1.0001400494465444
Feat 64,1.0001337612528558
Feat 56,1.0001310031618345
Feat 159,1.0001292748252444
Feat 109,1.0001146052417702
Feat 150,1.0001141045874171
Feat 78,1.0001099727513307
Feat 108,1.0001092427251426
Feat 192,1.0001004234786353
Feat 110,1.0000999673392934
Feat 140,1.000095255262926
Feat 45,1.0000937183954803
Feat 209,1.0000915997317898
Feat 107,1.000091372260685
Feat 98,1.0000896589742743
Feat 168,1.0000773097318034
Feat 144,1.0000712520563813
Feat 174,1.000064359794061
Feat 128,1.0000615349686945
Feat 149,1.0000605955845459
Feat 83,1.0000599415379428
Feat 57,1.00005919619567
Feat 90,1.0000588235894141
Feat 196,1.0000582591492158
Feat 136,1.00005784559361
Feat 80,1.0000576961290792
