feature,VIF
b'7Networks_LH_Default_PFC_3',4.887707154961339
b'7Networks_LH_SalVentAttn_ParOper_1',4.664089147688331
b'7Networks_LH_Default_PFC_4',4.392237459251895
b'7Networks_RH_Default_Temp_2',4.341890182217806
b'7Networks_LH_Default_PFC_7',4.31080815533469
b'7Networks_RH_SomMot_2',4.296249318781888
b'7Networks_RH_Default_PFCdPFCm_3',4.295896448370925
b'7Networks_LH_Limbic_TempPole_2',4.2449770777584614
b'7Networks_RH_Cont_Par_1',4.190884515504859
b'7Networks_RH_SalVentAttn_TempOccPar_1',4.179270268476555
b'7Networks_RH_Default_Temp_3',4.114309905210469
b'7Networks_LH_SalVentAttn_PFCl_1',4.063788959267896
b'7Networks_LH_SalVentAttn_Med_2',3.9101734032895497
b'7Networks_LH_Cont_Cing_1',3.9084055067874437
b'7Networks_RH_Limbic_OFC_1',3.8936726029457267
b'7Networks_RH_Limbic_TempPole_1',3.70879999553031
b'7Networks_LH_SalVentAttn_FrOperIns_1',3.70792368896524
b'7Networks_RH_SomMot_8',3.706994103503748
b'7Networks_LH_Default_Par_1',3.6640750619231444
b'7Networks_RH_Cont_Par_2',3.6513325483018493
b'7Networks_RH_SomMot_4',3.467781185383308
b'7Networks_LH_Cont_pCun_1',3.1600241013512425
b'7Networks_LH_DorsAttn_Post_6',3.0457129354362387
b'7Networks_RH_SomMot_6',3.043000684786725
b'7Networks_LH_Vis_1',2.8892577226905196
subject,2.770924721639405
b'7Networks_RH_Default_pCunPCC_1',2.235616653670586
