feature,VIF
Brodmann area 34,4.872052679624286
Brodmann area 20,4.869715029026084
Brodmann area 27,4.834768235508366
Putamen,4.553617878770386
Brodmann area 40,4.4935875999350445
Brodmann area 8,4.294964407842131
Brodmann area 23,4.0766756631067995
Ventral Posterior Lateral Nucleus,4.028533292970112
Hypothalamus,3.5666329167372965
Brodmann area 43,3.4556306501042315
Caudate Tail,3.3326850771530294
Hippocampus,3.273680736954498
Brodmann area 29,3.107844145448515
Brodmann area 10,3.0419369356583235
Midline Nucleus,3.0137367561249806
Brodmann area 25,2.826700154477287
Brodmann area 39,2.77753367212595
subject,2.6440669543592774
Anterior Commissure,2.5831607445342843
Brodmann area 33,2.571335945302502
Brodmann area 5,2.4992527766816135
Dentate,2.1370991965505586
Red Nucleus,1.6354692363098187
