feature,VIF
Lentiform Nucleus,4.643890850706726
Angular Gyrus,4.503685441917312
Subcallosal Gyrus,4.3909989178881
Supramarginal Gyrus,4.374842589595192
Cingulate Gyrus,4.11511145048192
Superior Parietal Lobule,3.849902682733126
Tuber,3.819260655869421
Uncus,3.5532234003326404
Fastigium,3.5370654230902754
Paracentral Lobule,3.5288024743533337
subject,3.4473887069694977
Transverse Temporal Gyrus,3.222545303266429
Cerebellar Lingual,3.212558709657812
Uvula of Vermis,3.191559820544919
Culmen of Vermis,2.8904523450107016
Rectal Gyrus,2.8120613182999468
Anterior Cingulate,2.793741893205526
Lateral Ventricle,2.7673839766282113
Posterior Cingulate,2.5736310788273875
Inferior Semi-Lunar Lobule,2.255193956451132
Fourth Ventricle,2.1726058121464544
Third Ventricle,2.0094938140717415
