feature,p_value,method
Frontal Pole,0.3196113672110568,Harvard_Oxford cort 0 x 1
Insular Cortex,0.34396727172513053,Harvard_Oxford cort 0 x 1
Superior Frontal Gyrus,0.4950922881366535,Harvard_Oxford cort 0 x 1
Middle Frontal Gyrus,0.6087592611443255,Harvard_Oxford cort 0 x 1
"Inferior Frontal Gyrus, pars triangularis",0.6791287199080833,Harvard_Oxford cort 0 x 1
"Inferior Frontal Gyrus, pars opercularis",0.7642451602862254,Harvard_Oxford cort 0 x 1
Precentral Gyrus,0.6131811134333433,Harvard_Oxford cort 0 x 1
Temporal Pole,0.31594006117367396,Harvard_Oxford cort 0 x 1
"Superior Temporal Gyrus, anterior division",0.8356629461235651,Harvard_Oxford cort 0 x 1
"Superior Temporal Gyrus, posterior division",0.7940066847168151,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, anterior division",0.7645519880508549,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, posterior division",0.8399533127627731,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, temporooccipital part",0.9315017347125056,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, anterior division",0.869365901983198,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, posterior division",0.7745294877053259,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, temporooccipital part",0.6216003048399337,Harvard_Oxford cort 0 x 1
Postcentral Gyrus,0.5057473764608725,Harvard_Oxford cort 0 x 1
Superior Parietal Lobule,0.37421664475489747,Harvard_Oxford cort 0 x 1
"Supramarginal Gyrus, anterior division",0.8363696524384626,Harvard_Oxford cort 0 x 1
"Supramarginal Gyrus, posterior division",0.6614882407506788,Harvard_Oxford cort 0 x 1
Angular Gyrus,0.28916518326047075,Harvard_Oxford cort 0 x 1
"Lateral Occipital Cortex, superior division",0.41192239340903836,Harvard_Oxford cort 0 x 1
"Lateral Occipital Cortex, inferior division",0.7043340267452962,Harvard_Oxford cort 0 x 1
Intracalcarine Cortex,0.7064264976192944,Harvard_Oxford cort 0 x 1
Frontal Medial Cortex,0.3320046458520806,Harvard_Oxford cort 0 x 1
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.31825398919656084,Harvard_Oxford cort 0 x 1
Subcallosal Cortex,0.9264144864609566,Harvard_Oxford cort 0 x 1
Paracingulate Gyrus,0.2383753598075492,Harvard_Oxford cort 0 x 1
"Cingulate Gyrus, anterior division",0.8129979175660307,Harvard_Oxford cort 0 x 1
"Cingulate Gyrus, posterior division",0.4699628448000437,Harvard_Oxford cort 0 x 1
Precuneous Cortex,0.419979623622212,Harvard_Oxford cort 0 x 1
Cuneal Cortex,0.84041606844038,Harvard_Oxford cort 0 x 1
Frontal Orbital Cortex,0.9654342687924017,Harvard_Oxford cort 0 x 1
"Parahippocampal Gyrus, anterior division",0.5272610779153963,Harvard_Oxford cort 0 x 1
"Parahippocampal Gyrus, posterior division",0.5225435531865329,Harvard_Oxford cort 0 x 1
Lingual Gyrus,0.8731082467341201,Harvard_Oxford cort 0 x 1
"Temporal Fusiform Cortex, anterior division",0.8074619210961026,Harvard_Oxford cort 0 x 1
"Temporal Fusiform Cortex, posterior division",0.5123917953817719,Harvard_Oxford cort 0 x 1
Temporal Occipital Fusiform Cortex,0.8323186919115501,Harvard_Oxford cort 0 x 1
Occipital Fusiform Gyrus,0.9434430408661308,Harvard_Oxford cort 0 x 1
Frontal Operculum Cortex,0.9129060020267953,Harvard_Oxford cort 0 x 1
Central Opercular Cortex,0.7201014826743988,Harvard_Oxford cort 0 x 1
Parietal Operculum Cortex,0.9542877809833571,Harvard_Oxford cort 0 x 1
Planum Polare,0.4894905771094097,Harvard_Oxford cort 0 x 1
Heschl's Gyrus (includes H1 and H2),0.30864732810991147,Harvard_Oxford cort 0 x 1
Planum Temporale,0.8413139246583428,Harvard_Oxford cort 0 x 1
