feature,p_value,method
Frontal Pole,0.23555783186104476,Harvard_Oxford cort 0 x 1
Insular Cortex,0.231784780121893,Harvard_Oxford cort 0 x 1
Superior Frontal Gyrus,0.060410472489813814,Harvard_Oxford cort 0 x 1
Middle Frontal Gyrus,0.17113392221452073,Harvard_Oxford cort 0 x 1
"Inferior Frontal Gyrus, pars triangularis",0.08338285776370719,Harvard_Oxford cort 0 x 1
"Inferior Frontal Gyrus, pars opercularis",0.016373865855147964,Harvard_Oxford cort 0 x 1
Precentral Gyrus,0.7240704233954365,Harvard_Oxford cort 0 x 1
Temporal Pole,0.14366804280362822,Harvard_Oxford cort 0 x 1
"Superior Temporal Gyrus, anterior division",0.381075651727647,Harvard_Oxford cort 0 x 1
"Superior Temporal Gyrus, posterior division",0.28261075575280936,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, anterior division",0.153102071012575,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, posterior division",0.25599935892680287,Harvard_Oxford cort 0 x 1
"Middle Temporal Gyrus, temporooccipital part",0.2963569651722041,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, anterior division",0.027888601718941877,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, posterior division",0.3537601781922409,Harvard_Oxford cort 0 x 1
"Inferior Temporal Gyrus, temporooccipital part",0.12271188887615532,Harvard_Oxford cort 0 x 1
Postcentral Gyrus,0.8666584777521769,Harvard_Oxford cort 0 x 1
Superior Parietal Lobule,0.27117046965782166,Harvard_Oxford cort 0 x 1
"Supramarginal Gyrus, anterior division",0.3499084293756342,Harvard_Oxford cort 0 x 1
"Supramarginal Gyrus, posterior division",0.1625154239283267,Harvard_Oxford cort 0 x 1
Angular Gyrus,0.117829415589179,Harvard_Oxford cort 0 x 1
"Lateral Occipital Cortex, superior division",0.03613889305029398,Harvard_Oxford cort 0 x 1
"Lateral Occipital Cortex, inferior division",0.02708759095657248,Harvard_Oxford cort 0 x 1
Intracalcarine Cortex,0.47373449271727364,Harvard_Oxford cort 0 x 1
Frontal Medial Cortex,0.034574856096679006,Harvard_Oxford cort 0 x 1
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.9939724549779241,Harvard_Oxford cort 0 x 1
Subcallosal Cortex,0.0023362589573381245,Harvard_Oxford cort 0 x 1
Paracingulate Gyrus,0.23031601435580862,Harvard_Oxford cort 0 x 1
"Cingulate Gyrus, anterior division",0.8288960850320198,Harvard_Oxford cort 0 x 1
"Cingulate Gyrus, posterior division",0.04533993475088388,Harvard_Oxford cort 0 x 1
Precuneous Cortex,0.012101438308528993,Harvard_Oxford cort 0 x 1
Cuneal Cortex,0.08910451190503232,Harvard_Oxford cort 0 x 1
Frontal Orbital Cortex,0.04922915769850821,Harvard_Oxford cort 0 x 1
"Parahippocampal Gyrus, anterior division",0.09595674730259568,Harvard_Oxford cort 0 x 1
"Parahippocampal Gyrus, posterior division",0.9227842678824508,Harvard_Oxford cort 0 x 1
Lingual Gyrus,0.9292731747249037,Harvard_Oxford cort 0 x 1
"Temporal Fusiform Cortex, anterior division",0.013158316713746461,Harvard_Oxford cort 0 x 1
"Temporal Fusiform Cortex, posterior division",0.29558289131698284,Harvard_Oxford cort 0 x 1
Temporal Occipital Fusiform Cortex,0.607375228256603,Harvard_Oxford cort 0 x 1
Occipital Fusiform Gyrus,0.6735129844736598,Harvard_Oxford cort 0 x 1
Frontal Operculum Cortex,0.3002809704656374,Harvard_Oxford cort 0 x 1
Central Opercular Cortex,0.15681403799961124,Harvard_Oxford cort 0 x 1
Parietal Operculum Cortex,0.4693802903906419,Harvard_Oxford cort 0 x 1
Planum Polare,0.1618285775531597,Harvard_Oxford cort 0 x 1
Heschl's Gyrus (includes H1 and H2),0.17805254736736495,Harvard_Oxford cort 0 x 1
Planum Temporale,0.4509509502738872,Harvard_Oxford cort 0 x 1
Supracalcarine Cortex,0.3027693352010633,Harvard_Oxford cort 0 x 1
Occipital Pole,0.9497416979628847,Harvard_Oxford cort 0 x 1
Left Frontal Pole,0.29085678211478255,Harvard_Oxford cortl 0 x 1
Right Frontal Pole,0.1552838185760227,Harvard_Oxford cortl 0 x 1
Left Insular Cortex,0.15474777467354675,Harvard_Oxford cortl 0 x 1
Right Insular Cortex,0.498522526447551,Harvard_Oxford cortl 0 x 1
Left Superior Frontal Gyrus,0.10200788440498598,Harvard_Oxford cortl 0 x 1
