feature,p_value,method
Feat 1,0.8947083888998211,PCA
Feat 2,0.7288103971189537,PCA
Feat 3,0.8916387572849859,PCA
Feat 4,0.6812859842100614,PCA
Feat 5,0.9730954825928078,PCA
Feat 6,0.5075168363361524,PCA
Feat 7,0.31533926179139876,PCA
Feat 8,0.37298886154940947,PCA
Feat 9,0.2815197669984606,PCA
Feat 10,0.9137532433379831,PCA
Feat 11,0.747260806842146,PCA
Feat 12,0.9995071973051828,PCA
Feat 13,0.8861070405433694,PCA
Feat 14,0.5132885511298582,PCA
Feat 15,0.9755293851892063,PCA
Feat 16,0.8915576584478373,PCA
Feat 17,0.9709966123394945,PCA
Feat 18,0.9777675278536582,PCA
Feat 19,0.861472074778636,PCA
Feat 20,0.6012191906311789,PCA
Feat 21,0.5488804898055215,PCA
Feat 22,0.927156731687014,PCA
Feat 23,0.2709819843048803,PCA
Feat 24,0.9509808482217279,PCA
Feat 25,0.7890714274501001,PCA
Feat 26,0.6208331112480837,PCA
Feat 27,0.6011459178412145,PCA
Feat 28,0.49150527378487885,PCA
Feat 29,0.6969868153875041,PCA
Feat 30,0.7552348430866823,PCA
Feat 31,0.6872378789386571,PCA
Feat 32,0.8251433215125996,PCA
Feat 33,0.38321607641724864,PCA
Feat 34,0.996663337904061,PCA
Feat 35,0.8407454154967238,PCA
Feat 36,0.2699776996285109,PCA
Feat 37,0.9672689624357148,PCA
Feat 38,0.4317755884715685,PCA
Feat 39,0.32726059890346987,PCA
Feat 40,0.21652503836058157,PCA
Feat 41,0.0037382929479629454,PCA
Feat 42,0.9171259500901372,PCA
Feat 43,0.8042373313295985,PCA
Feat 44,0.8368597319284576,PCA
Feat 45,0.20355207576177042,PCA
Feat 46,0.9432022842004842,PCA
Feat 47,0.9285989646252331,PCA
Feat 48,0.663723659895565,PCA
Feat 49,0.9765224690287693,PCA
Feat 50,0.12307258144881111,PCA
Feat 51,0.5844630751628291,PCA
Feat 52,0.6273933211458271,PCA
Feat 53,0.6786038480195551,PCA
Feat 54,0.5695700842775488,PCA
Feat 55,0.4968590122766059,PCA
Feat 56,0.8569083476124194,PCA
Feat 57,0.2582765993576795,PCA
Feat 58,0.7394086282947403,PCA
Feat 59,0.6078363711503241,PCA
Feat 60,0.4154606140179835,PCA
Feat 61,0.9796147556171305,PCA
Feat 62,0.7265179939324982,PCA
Feat 63,0.6471767953772936,PCA
Feat 64,0.08310354690098035,PCA
Feat 65,0.9120937638715698,PCA
Feat 66,0.16459750202054865,PCA
Feat 67,0.8527797529828604,PCA
Feat 68,0.5274680208626789,PCA
Feat 69,0.602730412460891,PCA
Feat 70,0.11179833351488175,PCA
Feat 71,0.5988245332470683,PCA
Feat 72,0.6666769095310292,PCA
Feat 73,0.16238843039494466,PCA
Feat 74,0.9040765471944752,PCA
Feat 75,0.20206831520897883,PCA
Feat 76,0.9341503249172299,PCA
Feat 77,0.38428750673323786,PCA
Feat 78,0.2629472360913491,PCA
Feat 79,0.38708667433571076,PCA
Feat 80,0.10761563249807647,PCA
Feat 81,0.6390123402226775,PCA
Feat 82,0.6765848345389547,PCA
Feat 83,0.350900804946116,PCA
Feat 84,0.019586626493076246,PCA
Feat 85,0.08415617862763301,PCA
Feat 86,0.3584801761271817,PCA
Feat 87,0.5408931304288619,PCA
Feat 88,0.3657201105369273,PCA
Feat 89,0.8221787429088184,PCA
Feat 90,0.754364029354334,PCA
Feat 91,0.3554188745208674,PCA
Feat 92,0.5129021118811998,PCA
Feat 93,0.2870660405476508,PCA
Feat 94,0.36225727315061945,PCA
Feat 95,0.5101872202530309,PCA
Feat 96,0.824261046115704,PCA
Feat 97,0.19965311237931088,PCA
Feat 98,0.7565151847313003,PCA
Feat 99,0.694702099129094,PCA
Feat 100,0.6474138801724998,PCA
Feat 101,0.23057774333878683,PCA
Feat 102,0.6123597656476998,PCA
Feat 103,0.18181223528347254,PCA
Feat 104,0.7815505163773501,PCA
Feat 105,0.4294981043313346,PCA
Feat 106,0.8290701634411879,PCA
Feat 107,0.9829882610692087,PCA
Feat 108,0.22642735457842794,PCA
Feat 109,0.44647287190398544,PCA
Feat 110,0.6313460554657637,PCA
Feat 111,0.7945660856330388,PCA
Feat 112,0.7264843213416652,PCA
Feat 113,0.8080711960342228,PCA
Feat 114,0.9918875432345731,PCA
Feat 115,0.6510593408867119,PCA
Feat 116,0.20925856444754742,PCA
Feat 117,0.13826001499828763,PCA
Feat 118,0.6191634460236006,PCA
Feat 119,0.6764347085835933,PCA
Feat 120,0.47381854374687926,PCA
Feat 121,0.4692337246820819,PCA
Feat 122,0.7334758481638354,PCA
Feat 123,0.668702283138868,PCA
Feat 124,0.9341102651009731,PCA
Feat 125,0.44220309159213245,PCA
Feat 126,0.40416445968480774,PCA
Feat 127,0.3562021153633523,PCA
Feat 128,0.8157991644264732,PCA
Feat 129,0.02863556816738463,PCA
Feat 130,0.4174633250029163,PCA
Feat 131,0.32883519616195916,PCA
Feat 132,0.9797136507900813,PCA
Feat 133,0.4889394508520698,PCA
Feat 134,0.09398039394841677,PCA
Feat 135,0.8358822471988459,PCA
Feat 136,0.6799450199718398,PCA
Feat 137,0.6045574521525507,PCA
Feat 138,0.07676186342246565,PCA
Feat 139,0.7038107758676799,PCA
Feat 140,0.3909625243712763,PCA
Feat 141,0.24796722800863663,PCA
Feat 142,0.8946684070871898,PCA
Feat 143,0.6147450994620401,PCA
Feat 144,0.9140812048465528,PCA
Feat 145,0.356188495540205,PCA
Feat 146,0.48287422496351984,PCA
Feat 147,0.3728643609004758,PCA
Feat 148,0.7632883388428826,PCA
Feat 149,0.558049382759823,PCA
Feat 150,0.21496572753392482,PCA
Feat 151,0.3220052814844997,PCA
Feat 152,0.7369651861196003,PCA
Feat 153,0.4069057952421896,PCA
Feat 154,0.7159356551096211,PCA
Feat 155,0.48829676737822103,PCA
Feat 156,0.5223793274291703,PCA
Feat 157,0.44949911994268854,PCA
Feat 158,0.39157780477790816,PCA
Feat 159,0.22314083100778617,PCA
Feat 160,0.12738962750182306,PCA
Feat 161,0.08547182984339798,PCA
Feat 162,0.8357629631898427,PCA
Feat 163,0.878271624971761,PCA
Feat 164,0.5543247866765678,PCA
Feat 165,0.44587750213726385,PCA
Feat 166,0.8477758806265878,PCA
Feat 167,0.2722035850096018,PCA
Feat 168,0.4177775629590246,PCA
Feat 169,0.6705755666412787,PCA
Feat 170,0.253512011229635,PCA
Feat 171,0.892426127997743,PCA
Feat 172,0.21498896975396206,PCA
Feat 173,0.4658437266850184,PCA
Feat 174,0.9291216831643551,PCA
Feat 175,0.7669512432408432,PCA
Feat 176,0.5564616506532334,PCA
Feat 177,0.6807434579259548,PCA
Feat 178,0.7862548606572323,PCA
Feat 179,0.9215083737520354,PCA
Feat 180,0.37123858812906463,PCA
Feat 181,0.11588657992560038,PCA
Feat 182,0.7245243930691063,PCA
Feat 183,0.8719198929415958,PCA
Feat 184,0.7271922501722186,PCA
Feat 185,0.618737948589559,PCA
Feat 186,0.989282925091956,PCA
Feat 187,0.611398037679916,PCA
Feat 188,0.7133496524800937,PCA
Feat 189,0.9359903678778724,PCA
Feat 190,0.9269089214911583,PCA
Feat 191,0.9810949583712885,PCA
Feat 192,0.9395259829765401,PCA
Feat 193,0.547309907238468,PCA
Feat 194,0.4884310902006699,PCA
Feat 195,0.9999599740252718,PCA
Feat 196,0.8333781971949306,PCA
Feat 197,0.9727830119846096,PCA
Feat 198,0.8802091015652611,PCA
Feat 199,0.6585113141099562,PCA
Feat 200,0.0021264461269782904,PCA
Feat 201,0.9333967703624317,PCA
Feat 202,0.09368936327587724,PCA
Feat 203,0.04935912957926044,PCA
Feat 204,0.47598478966183355,PCA
Feat 205,0.49697427705075026,PCA
Feat 206,0.7311292948551746,PCA
Feat 207,0.7157058203877265,PCA
Feat 208,0.9051185174059395,PCA
Feat 209,0.5847780972599463,PCA
Feat 210,0.5577771421941105,PCA
Feat 211,0.3150355410965201,PCA
Feat 212,0.5795005862244935,PCA
Feat 213,0.1064929144872575,PCA
Feat 214,0.8424980839500924,PCA
Feat 215,0.6276055132980733,PCA
Feat 216,0.8420989300286963,PCA
Feat 217,0.35410379078595133,PCA
Feat 218,0.30380005093797063,PCA
Feat 219,0.044746005228691106,PCA
Feat 220,0.8721883309710576,PCA
Feat 221,0.4021688405522089,PCA
Feat 222,0.5750590381130778,PCA
Feat 223,0.7755002106171217,PCA
Feat 224,0.05996055601435426,PCA
Feat 225,0.3367501461498075,PCA
Feat 226,0.2029833463461098,PCA
Feat 1,0.7607217134150686,Isomap
Feat 2,0.7299335730561032,Isomap
Feat 3,0.951416551038091,Isomap
Feat 4,0.7752310650143139,Isomap
Feat 5,0.9636324090232081,Isomap
Feat 6,0.6681736532220508,Isomap
Feat 7,0.8413665948854587,Isomap
Feat 8,0.6172799942395746,Isomap
Feat 9,0.5539603601026317,Isomap
Feat 10,0.6800220112710331,Isomap
Feat 11,0.851595435426241,Isomap
Feat 12,0.2468904398607785,Isomap
Feat 13,0.6939334245224063,Isomap
Feat 14,0.7845539385440419,Isomap
Feat 15,0.5765979228363307,Isomap
Feat 16,0.4152442629302011,Isomap
Feat 17,0.5664698416326905,Isomap
Feat 18,0.5257420627852321,Isomap
Feat 19,0.43796181977251725,Isomap
Feat 20,0.6557720082498713,Isomap
Feat 21,0.6257342505597444,Isomap
Feat 22,0.9977413393560199,Isomap
Feat 23,0.9539361201749423,Isomap
Feat 24,0.23330987802057826,Isomap
Feat 25,0.42397337892777165,Isomap
Feat 26,0.8000065163709713,Isomap
Feat 27,0.7868694997816476,Isomap
Feat 28,0.4174227492417192,Isomap
Feat 29,0.2200268001837598,Isomap
