feature,p_value,method
Feat 1,0.12513725675610596,PCA
Feat 2,0.180328236049302,PCA
Feat 3,0.7957251335664475,PCA
Feat 4,0.06598107341033416,PCA
Feat 5,0.051969483731206814,PCA
Feat 6,0.2019203931817404,PCA
Feat 7,0.38471881354066806,PCA
Feat 8,0.4420310657035209,PCA
Feat 9,0.0806299713234474,PCA
Feat 10,0.4040614742792229,PCA
Feat 11,0.6998748936717365,PCA
Feat 12,0.7420502142146318,PCA
Feat 13,0.3057594883294317,PCA
Feat 14,0.1046078522864283,PCA
Feat 15,0.11297184462013991,PCA
Feat 16,0.08435914656261992,PCA
Feat 17,0.4646474463139364,PCA
Feat 18,0.1526933972934932,PCA
Feat 19,0.5299572454366788,PCA
Feat 20,0.02396933774229119,PCA
Feat 21,0.4248750810544619,PCA
Feat 22,0.24489144301165391,PCA
Feat 23,0.347267756464872,PCA
Feat 24,0.11401437739598422,PCA
Feat 25,0.242917407070923,PCA
Feat 26,0.2833687048190562,PCA
Feat 27,0.07130303100903272,PCA
Feat 28,0.8794947048790667,PCA
Feat 29,0.029633148953307716,PCA
Feat 30,0.029674803682667734,PCA
Feat 31,0.007788080985153652,PCA
Feat 32,0.9434722160692487,PCA
Feat 33,0.018862579061714697,PCA
Feat 34,0.14144156109773565,PCA
Feat 35,0.07877087060153558,PCA
Feat 36,0.7822535409766214,PCA
Feat 37,0.10943283434183844,PCA
Feat 38,0.05269550996418603,PCA
Feat 39,0.1116972754726469,PCA
Feat 40,0.05480937812697629,PCA
Feat 41,0.059497645572322636,PCA
Feat 42,0.005756317228287556,PCA
Feat 43,3.636263703870443e-05,PCA
Feat 44,0.14290998038848202,PCA
Feat 45,4.454609155466016e-05,PCA
Feat 46,0.000594986932042472,PCA
Feat 47,0.002244715950327693,PCA
Feat 48,3.8246936401444116e-05,PCA
Feat 49,7.591424820480903e-08,PCA
Feat 50,1.7789077953271976e-05,PCA
Feat 51,0.00010977738031312962,PCA
Feat 52,3.5062678530372863e-06,PCA
Feat 53,0.004756681936704218,PCA
Feat 54,0.0005170745955893654,PCA
Feat 55,8.850426854241962e-06,PCA
Feat 56,4.7119170989754013e-05,PCA
Feat 57,4.136615123977558e-05,PCA
Feat 58,0.0009321429144976051,PCA
