method,target,feat_1,feat_2,p_value
Harvard_Oxford cort 0 x 1,emotion,subject,emotion,0.47381571766982705
Harvard_Oxford cort 0 x 1,emotion,subject,priming,0.9999999999983569
Harvard_Oxford cort 0 x 1,emotion,subject,predicted_label,3.891102063310428e-09
Harvard_Oxford cort 0 x 1,emotion,emotion,subject,0.4738157176698273
Harvard_Oxford cort 0 x 1,emotion,emotion,priming,0.9647005159861323
Harvard_Oxford cort 0 x 1,emotion,emotion,predicted_label,2.077545650939758e-17
Harvard_Oxford cort 0 x 1,emotion,priming,subject,0.9999999999983569
Harvard_Oxford cort 0 x 1,emotion,priming,emotion,0.9647005159861323
Harvard_Oxford cort 0 x 1,emotion,priming,predicted_label,0.40050480428805235
Harvard_Oxford cort 0 x 1,emotion,predicted_label,subject,3.89110206331043e-09
Harvard_Oxford cort 0 x 1,emotion,predicted_label,emotion,2.077545650939758e-17
Harvard_Oxford cort 0 x 1,emotion,predicted_label,priming,0.40050480428805235
Harvard_Oxford cort 0 x 1,priming,subject,emotion,0.9965842241914877
Harvard_Oxford cort 0 x 1,priming,subject,priming,0.04982611331453931
Harvard_Oxford cort 0 x 1,priming,subject,predicted_label,4.379214459308376e-12
Harvard_Oxford cort 0 x 1,priming,emotion,subject,0.9965842241914877
Harvard_Oxford cort 0 x 1,priming,emotion,priming,0.9571053292808441
Harvard_Oxford cort 0 x 1,priming,emotion,predicted_label,0.9160354369993724
Harvard_Oxford cort 0 x 1,priming,priming,subject,0.04982611331453931
Harvard_Oxford cort 0 x 1,priming,priming,emotion,0.9571053292808441
Harvard_Oxford cort 0 x 1,priming,priming,predicted_label,1.4306535776916687e-10
Harvard_Oxford cort 0 x 1,priming,predicted_label,subject,4.379214459308376e-12
Harvard_Oxford cort 0 x 1,priming,predicted_label,emotion,0.9160354369993724
Harvard_Oxford cort 0 x 1,priming,predicted_label,priming,1.4306535776916687e-10
Harvard_Oxford cortl 0 x 1,emotion,subject,emotion,0.582728485110199
Harvard_Oxford cortl 0 x 1,emotion,subject,priming,0.9999999967762068
Harvard_Oxford cortl 0 x 1,emotion,subject,predicted_label,8.450435132497642e-12
Harvard_Oxford cortl 0 x 1,emotion,emotion,subject,0.582728485110199
Harvard_Oxford cortl 0 x 1,emotion,emotion,priming,0.9929988621338469
Harvard_Oxford cortl 0 x 1,emotion,emotion,predicted_label,2.976601352850163e-18
Harvard_Oxford cortl 0 x 1,emotion,priming,subject,0.9999999967762068
Harvard_Oxford cortl 0 x 1,emotion,priming,emotion,0.9929988621338469
Harvard_Oxford cortl 0 x 1,emotion,priming,predicted_label,0.11126663578144899
Harvard_Oxford cortl 0 x 1,emotion,predicted_label,subject,8.450435132497525e-12
Harvard_Oxford cortl 0 x 1,emotion,predicted_label,emotion,2.976601352850163e-18
Harvard_Oxford cortl 0 x 1,emotion,predicted_label,priming,0.11126663578144899
Harvard_Oxford cortl 0 x 1,priming,subject,emotion,0.9997401761024504
Harvard_Oxford cortl 0 x 1,priming,subject,priming,0.006838375520266561
Harvard_Oxford cortl 0 x 1,priming,subject,predicted_label,1.2134885487654414e-08
Harvard_Oxford cortl 0 x 1,priming,emotion,subject,0.9997401761024504
Harvard_Oxford cortl 0 x 1,priming,emotion,priming,0.7715571264372345
Harvard_Oxford cortl 0 x 1,priming,emotion,predicted_label,0.4936217290742061
Harvard_Oxford cortl 0 x 1,priming,priming,subject,0.006838375520266561
Harvard_Oxford cortl 0 x 1,priming,priming,emotion,0.7715571264372345
Harvard_Oxford cortl 0 x 1,priming,priming,predicted_label,1.8389812548461893e-12
Harvard_Oxford cortl 0 x 1,priming,predicted_label,subject,1.2134885487654059e-08
Harvard_Oxford cortl 0 x 1,priming,predicted_label,emotion,0.4936217290742061
Harvard_Oxford cortl 0 x 1,priming,predicted_label,priming,1.838981254846183e-12
Harvard_Oxford sub 0 x 1,emotion,subject,emotion,0.7704812016473476
Harvard_Oxford sub 0 x 1,emotion,subject,priming,0.9999999998226151
Harvard_Oxford sub 0 x 1,emotion,subject,predicted_label,1.0973711226303333e-06
Harvard_Oxford sub 0 x 1,emotion,emotion,subject,0.7704812016473476
Harvard_Oxford sub 0 x 1,emotion,emotion,priming,0.7491314633689417
Harvard_Oxford sub 0 x 1,emotion,emotion,predicted_label,5.673204508267749e-18
Harvard_Oxford sub 0 x 1,emotion,priming,subject,0.9999999998226151
Harvard_Oxford sub 0 x 1,emotion,priming,emotion,0.7491314633689417
Harvard_Oxford sub 0 x 1,emotion,priming,predicted_label,0.12083248560914238
Harvard_Oxford sub 0 x 1,emotion,predicted_label,subject,1.0973711226303333e-06
Harvard_Oxford sub 0 x 1,emotion,predicted_label,emotion,5.673204508267749e-18
Harvard_Oxford sub 0 x 1,emotion,predicted_label,priming,0.12083248560914246
Harvard_Oxford sub 0 x 1,priming,subject,emotion,0.9999999966258212
Harvard_Oxford sub 0 x 1,priming,subject,priming,0.5151282735978693
Harvard_Oxford sub 0 x 1,priming,subject,predicted_label,1.2251506211946167e-06
Harvard_Oxford sub 0 x 1,priming,emotion,subject,0.9999999966258212
