,congruent,incongruent,neutral
Precentral_L,-0.2788553130032263,0.05838305056643859,0.22047226243678786
Precentral_R,0.19602508983382036,-0.10200397785072031,-0.09402111198310217
Frontal_Sup_L,0.2559919234046591,-0.28703526519537187,0.031043341790714274
Frontal_Sup_R,0.09743768969783932,-0.015434823726917998,-0.0820028659709219
Frontal_Sup_Orb_L,-0.060776465443519084,0.21178349108867955,-0.15100702564516116
Frontal_Sup_Orb_R,-0.09514942749384775,0.27742431808408247,-0.18227489059023574
Frontal_Mid_L,0.09359880690553603,-0.04179830869414479,-0.051800498211390586
Frontal_Mid_R,-0.13380333597827299,0.1890882284495538,-0.055284892471279004
Frontal_Mid_Orb_L,0.10496621160073304,0.06758709231580393,-0.172553303916536
Frontal_Mid_Orb_R,0.22534100857083572,-0.045236451804686446,-0.1801045567661493
Frontal_Inf_Oper_L,-0.029834633622725433,-0.04979604252773005,0.07963067615045483
Frontal_Inf_Oper_R,-0.278357975114715,0.37597575387760174,-0.09761777876288624
Frontal_Inf_Tri_L,-0.3293358016931611,0.12114470490172452,0.2081910967914386
Frontal_Inf_Tri_R,-0.40147894773500403,0.10019979095463544,0.3012791567803675
Frontal_Inf_Orb_L,-0.13928746319134147,0.20120287922468152,-0.06191541603334243
Frontal_Inf_Orb_R,-0.18872032758386897,0.3170921752156888,-0.1283718476318217
Rolandic_Oper_L,0.3716624599466376,-0.2191851628990809,-0.15247729704755597
Rolandic_Oper_R,-0.01366844308203873,0.20235853561511186,-0.18869009253307303
Supp_Motor_Area_L,-0.1193383799750953,-0.17128272383271012,0.2906211038078055
Supp_Motor_Area_R,0.0377139776143466,-0.08001057018604475,0.0422965925716972
Olfactory_L,-0.3105860496392686,0.1080108856926291,0.20257516394663957
Olfactory_R,-0.07823282418141848,-0.04405606760626994,0.12228889178768826
Frontal_Sup_Medial_L,-0.08782712740838691,-0.2723140530538399,0.3601411804622256
Frontal_Sup_Medial_R,-0.3055684990774926,0.026858712109896127,0.27870978696759663
Frontal_Med_Orb_L,0.24873017092678695,-0.20958349509596258,-0.0391466758308258
Frontal_Med_Orb_R,-0.18538110232892815,0.17309580273101569,0.012285299597912372
Rectus_L,-0.05330023770719329,-0.10020375602949855,0.1535039937366913
Rectus_R,0.24905141367526237,-0.2861534396633467,0.037102025988084014
Insula_L,-0.014719111531539111,0.12001341910481159,-0.10529430757327403
Insula_R,0.24988147207177008,-0.041580012720716236,-0.20830145935105274
Cingulum_Ant_L,0.19777886065214711,0.09209540784360992,-0.289874268495755
Cingulum_Ant_R,0.13973510548941856,-0.17819929411124574,0.03846418862182763
Cingulum_Mid_L,-0.24013480710102608,0.3589491594643426,-0.11881435236331808
Cingulum_Mid_R,0.13187891531946816,0.11617468512216043,-0.2480536004416279
Cingulum_Post_L,-0.1070766248681308,0.17097214121827584,-0.06389551635014659
Cingulum_Post_R,-0.10326025324777341,-0.1896873476677725,0.2929476009155443
Hippocampus_L,0.07547827291722613,0.033035205925805874,-0.10851347884303317
Hippocampus_R,0.40412398503596947,-0.19524063691565702,-0.20888334812031234
ParaHippocampal_L,-0.04213242529275246,-0.0063296506754038084,0.048462075968155736
ParaHippocampal_R,-0.06130269409090065,0.2771134372084343,-0.21581074311753506
Amygdala_L,0.2832791325244159,0.19306876339538712,-0.47634789591980364
Amygdala_R,0.2617932783558549,0.056210138737964155,-0.31800341709381863
Calcarine_L,0.15273566899578242,0.13675806271264956,-0.2894937317084294
Calcarine_R,-0.26421051566478854,0.29514379881729536,-0.030933283152505722
Cuneus_L,-0.019225166568613422,0.03424345956308704,-0.015018292994475851
Cuneus_R,0.17780673933867755,-0.15456695182517474,-0.023239787513505097
Lingual_L,-0.22457702317128475,0.13801161350089663,0.08656540967038685
Lingual_R,-0.451384783004549,0.31264651011534617,0.13873827288919988
Occipital_Sup_L,-0.2694486460505952,0.36499369303132906,-0.09554504698072973
Occipital_Sup_R,0.022364929774422733,0.08334969537288371,-0.1057146251473064
Occipital_Mid_L,-0.149376932615519,-0.05527485096093915,0.20465178357645852
Occipital_Mid_R,-0.1274630397534168,-0.18249098929012222,0.3099540290435392
Occipital_Inf_L,0.3513823868120555,0.02471526878400032,-0.37609765559605635
Occipital_Inf_R,0.09880010616802078,-0.06789412549646448,-0.030905980671557066
Fusiform_L,0.1092196077190189,-0.07553538423633885,-0.03368422348268033
Fusiform_R,-0.11709351743965696,-0.11941459300440455,0.23650811044406042
Postcentral_L,-0.04254365159607094,-0.2572897515835107,0.2998334031795815
Postcentral_R,0.25602627307420184,-0.11116221205415064,-0.14486406102005092
Parietal_Sup_L,0.026686390134214526,0.08919845852222014,-0.11588484865643431
Parietal_Sup_R,0.4019825359470322,-0.24202201985880567,-0.15996051608822612
Parietal_Inf_L,-0.007090783942140022,-0.09418270913652455,0.10127349307866373
Parietal_Inf_R,0.06808509044345545,-0.0958066119725898,0.027721521529132875
SupraMarginal_L,0.11340663276424562,-0.14929071928811302,0.03588408652386587
SupraMarginal_R,0.15909797201570883,-0.04443587570135306,-0.11466209631435625
Angular_L,0.257694376358521,-0.2654764922573688,0.007782115898848446
Angular_R,0.11513331429456641,-0.07130869253188066,-0.04382462176268637
Precuneus_L,-0.44219699761628356,0.18608407204637248,0.2561129255699137
Precuneus_R,-0.12946705242258658,-0.38665479032469574,0.5161218427472833
Paracentral_Lobule_L,0.40627434729737766,-0.4683415226231388,0.062067175325758145
Paracentral_Lobule_R,0.07309246564321045,0.12290116194522693,-0.19599362758843883
Caudate_L,-0.19261459060096509,0.09309007061951911,0.09952451998144608
Caudate_R,0.018943428069077888,-0.004019119413715175,-0.014924308655361625
Putamen_L,0.06300246766326917,-0.11636398383665009,0.05336151617338114
Putamen_R,0.2611958206370108,-0.2058162076978945,-0.055379612939119374
Pallidum_L,-0.1752514458078129,0.07169007273361425,0.10356137307419794
Pallidum_R,0.278847621694139,-0.034857203433111154,-0.24399041826102819
Thalamus_L,-0.14761072397331737,0.14006177749214402,0.007548946481172478
Thalamus_R,0.2992290785269932,-0.029160310045444806,-0.2700687684815515
Heschl_L,0.05221663145782966,-0.11442264881368139,0.062206017355850955
Heschl_R,-0.04051869972052494,0.08748096242968398,-0.046962262709158424
Temporal_Sup_L,0.047828968330667826,0.0003021014428785315,-0.04813106977354706
Temporal_Sup_R,-0.08091943020056828,0.005958995554850188,0.07496043464571495
Temporal_Pole_Sup_L,-0.3002433258702003,0.2573643788538198,0.04287894701638134
Temporal_Pole_Sup_R,0.0027126659971545286,-0.18155745576875257,0.1788447897715993
Temporal_Mid_L,-0.3079705582871677,-0.25546951432080284,0.5634400726079678
Temporal_Mid_R,-0.23904202848940007,-0.8565198740576083,1.0955619025470096
Temporal_Pole_Mid_L,-0.2186351584087602,-0.1830884577599341,0.4017236161686941
Temporal_Pole_Mid_R,-0.25185939600412344,0.14514688996027075,0.10671250604385464
Temporal_Inf_L,0.41856226607446,0.01619058938885345,-0.434752855463312
Temporal_Inf_R,0.3650059855026684,0.015649503252981506,-0.3806554887556529
Cerebelum_Crus1_L,0.11206675587804779,0.048286684328564644,-0.16035344020661257
Cerebelum_Crus1_R,0.1679181884995931,-0.10641086777567174,-0.061507320723922246
Cerebelum_Crus2_L,-0.09512925843120279,0.11852971038310983,-0.023400451951908263
Cerebelum_Crus2_R,-0.03881188613543492,-0.01222432702325126,0.0510362131586862
Cerebelum_3_L,-0.053345041938671046,-0.13195034098313657,0.18529538292180686
Cerebelum_3_R,0.19719655980849773,-0.15798945006557852,-0.0392071097429191
Cerebelum_4_5_L,0.23714177907472356,-0.17662206460051721,-0.06051971447420555
Cerebelum_4_5_R,0.09873505886585168,0.303018339885636,-0.4017533987514893
Cerebelum_6_L,-0.021211204609127208,0.010854086770823664,0.01035711783830295
Cerebelum_6_R,-0.15890604000647388,0.0740831590780203,0.08482288092845303
Cerebelum_7b_L,0.03136557952244564,-0.11037101159632576,0.07900543207388114
Cerebelum_7b_R,0.09377636533978109,-0.13751240276329738,0.04373603742351852
Cerebelum_8_L,-0.028627044884660918,-0.000149850581620814,0.028776895466281902
Cerebelum_8_R,0.11209352956578161,-0.12496543915241423,0.012871909586633146
Cerebelum_9_L,0.10237822962723883,-0.1544083390917203,0.05203010946447963
Cerebelum_9_R,-0.0017318952245519367,-0.050662534152899674,0.0523944293774519
Cerebelum_10_L,0.06822508461608928,-0.10412630810051024,0.03590122348442166
Cerebelum_10_R,0.2768503405599715,-0.2060195851482,-0.07083075541177586
Vermis_1_2,-0.12624306543050257,0.11435925157847404,0.011883813852028538
Vermis_3,0.07620122324719758,-0.23507699711082114,0.15887577386362384
Vermis_4_5,0.14825893233752538,-0.01673257661861005,-0.13152635571891771
Vermis_6,-0.08385450757180854,0.15220927385889194,-0.06835476628708549
Vermis_7,-0.05486098243189315,-0.039810043745394645,0.09467102617728743
Vermis_8,-0.23487972389887252,0.334075089474698,-0.09919536557582335
Vermis_9,-0.17136769478904096,0.2331294596161705,-0.06176176482713212
Vermis_10,0.24027178297948543,-0.1694294379404187,-0.07084234503906833
subject,0.020889839342733203,-0.05669983988744254,0.0358100005447078
