,anger,disgust,fear
Frontal Pole,0.5674642011172244,-0.09459668009877541,-0.47286752101844903
Insular Cortex,-0.019253062760662132,-0.23464301093288542,0.2538960736935436
Superior Frontal Gyrus,0.14627669092416176,-0.20750163834057617,0.06122494741641292
Middle Frontal Gyrus,-0.29118403413519617,0.11525613958598882,0.17592789454920535
"Inferior Frontal Gyrus, pars triangularis",-0.43034187761932435,0.1996359881438471,0.23070588947547652
"Inferior Frontal Gyrus, pars opercularis",-0.23847710957842574,0.0655738717510888,0.1729032378273384
Precentral Gyrus,-0.10382639077750931,0.30258308093030883,-0.19875669015280634
Temporal Pole,-0.09289571309651763,0.17791666697141922,-0.08502095387489292
"Superior Temporal Gyrus, anterior division",-0.10979197231302595,-0.3660101843899392,0.4758021567029742
"Superior Temporal Gyrus, posterior division",0.10489233432161262,0.2603765156974744,-0.3652688500190837
"Middle Temporal Gyrus, anterior division",-0.15473287803951302,-0.01903941588914817,0.17377229392866322
"Middle Temporal Gyrus, posterior division",-0.27511903132333543,-0.19737973670798215,0.47249876803132623
"Middle Temporal Gyrus, temporooccipital part",0.183953584198803,0.23825023017589098,-0.4222038143746967
"Inferior Temporal Gyrus, anterior division",-0.08546994673085304,0.10930801757970832,-0.023838070848844733
"Inferior Temporal Gyrus, posterior division",-0.016675292125377245,-0.16646816651911217,0.18314345864448803
"Inferior Temporal Gyrus, temporooccipital part",0.13103663397302784,0.18714012450354112,-0.3181767584765718
Postcentral Gyrus,0.0980455237823763,-0.4292553809671559,0.3312098571847772
Superior Parietal Lobule,-0.09216709973129307,0.5276764557911434,-0.43550935605986096
"Supramarginal Gyrus, anterior division",0.33667999331133575,-0.455775383230839,0.11909538991950558
"Supramarginal Gyrus, posterior division",0.10141154577619982,0.22893013340161084,-0.330341679177808
Angular Gyrus,-0.11973761032318228,-0.08409904298161647,0.20383665330479467
"Lateral Occipital Cortex, superior division",0.054827457852680755,-0.019723045075104487,-0.035104412777576186
"Lateral Occipital Cortex, inferior division",0.4605930375785336,0.0941639232054669,-0.5547569607840002
Intracalcarine Cortex,0.366095226809335,0.15789863230465623,-0.5239938591139978
Frontal Medial Cortex,0.361137645541856,-0.1623169663892482,-0.19882067915260462
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.013611453323401752,-0.08460266801370825,0.09821412133710809
Subcallosal Cortex,-0.10841707186779302,0.011318493812257802,0.09709857805553464
Paracingulate Gyrus,-0.19468225299799985,0.425783089799737,-0.23110083680173868
"Cingulate Gyrus, anterior division",0.4683833543620981,-0.3991032876009434,-0.0692800667611672
"Cingulate Gyrus, posterior division",-0.059870080388375095,-0.13896027490535406,0.1988303552937272
Precuneous Cortex,0.0969508575805471,-0.43235648816965644,0.33540563058910444
Cuneal Cortex,-0.25062558952047553,0.4313359223212122,-0.18071033280074783
Frontal Orbital Cortex,-0.08902661349550176,0.07550955447223674,0.013517059023265679
"Parahippocampal Gyrus, anterior division",0.2954842641129007,-0.09408222998095654,-0.20140203413194174
"Parahippocampal Gyrus, posterior division",-0.24795904341104733,-0.27478593932594997,0.5227449827370003
Lingual Gyrus,0.3094177725130465,0.11411344902289776,-0.42353122153595657
"Temporal Fusiform Cortex, anterior division",-0.05195023819167764,-0.06449197488098349,0.1164422130726627
"Temporal Fusiform Cortex, posterior division",-0.41531268773403823,-0.020045983518085758,0.43535867125213323
Temporal Occipital Fusiform Cortex,0.11091372699259303,-0.1580167369170135,0.047103009924424954
Occipital Fusiform Gyrus,-0.2981800102002701,0.03476358700166188,0.26341642319861164
Frontal Operculum Cortex,0.09078998978588239,-0.0037715733369685506,-0.08701841644891095
Central Opercular Cortex,0.12163280160121043,0.31345551871009203,-0.4350883203113113
Parietal Operculum Cortex,-0.21654822529814827,0.13699142243429208,0.07955680286386349
Planum Polare,-0.2945066447070096,0.25218795180838327,0.04231869289863257
Heschl's Gyrus (includes H1 and H2),0.14453400427827856,-0.12025665984214584,-0.024277344436133746
Planum Temporale,-0.10232776338320285,-0.2180552999688021,0.3203830633520084
Supracalcarine Cortex,-0.20308647001728908,-0.20551156718797586,0.40859803720527066
Occipital Pole,-0.1270853547771742,-0.4358682053640208,0.5629535601411978
subject,-0.03856765801625876,0.008126549938437916,0.030441108077825494
