,congruent,incongruent,neutral
Frontal Pole,0.16370988809907494,-0.1995945986748378,0.03588471057576186
Insular Cortex,0.5145384162854746,0.13168719969935078,-0.6462256159848156
Superior Frontal Gyrus,0.1252738268252632,-0.35592944973764834,0.23065562291238362
Middle Frontal Gyrus,-0.30938725121662697,0.06194522362284106,0.24744202759378392
"Inferior Frontal Gyrus, pars triangularis",-0.18871033847829854,-0.18030328232487158,0.36901362080316447
"Inferior Frontal Gyrus, pars opercularis",-0.4018528693231961,0.6619070761543305,-0.26005420683113456
Precentral Gyrus,0.3245970669716663,-0.04926514216439949,-0.2753319248072799
Temporal Pole,-0.4111441564115801,-0.030671221490168855,0.4418153779017516
"Superior Temporal Gyrus, anterior division",-0.6997921086198027,0.39134518841223187,0.3084469202075737
"Superior Temporal Gyrus, posterior division",-0.1700741819337316,0.5331997461486819,-0.36312556421495223
"Middle Temporal Gyrus, anterior division",-0.47169570165300007,0.0885755727892098,0.3831201288637919
"Middle Temporal Gyrus, posterior division",0.6837787825289621,-0.38753022610838544,-0.29624855642056824
"Middle Temporal Gyrus, temporooccipital part",-0.5384573580454898,-0.7984381449415925,1.336895502987075
"Inferior Temporal Gyrus, anterior division",-0.037724961748010606,0.14755196593988637,-0.10982700419187696
"Inferior Temporal Gyrus, posterior division",0.2804341374569491,-0.2776883283769789,-0.002745809079970893
"Inferior Temporal Gyrus, temporooccipital part",0.6454936025450763,0.4483743422865706,-1.0938679448316477
Postcentral Gyrus,0.22130215118852464,-0.3850109643653007,0.16370881317677682
Superior Parietal Lobule,0.20319590443351726,-0.3057359863052169,0.10254008187169494
"Supramarginal Gyrus, anterior division",0.3308496531199523,0.03829409870327446,-0.36914375182322645
"Supramarginal Gyrus, posterior division",-0.1272920834611976,-0.09082111757964997,0.21811320104084136
Angular Gyrus,0.234522043679751,-0.46689628713274056,0.23237424345298946
"Lateral Occipital Cortex, superior division",-0.5066645172495943,0.4131215093529954,0.09354300789659425
"Lateral Occipital Cortex, inferior division",0.2189044221822079,-1.0700022992945342,0.8510978771123249
Intracalcarine Cortex,-0.17190415870960873,0.361292945858106,-0.18938878714849794
Frontal Medial Cortex,-0.002535567292882901,-0.16152149613771893,0.16405706343060458
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.3876270370954805,-0.05096927354242641,0.4385963106379051
Subcallosal Cortex,-0.008950588180575675,-0.17715877502904226,0.18610936320961757
Paracingulate Gyrus,0.10478470263636035,-0.5203197840450053,0.41553508140864087
"Cingulate Gyrus, anterior division",0.022152882121341505,0.6619256079576488,-0.6840784900789867
"Cingulate Gyrus, posterior division",-0.021799179851810624,0.2542718690099011,-0.2324726891580931
Precuneous Cortex,-0.2841197908263344,-0.13768829783275743,0.42180808865909125
Cuneal Cortex,0.33796072202029614,-0.015673316271489223,-0.32228740574881315
Frontal Orbital Cortex,-0.08518524497949484,0.3770838475466699,-0.29189860256717803
"Parahippocampal Gyrus, anterior division",0.4325085007621734,0.05084663264131829,-0.48335513340348246
"Parahippocampal Gyrus, posterior division",0.17906252182492016,-0.529987864926698,0.3509253431017734
Lingual Gyrus,-0.4255660518964246,0.23073745139342725,0.19482860050299988
"Temporal Fusiform Cortex, anterior division",-0.3234234114735772,0.6234111382965632,-0.29998772682298647
"Temporal Fusiform Cortex, posterior division",-0.06140978067246913,0.03905023597754001,0.022359544694929193
Temporal Occipital Fusiform Cortex,-0.20597345892203728,0.13133549621037513,0.07463796271166011
Occipital Fusiform Gyrus,0.49702934124848897,0.22232030811456865,-0.7193496493630568
Frontal Operculum Cortex,-0.5749949677474122,0.20748206436413286,0.3675129033832722
Central Opercular Cortex,0.4282019102399027,-0.45688010839943305,0.028678198159531265
Parietal Operculum Cortex,0.48072684523836573,-0.05504290389843838,-0.42568394133993354
Planum Polare,0.6258584322427597,-0.09037214274940154,-0.5354862894933552
Heschl's Gyrus (includes H1 and H2),-0.2120623309074428,0.18286114450637644,0.029201186401063853
Planum Temporale,0.060232671738598476,-0.020347951613488152,-0.039884720125100914
Supracalcarine Cortex,-0.19460271687190928,-0.18079378124564327,0.3753964981175498
Occipital Pole,-0.23289979615856704,0.41620208122278446,-0.18330228506422264
subject,0.014387656094514215,-0.03371892956099008,0.019331273466470702
