,anger,disgust,fear
Left Frontal Pole,0.3857088573947368,0.02475736509201512,-0.4104662224867613
Right Frontal Pole,0.3555297482624499,-0.0150274633832852,-0.34050228487916917
Left Insular Cortex,0.2897085133543473,-0.5611049877326645,0.27139647437832387
Right Insular Cortex,-0.359656176799908,0.06750818290406471,0.29214799389584906
Left Superior Frontal Gyrus,0.4201720688006204,-0.5294722037787433,0.1093001349781065
Right Superior Frontal Gyrus,0.03678722598724686,0.06303891539757087,-0.09982614138482096
Left Middle Frontal Gyrus,-0.20291685994401326,0.135022820729877,0.06789403921412732
Right Middle Frontal Gyrus,-0.20566222481996826,-0.08645173031314152,0.2921139551331198
"Left Inferior Frontal Gyrus, pars triangularis",-0.6310989582376247,0.2343785313185802,0.3967204269190363
"Right Inferior Frontal Gyrus, pars triangularis",0.06408417871138375,0.012633362982745644,-0.07671754169413522
"Left Inferior Frontal Gyrus, pars opercularis",-0.02439174292520812,0.047900895712500224,-0.023509152787291487
"Right Inferior Frontal Gyrus, pars opercularis",-0.28733029228346046,0.0175096339911677,0.2698206582922925
Left Precentral Gyrus,-0.041815813314902445,-0.12250929760364965,0.16432511091855045
Right Precentral Gyrus,-0.1040200744418623,0.20222579431363671,-0.098205719871774
Left Temporal Pole,-0.03210486017307646,0.14576084789317048,-0.11365598772009237
Right Temporal Pole,0.15586405590026825,-0.17796662375753916,0.022102567857270078
"Left Superior Temporal Gyrus, anterior division",-0.08011621607905521,-0.062090497554953855,0.14220671363400939
"Right Superior Temporal Gyrus, anterior division",-0.02724350423704667,-0.35339154845788845,0.3806350526949287
"Left Superior Temporal Gyrus, posterior division",-0.15739784066202284,0.1046563141807006,0.052741526481333095
"Right Superior Temporal Gyrus, posterior division",0.14239078853555048,0.2726740760389265,-0.4150648645744801
"Left Middle Temporal Gyrus, anterior division",-0.3516575983536756,0.16111338585551369,0.19054421249816575
"Right Middle Temporal Gyrus, anterior division",0.06181422898072314,-0.06968916490550767,0.007874935924783222
"Left Middle Temporal Gyrus, posterior division",0.107377637400799,-0.16259613730755915,0.05521849990676378
"Right Middle Temporal Gyrus, posterior division",-0.3235713418191424,-0.15235099440723335,0.4759223362263756
"Left Middle Temporal Gyrus, temporooccipital part",0.13674902220838944,0.1880449703310827,-0.3247939925394753
"Right Middle Temporal Gyrus, temporooccipital part",0.19362320092683374,0.27988491732269805,-0.4735081182495159
"Left Inferior Temporal Gyrus, anterior division",-0.15128544941300812,-0.004664167602069197,0.15594961701508392
"Right Inferior Temporal Gyrus, anterior division",0.22501207435017195,0.11508769850750578,-0.3400997728576768
"Left Inferior Temporal Gyrus, posterior division",-0.20372413724539842,-0.2606999792623236,0.4644241165077267
"Right Inferior Temporal Gyrus, posterior division",0.31321150913811946,-0.029313510862062214,-0.2838979982760569
"Left Inferior Temporal Gyrus, temporooccipital part",0.08676754180314528,0.23762958480211524,-0.32439712660525943
"Right Inferior Temporal Gyrus, temporooccipital part",0.2911759518741549,-0.11142441035077984,-0.17975154152337766
Left Postcentral Gyrus,-0.26681051378708653,-0.04307263740990115,0.30988315119698695
Right Postcentral Gyrus,0.12681823102687861,-0.20493174286463087,0.07811351183774837
Left Superior Parietal Lobule,0.15561087644154267,0.3038173421269239,-0.4594282185684744
Right Superior Parietal Lobule,-0.38554502768582805,0.28846403807846355,0.09708098960736408
"Left Supramarginal Gyrus, anterior division",0.21003279424209842,-0.48416968915021386,0.27413689490810617
"Right Supramarginal Gyrus, anterior division",0.3274242668446664,-0.25971943694024513,-0.06770482990442026
"Left Supramarginal Gyrus, posterior division",0.0120804862990741,0.047374690291823396,-0.059455176590901944
"Right Supramarginal Gyrus, posterior division",0.11261177824566383,0.3772912368959868,-0.489903015141643
Left Angular Gyrus,-0.5804452353257987,0.15511401150434004,0.42533122382145233
Right Angular Gyrus,0.05662456433069371,-0.00045068837979725385,-0.05617387595089942
"Left Lateral Occipital Cortex, superior division",-0.36578648281323145,0.05803456161868854,0.3077519211945482
"Right Lateral Occipital Cortex, superior division",0.6534973550892921,-0.03508438389155491,-0.6184129711977642
"Left Lateral Occipital Cortex, inferior division",0.5190526203948123,0.13814262917770925,-0.6571952495725106
"Right Lateral Occipital Cortex, inferior division",0.14260345316030065,0.03409441015859278,-0.1766978633188912
Left Intracalcarine Cortex,-0.2337025078591326,0.19654905628736596,0.03715345157176961
Right Intracalcarine Cortex,0.1947923747939675,0.2964658913649046,-0.49125826615887414
Left Frontal Medial Cortex,0.6432248173728627,-0.19750734580965768,-0.4457174715632186
Right Frontal Medial Cortex,-0.0344828929057434,-0.06325658077149057,0.09773947367723584
Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.05548447691383917,-0.24066190011345961,0.29614637702730284
Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.04927911356573211,0.2774453972809869,-0.3267245108467115
Left Subcallosal Cortex,0.043128885021668645,-0.22418827525283289,0.18105939023115789
Right Subcallosal Cortex,-0.14544027661635972,0.176715486444865,-0.03127520982849973
Left Paracingulate Gyrus,-0.05096596108031915,0.19305146839223672,-0.1420855073119164
Right Paracingulate Gyrus,-0.2573130500408184,0.40235285681351807,-0.1450398067726855
"Left Cingulate Gyrus, anterior division",0.08197979749215036,-0.08555761800156592,0.0035778205094153994
"Right Cingulate Gyrus, anterior division",0.4505996546556555,-0.49216260052365834,0.0415629458680126
"Left Cingulate Gyrus, posterior division",0.1418295910453422,-0.21731956978991232,0.07548997874456936
"Right Cingulate Gyrus, posterior division",-0.2573353392142288,0.05599064021697642,0.2013446989972511
Left Precuneous Cortex,0.018941111405683858,-0.2373534930473632,0.21841238164168242
Right Precuneous Cortex,0.046715959816254815,-0.2946480020365333,0.24793204222028614
