,congruent,incongruent,neutral
Left Frontal Pole,0.10752007253256854,-0.18821700327416835,0.08069693074159989
Right Frontal Pole,0.11067876337809156,0.06496874929158207,-0.17564751266967288
Left Insular Cortex,0.15984593483658438,0.11897256522331366,-0.2788185000599008
Right Insular Cortex,0.3190437224231767,-0.04673710856350025,-0.27230661385967325
Left Superior Frontal Gyrus,0.2521716399710989,-0.3766666719569618,0.12449503198586492
Right Superior Frontal Gyrus,0.04496076977236296,-0.19954973504279183,0.1545889652704238
Left Middle Frontal Gyrus,-0.06697421398017121,0.0023118426556330233,0.06466237132453893
Right Middle Frontal Gyrus,-0.3629260912192653,0.18466417237140548,0.17826191884786358
"Left Inferior Frontal Gyrus, pars triangularis",-0.14092135049010474,0.006467925608086601,0.13445342488202083
"Right Inferior Frontal Gyrus, pars triangularis",-0.25257257895541935,-0.016579714122418338,0.2691522930778361
"Left Inferior Frontal Gyrus, pars opercularis",-0.1369143369496073,0.23659260129845533,-0.09967826434884962
"Right Inferior Frontal Gyrus, pars opercularis",-0.26216514947242253,0.46142763215732785,-0.19926248268490532
Left Precentral Gyrus,-0.05882182756042814,-0.05569762735388479,0.11451945491431273
Right Precentral Gyrus,0.2548203375781988,-0.06985663513195331,-0.18496370244624485
Left Temporal Pole,-0.19286295490532462,-0.038649284133983414,0.231512239039308
Right Temporal Pole,-0.18477224201013112,0.03387071528323351,0.1509015267268986
"Left Superior Temporal Gyrus, anterior division",-0.0398080414957159,0.18174241736216257,-0.1419343758664482
"Right Superior Temporal Gyrus, anterior division",-0.5021853260969066,0.14095472518573926,0.36123060091116455
"Left Superior Temporal Gyrus, posterior division",-0.05858657501252543,0.13039865463339284,-0.07181207962086415
"Right Superior Temporal Gyrus, posterior division",-0.20012578806390613,0.5076639591903743,-0.3075381711264716
"Left Middle Temporal Gyrus, anterior division",-0.23497080263999404,0.09360431417378079,0.14136648846621291
"Right Middle Temporal Gyrus, anterior division",-0.20254593342049232,-0.04040351479282439,0.24294944821331638
"Left Middle Temporal Gyrus, posterior division",0.17697126728180806,-0.18235117374511667,0.005379906463311282
"Right Middle Temporal Gyrus, posterior division",0.5449593102892906,-0.22485756950444202,-0.32010174078484926
"Left Middle Temporal Gyrus, temporooccipital part",-0.22546745564874215,-0.27582263016460656,0.501290085813346
"Right Middle Temporal Gyrus, temporooccipital part",-0.20446135118109632,-0.5466436496075382,0.7511050007886414
"Left Inferior Temporal Gyrus, anterior division",-0.07428743673931207,0.1100111761362803,-0.03572373939696838
"Right Inferior Temporal Gyrus, anterior division",0.0010673137856438836,0.1070991972931633,-0.10816651107880365
"Left Inferior Temporal Gyrus, posterior division",0.03914244772359125,0.023157498367522733,-0.06229994609111435
"Right Inferior Temporal Gyrus, posterior division",0.23120005100874674,-0.18081844774527625,-0.05038160326347023
"Left Inferior Temporal Gyrus, temporooccipital part",0.510148298488459,0.2169888142583322,-0.727137112746782
"Right Inferior Temporal Gyrus, temporooccipital part",0.16751067465952457,0.2813427264490073,-0.44885340110853233
Left Postcentral Gyrus,0.06285948849495009,-0.4027413090265352,0.33988182053158006
Right Postcentral Gyrus,0.2671573420216411,0.04022074076510858,-0.3073780827867476
Left Superior Parietal Lobule,-0.016410478323015745,-0.2563265896960558,0.27273706801907227
Right Superior Parietal Lobule,0.35569539275155726,-0.26771469588231234,-0.08798069686924309
"Left Supramarginal Gyrus, anterior division",0.17463918494298644,-0.08776344130576988,-0.08687574363721719
"Right Supramarginal Gyrus, anterior division",0.1525334530270566,0.23720465483004846,-0.38973810785710367
"Left Supramarginal Gyrus, posterior division",0.007275662231014113,-0.11661523978800482,0.10933957755699236
"Right Supramarginal Gyrus, posterior division",-0.0647140718492272,0.07709399214992882,-0.012379920300702112
Left Angular Gyrus,0.01628482736736281,-0.3254165962188921,0.3091317688515325
Right Angular Gyrus,0.12852915498569395,-0.19437586380520588,0.06584670881951443
"Left Lateral Occipital Cortex, superior division",-0.3684975339995921,0.33309374394007496,0.03540379005951802
"Right Lateral Occipital Cortex, superior division",-0.22412972711005735,0.004845604016653918,0.21928412309340545
"Left Lateral Occipital Cortex, inferior division",0.08211297320718619,-0.5133798529602965,0.43126687975311434
"Right Lateral Occipital Cortex, inferior division",0.22860200679313109,-0.7206192955994523,0.4920172888063217
Left Intracalcarine Cortex,-0.22886968632293864,0.4418295603540323,-0.2129598740310939
Right Intracalcarine Cortex,-0.12809931833567442,0.0662324117602697,0.06186690657540955
Left Frontal Medial Cortex,-0.007253974559470938,-0.08995077672132881,0.09720475128080025
Right Frontal Medial Cortex,0.16167467464552038,-0.2181423577635852,0.05646768311806381
Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.15203166933166623,-0.11564249530165198,0.26767416463331994
Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.13992862605100295,-0.08348488802982275,0.22341351408082405
Left Subcallosal Cortex,-0.11831058863202609,0.04104021421220245,0.0772703744198239
Right Subcallosal Cortex,-0.027292216670481546,-0.2152815975681586,0.24257381423864313
Left Paracingulate Gyrus,0.04184462564702589,-0.2469055626558725,0.20506093700884742
Right Paracingulate Gyrus,0.07875646123587234,-0.25055618530969026,0.17179972407382135
"Left Cingulate Gyrus, anterior division",-0.08796447018093666,0.3958656786541986,-0.30790120847326835
"Right Cingulate Gyrus, anterior division",0.05004087884204068,0.2937906273414611,-0.34383150618349906
"Left Cingulate Gyrus, posterior division",-0.16664386142728044,0.21163933661043605,-0.04499547518315555
"Right Cingulate Gyrus, posterior division",0.10644327951257265,-0.005929796536804213,-0.10051348297576944
Left Precuneous Cortex,-0.31820803254910757,0.2450639477759209,0.07314408477318764
Right Precuneous Cortex,-0.0011180292633607165,-0.32742236800780544,0.3285403972711658
Left Cuneal Cortex,0.15218611168216217,0.09018792781715038,-0.24237403949931746
Right Cuneal Cortex,0.4465440194015058,-0.4150534458924592,-0.03149057350904824
Left Frontal Orbital Cortex,-0.3304298672343605,0.49704012730701386,-0.1666102600726499
Right Frontal Orbital Cortex,0.02138284646168269,0.1358387382435359,-0.15722158470522052
"Left Parahippocampal Gyrus, anterior division",0.32797349998469416,-0.1870312464614048,-0.140942253523289
"Right Parahippocampal Gyrus, anterior division",0.2926157219100909,0.0920832051968182,-0.384698927106902
"Left Parahippocampal Gyrus, posterior division",-0.0482047728047346,-0.09047473007645371,0.1386795028811889
"Right Parahippocampal Gyrus, posterior division",0.3798874888350046,-0.5162569313498803,0.13636944251487262
Left Lingual Gyrus,-0.1445633573992907,0.023366692976404313,0.12119666442288708
Right Lingual Gyrus,-0.22183718784854914,0.2577260850699325,-0.03588889722138409
"Left Temporal Fusiform Cortex, anterior division",-0.000815638057220955,0.1581062500906143,-0.15729061203339303
"Right Temporal Fusiform Cortex, anterior division",-0.2720945254474736,0.46157698735925734,-0.1894824619117843
"Left Temporal Fusiform Cortex, posterior division",0.13792189334381896,-0.029585086447133174,-0.10833680689668407
"Right Temporal Fusiform Cortex, posterior division",-0.19713387663816292,0.12088848342988956,0.07624539320827382
Left Temporal Occipital Fusiform Cortex,0.03301203333722379,0.14205230456049125,-0.17506433789771286
Right Temporal Occipital Fusiform Cortex,-0.493576879761313,0.0621980509011239,0.43137882886019724
Left Occipital Fusiform Gyrus,0.31003870254543336,0.08603934433193287,-0.39607804687736015
Right Occipital Fusiform Gyrus,0.1857361824694948,0.2627665330459534,-0.448502715515441
Left Frontal Operculum Cortex,-0.37269937291934396,0.2283237503692339,0.14437562255010575
Right Frontal Operculum Cortex,-0.12123842942448873,-0.01620193961913742,0.13744036904362392
Left Central Opercular Cortex,0.5033779226204416,-0.44078059800322367,-0.06259732461721683
Right Central Opercular Cortex,0.10444509813713715,-0.08728836997022602,-0.017156728166909704
Left Parietal Operculum Cortex,0.38446297839642307,-0.07033550347829626,-0.3141274749181236
Right Parietal Operculum Cortex,0.20307160475810676,-0.0889350339474751,-0.11413657081062947
Left Planum Polare,0.281108979586004,0.051486256727523105,-0.33259523631352655
Right Planum Polare,0.3503419444988015,-0.06836463098690272,-0.2819773135118984
Left Heschl's Gyrus (includes H1 and H2),-0.03934811731782501,-0.10397057968016982,0.14331869699799468
Right Heschl's Gyrus (includes H1 and H2),-0.23020522080443243,0.34980041740517764,-0.11959519660074233
Left Planum Temporale,0.10716085799322717,0.005480466619459334,-0.11264132461268467
Right Planum Temporale,-0.18184553453720423,-0.09727141516477109,0.2791169497019648
Left Supracalcarine Cortex,-0.07855578146666672,-0.03877068060832814,0.11732646207499724
Right Supracalcarine Cortex,-0.37111698309549745,0.011150678972391193,0.35996630412310726
Left Occipital Pole,-0.05620274928717006,0.08401048298617153,-0.02780773369900004
Right Occipital Pole,-0.017172126688678627,0.39862220534946147,-0.3814500786607805
subject,0.016121867756589754,-0.045298599803976033,0.029176732047391615
