,congruent,incongruent,neutral
Feat 1,0.11607561661806734,-0.32731989530774946,0.21124427868970547
Feat 2,-0.30028420822539226,0.6827264263452747,-0.3824422181199083
Feat 3,0.3632565032139245,0.48094614342834774,-0.8442026466422479
Feat 4,-0.8065888895686371,0.4750766626414855,0.33151222692721033
Feat 5,-0.19758576518827142,0.10069821417442261,0.09688755101384977
Feat 6,0.10744395559511545,-0.5862875831738772,0.4788436275786513
Feat 7,0.8584547869764232,-0.2819636253711262,-0.5764911616052779
Feat 8,0.20529953117066863,0.19971845491328916,-0.4050179860839893
Feat 9,-0.7375357887565239,0.025952770502024904,0.711583018254518
Feat 10,-0.6580549728132746,0.03264006853319176,0.6254149042800267
Feat 11,-0.16061792953030424,0.26859121469675434,-0.1079732851664665
Feat 12,-0.15447562834022655,0.07830541513646795,0.07617021320375891
Feat 13,0.10519761322535814,-0.12540672611548914,0.020209112890106216
Feat 14,0.18873488632561516,-0.04381622208063546,-0.144918664244996
Feat 15,-0.44088447222386684,0.5020916250229305,-0.06120715279899581
Feat 16,0.2869065176644925,0.5058182145007022,-0.7927247321651735
Feat 17,-0.034368013191006616,0.3545102887594082,-0.3201422755684254
Feat 18,-0.476287055085557,0.015107357092263435,0.46117969799337577
Feat 19,0.1688074116664273,0.1744599743726865,-0.3432673860391383
Feat 20,-0.4206985372226052,-0.17579124535906362,0.5964897825816808
Feat 21,-0.06606892910665893,0.03078179054500986,0.03528713856162951
subject,-0.0005045879093484607,-0.0023249909925355913,0.0028295789019103994
