,anger,disgust,fear
Feat 1,0.0021487293777594924,-0.0012740346450611946,-0.0008746947330083501
Feat 2,0.0012757350060389233,0.0009802595908282223,-0.002255994596906525
Feat 3,0.0039331863170772655,-0.0019914260222634534,-0.0019417602946946964
Feat 4,0.0003050421332650285,-0.0009506533702822087,0.0006456112370027689
Feat 5,-0.0010205708855567422,-0.0005474646400586551,0.0015680355255736586
Feat 6,-0.005197975516024281,0.0016855730029255362,0.003512402513129731
Feat 7,0.002373691035962121,-0.0028536401972718887,0.0004799491612720927
Feat 8,0.001468723380872762,0.0019128703657351753,-0.00338159374657206
Feat 9,-0.004246489162793952,0.002019965465884331,0.0022265236967108485
Feat 10,0.0009412000687149534,-0.004027423177929026,0.003086223109310419
Feat 11,0.003046849733350327,-0.0020927841475416533,-0.0009540655857670725
Feat 12,0.00029814302688379495,0.00019658170073316142,-0.0004947247276125724
Feat 13,0.0009603359023039634,0.00046403540777888554,-0.0014243713101576689
Feat 14,-0.00015416382988062182,-0.0010663372454666965,0.0012205010753138954
Feat 15,0.0005264794274178991,0.0018746636916448023,-0.002401143119070798
Feat 16,-0.0007466755737005027,-0.002490042130153989,0.003236717703791671
Feat 17,0.0012858568790188787,0.0038798972120336703,-0.00516575409102191
Feat 18,-0.006339652015337307,0.0036800793789989266,0.0026595726363120857
Feat 19,-0.005657929851244244,0.001366000749180682,0.004291929102031769
Feat 20,9.52445597699772e-05,0.0024711244370857733,-0.002566368996897183
Feat 21,0.004536847530907502,-0.0028697730493545412,-0.0016670744813485495
Feat 22,-0.007904881663523376,0.005264418358417822,0.0026404633050573258
Feat 23,0.0051477247909996636,-0.004368299990977322,-0.0007794248003671943
Feat 24,-0.0027636392898551356,0.00021376778911648842,0.0025498715008190113
Feat 25,0.0030865697553430138,0.0033032689336596264,-0.006389838689151861
Feat 26,-0.0048189028716129935,0.0031828838678040197,0.0016360190039274932
Feat 27,0.0046793225221035805,0.0004782730195232553,-0.00515759554167588
Feat 28,0.015153778434670435,-0.007184562698383313,-0.007969215736239512
Feat 29,0.0031152322418556548,-0.0029794942279091846,-0.0001357380140103513
Feat 30,0.007030197856969999,-0.003215646706074002,-0.0038145511508908083
Feat 31,0.00149578254100445,0.0013195893088306715,-0.002815371849824172
Feat 32,-0.0004986743487532322,0.0006089802003353879,-0.00011030585173305582
Feat 33,-0.0005167685047431701,0.001566195920156381,-0.0010494274153454726
Feat 34,-0.0009829622347450597,-0.0011213913131365024,0.002104353547846188
Feat 35,0.0013476181613427621,0.00160868975990362,-0.002956307921276774
Feat 36,0.0014917185536891572,0.0035086484808106227,-0.005000367034394368
Feat 37,0.00599888947120686,-0.00472449771534769,-0.001274391755698062
Feat 38,-0.0027668896407159844,0.005582277416561885,-0.0028153877757529605
Feat 39,-0.00228089820335871,0.002880639858298303,-0.0005997416548113757
Feat 40,0.0025831808107499342,-0.004221770847143425,0.0016385900364033789
Feat 41,0.0019857232820693635,-0.0008581046024352726,-0.0011276186795449793
Feat 42,-0.003476898951854604,0.0006706109202829814,0.002806288031475499
Feat 43,0.0016788841657604434,-6.959096826297546e-05,-0.0016092931974496165
Feat 44,0.005867315373920877,-0.006281124564016374,0.0004138091901253338
Feat 45,0.003687150121255534,-0.002634207384064403,-0.001052942737178566
Feat 46,0.0066546212829116935,-0.0026734818769063654,-0.0039811394062805585
Feat 47,-0.0021252940378080295,-0.0006666643147503776,0.0027919583524827502
Feat 48,-0.007563041869785195,-0.0016311549927693358,0.009194196862668676
Feat 49,0.004851943117815593,0.0029454796793322476,-0.007797422797125241
Feat 50,-0.0009457440024536615,-0.00039174180159420955,0.001337485804060567
Feat 51,0.00139612067736753,-0.0017131572113752548,0.000317036534084033
subject,-0.0183008353951195,0.005123819550987669,0.013177015842759158
