,congruent,incongruent,neutral
Feat 1,-0.012372370489900227,0.012333622095764798,3.8748394142370125e-05
Feat 2,-0.02825654298707119,0.0348861867135052,-0.0066296437263900325
Feat 3,0.021798329423444028,0.031070069607111964,-0.05286839903055953
Feat 4,0.03148305169174334,-0.001878536822024511,-0.02960451486972209
Feat 5,-0.034994810550623465,-0.01800959012414654,0.053004400674790245
Feat 6,0.04481280562953171,-0.05563495197164489,0.010822146342168049
Feat 7,-0.04809891093964998,0.017055785862069902,0.031043125077596885
Feat 8,-0.06123109562641316,0.02788955135384566,0.03334154427259113
Feat 9,0.0589298108210691,0.006510660787949244,-0.06544047160898439
Feat 10,-0.037611333627512726,0.04436833032765394,-0.006756996700115385
Feat 11,-0.00041977317873011797,0.027677370230371885,-0.027257597051644787
Feat 12,0.027951015880087363,-0.051336184935197295,0.023385169055130647
Feat 13,0.041417102560333145,0.002048676315293728,-0.043465778875607215
Feat 14,-0.001401657232587685,0.030631384751940507,-0.029229727519307237
Feat 15,-0.0014627011341092786,0.02002019239519909,-0.018557491261078925
Feat 16,-0.0027906843024478253,0.03101665478607509,-0.02822597048366931
Feat 17,0.006655474030133921,0.021020830731751827,-0.02767630476183448
Feat 18,0.049770832562293754,0.03172428770140826,-0.08149512026370481
Feat 19,-0.028575793349508223,0.01785880425549032,0.010716989094036952
Feat 20,-0.00019463446476155884,0.06165170107655513,-0.061457066611772845
Feat 21,0.02478254327400165,0.03327065018354297,-0.05805319345754461
Feat 22,-0.0015614765132567834,0.02585430455770384,-0.02429282804447188
Feat 23,0.0038969666906343986,0.008910045575378975,-0.012807012266007816
Feat 24,-0.00014541556421007393,-0.0028303560321756276,0.002975771596335729
Feat 25,-0.030019409824136048,-0.004365226471535668,0.03438463629568796
Feat 26,-0.004958358549969795,0.005450327367086921,-0.0004919688170905269
Feat 27,-0.015231663430913783,0.0008269444008047041,0.014404719030130238
Feat 28,0.027323903799108144,-0.037574833833525334,0.010250930034408736
Feat 29,0.043535248180595724,-0.011792599543456616,-0.03174264863713644
Feat 30,0.010031882225077615,-0.013956542398369558,0.003924660173249522
Feat 31,-0.03460612686031265,0.01618811586730161,0.01841801099301073
Feat 32,0.06895851235623111,-0.01834118567115604,-0.05061732668507489
Feat 33,-0.026619925431960793,0.026238601190720204,0.00038132424122952566
Feat 34,0.011468542107010992,-0.01750580900096552,0.0060372668939533206
Feat 35,0.025829908478795773,-0.039761772475490606,0.013931863996704787
Feat 36,0.008727684318172951,-0.026107352661311655,0.01737966834319124
Feat 37,-0.023697838344786486,0.016117928254840964,0.007579910089925116
Feat 38,-0.015472250629740978,0.05407534794050948,-0.038603097310797016
Feat 39,0.020126957014202373,-0.035816243997115894,0.015689286982930043
Feat 40,0.036020752957123446,0.017661794800222008,-0.05368254775737397
Feat 41,0.014399521837119018,-0.01612190108627149,0.0017223792491757005
Feat 42,-0.018916442690858893,0.0029843460350793636,0.01593209665578843
Feat 43,0.04402738001157184,-0.012620241038016712,-0.03140713897354439
Feat 44,0.009013855115821938,-0.014381755171134474,0.0053679000553160045
Feat 45,-0.012821134240338745,-0.02980079035665659,0.042621924596965045
Feat 46,0.03829622784729487,0.0038727606901889887,-0.04216898853751211
Feat 47,0.005851252173431319,0.019443036376902336,-0.025294288550335442
Feat 48,0.06758023570005971,-0.04119955118948708,-0.026380684510538238
Feat 49,0.0009505531670246838,0.03546170802255887,-0.036412261189580464
Feat 50,0.0012889741607544792,0.04348024355472533,-0.04476921771549107
Feat 51,0.05344942070628024,-0.0414434168183593,-0.012006003887920575
subject,-0.03232810053383196,0.011555031579293691,0.0207730689545301
