,anger,disgust,fear
GM Amygdala_centromedial group,-0.37757419403709636,0.29431075896581427,0.0832634350712787
GM Amygdala_laterobasal group,0.26320740088703676,-0.15918103087850874,-0.10402637000852966
GM Amygdala_superficial group,0.09237772299356173,0.38960469085254923,-0.48198241384610724
GM Anterior intra-parietal sulcus hIP1,-0.357680028783565,-0.14825242052929602,0.5059324493128554
GM Anterior intra-parietal sulcus hIP2,0.5352641755719241,-0.3667338960182178,-0.16853027955370414
GM Anterior intra-parietal sulcus hIP3,0.15335493198805436,0.36484728403004096,-0.5182022160181052
GM Broca's area BA44,-0.25341996776625286,0.4834445019325374,-0.2300245341662812
GM Broca's area BA45,-0.14147978144383347,0.03924331198109085,0.1022364694627452
GM Hippocampus cornu ammonis,-0.28411150660589446,-0.060636673185955725,0.3447481797918524
GM Hippocampus dentate gyrus,0.12158886020810936,-0.19861430161061028,0.07702544140249139
GM Hippocampus entorhinal cortex,0.042546695250023595,-0.06459175576513426,0.022045060515117385
GM Hippocampus hippocampal-amygdaloid transition area,-0.20456606637687658,-0.07781310628848281,0.28237917266535395
GM Hippocampus subiculum,-0.18637886961380395,-0.3411044030645882,0.5274832726784067
GM Inferior parietal lobule PF,0.06085196231985117,-0.10536148577185575,0.04450952345201255
GM Inferior parietal lobule PFcm,-0.3190858151100109,0.2769095790154328,0.04217623609458471
GM Inferior parietal lobule PFm,-0.04435408989000896,0.41537649166405344,-0.3710224017740552
GM Inferior parietal lobule PFop,0.2894565661218835,-0.05129221675330436,-0.23816434936857986
GM Inferior parietal lobule PFt,0.12119536469695597,-0.490050028463639,0.3688546637666917
GM Inferior parietal lobule PGp,0.050822090705286455,0.08427354731791871,-0.13509563802320051
GM Inferior parietal lobule Pga,5.90434278279553e-05,-0.5279898798640961,0.5279308364362559
GM Insula Id1,-0.10201349430285414,0.008845659320837446,0.09316783498202316
GM Insula Ig1,0.07122384016360007,-0.10223496041541821,0.0310111202518209
GM Insula Ig2,0.0606950726419318,-0.059543045649219264,-0.0011520269927115662
GM Lateral geniculate body,0.04469725410693162,-0.2556750906736635,0.2109778365667273
GM Mamillary body,-0.16935147626662478,-0.08999443929169686,0.25934591555831643
GM Medial geniculate body,0.01814666912096763,0.21039334764571788,-0.22854001676668348
GM Premotor cortex BA6,0.0951830250783125,-0.2121886858922665,0.11700566081395328
GM Primary auditory cortex TE1.0,-0.18025911051890564,-0.03211846556016747,0.21237757607907232
GM Primary auditory cortex TE1.1,-0.24012175432015764,0.2111436473653944,0.02897810695477525
GM Primary auditory cortex TE1.2,0.13586417486027302,-0.041427881808745924,-0.09443629305152651
GM Primary motor cortex BA4a,0.31027566477571533,-0.34185903735711065,0.03158337258139787
GM Primary motor cortex BA4p,-0.33413412976718543,0.12555576501163304,0.2085783647555521
GM Primary somatosensory cortex BA1,-0.18627966147763989,-0.1504200380377009,0.33669969951533607
GM Primary somatosensory cortex BA2,-0.0344376043285122,0.06299355634274972,-0.028555952014243102
GM Primary somatosensory cortex BA3a,0.2461547048973542,0.07732764888506853,-0.3234823537824226
GM Primary somatosensory cortex BA3b,-0.22274656901526113,0.5169021767526554,-0.2941556077373961
GM Secondary somatosensory cortex / Parietal operculum OP1,-0.006394227590382301,-0.3455004461303893,0.35189467372078287
GM Secondary somatosensory cortex / Parietal operculum OP2,0.19223221259435083,-0.696101285627006,0.5038690730326544
GM Secondary somatosensory cortex / Parietal operculum OP3,-0.3180871568977189,0.5278640936139231,-0.20977693671620246
GM Secondary somatosensory cortex / Parietal operculum OP4,0.44654633624954854,0.1818621654085098,-0.6284085016580366
GM Superior parietal lobule 5Ci,-0.039694978007856783,0.06034151126196921,-0.020646533254112934
GM Superior parietal lobule 5L,-0.16878095491338618,0.12880171292404669,0.039979241989336
GM Superior parietal lobule 5M,0.3280463596074159,-0.28523935989246274,-0.04280699971495047
GM Superior parietal lobule 7A,-0.1904449272883636,0.06483034642529674,0.12561458086306315
GM Superior parietal lobule 7M,0.08094325728757842,-0.02799304963702025,-0.052950207650558585
GM Superior parietal lobule 7P,-0.14186824244774013,0.01946172998709112,0.12240651246064883
GM Superior parietal lobule 7PC,-0.2753125822495591,0.5095429382895588,-0.23423035603999848
GM Visual cortex V1 BA17,-0.011662675434928542,-0.23888720901391886,0.2505498844488459
GM Visual cortex V2 BA18,-0.23642232957113252,0.7139022078007069,-0.4774798782295676
GM Visual cortex V3V,0.25307995268288225,-0.381754552274337,0.12867459959145922
GM Visual cortex V4,0.006588564471928588,-0.14814890421595142,0.14156033974402077
GM Visual cortex V5,0.4196274038701291,-0.0010390848780469936,-0.41858831899208204
WM Acoustic radiation,0.04246007422825612,0.1646367494508014,-0.20709682367906102
WM Callosal body,0.45792509843304163,-0.529109760867981,0.07118466243493793
WM Cingulum,0.1435924177729771,-0.003445302412720657,-0.14014711536025304
WM Corticospinal tract,0.1688583507305862,-0.13340372194431618,-0.0354546287862601
WM Fornix,0.08363129879772817,0.34472149903108684,-0.42835279782882346
WM Inferior occipito-frontal fascicle,-0.358447975998349,-0.09871212761776857,0.4571601036161151
WM Optic radiation,-0.11464019919917448,0.33814391500810603,-0.22350371580893008
WM Superior longitudinal fascicle,-0.11719152855845238,0.15978703941281508,-0.04259551085436106
WM Superior occipito-frontal fascicle,-0.22435095502080188,-0.13870836233033568,0.36305931735113595
WM Uncinate fascicle,0.31710106757665,-0.25002132948741357,-0.06707973808923377
subject,-0.026376901248599545,0.007576805162244885,0.018800096086348753
