,congruent,incongruent,neutral
GM Amygdala_centromedial group,0.28914348654645045,-0.20170307040590324,-0.08744041614054629
GM Amygdala_laterobasal group,0.35250019553092604,0.1420926770854251,-0.49459287261635543
GM Amygdala_superficial group,0.009538112659246204,0.34653904180499745,-0.3560771544642457
GM Anterior intra-parietal sulcus hIP1,-0.00976871962058358,0.2566512303417868,-0.24688251072120565
GM Anterior intra-parietal sulcus hIP2,-0.08985112133540885,0.1073000746127194,-0.017448953277310112
GM Anterior intra-parietal sulcus hIP3,-0.1783040097453234,0.41396544687332054,-0.23566143712799914
GM Broca's area BA44,-0.7972098190628326,0.41694934272705997,0.3802604763357686
GM Broca's area BA45,-0.4490360836016304,0.18159824920653375,0.2674378343951005
GM Hippocampus cornu ammonis,0.341746461090441,-0.2922665288779027,-0.049479932212542294
GM Hippocampus dentate gyrus,0.3954686051095131,-0.15671510240329295,-0.23875350270621956
GM Hippocampus entorhinal cortex,0.22150557005705768,0.27655569478163294,-0.498061264838691
GM Hippocampus hippocampal-amygdaloid transition area,-0.2873985923742082,0.4952502969346595,-0.20785170456044755
GM Hippocampus subiculum,-0.7003091824450556,0.14070938337507466,0.5595997990699646
GM Inferior parietal lobule PF,0.27538728233925314,-0.10663248891844362,-0.16875479342080862
GM Inferior parietal lobule PFcm,0.06871221410202948,0.09369742557395982,-0.1624096396759875
GM Inferior parietal lobule PFm,0.04137324940713458,-0.10070964287124613,0.05933639346411029
GM Inferior parietal lobule PFop,-0.2278068417197055,0.5194160835817512,-0.29160924186204895
GM Inferior parietal lobule PFt,0.39922876175179844,-0.2551132165321562,-0.14411554521964168
GM Inferior parietal lobule PGp,-0.7492048138466062,-0.3568418851752002,1.106046699021808
GM Inferior parietal lobule Pga,0.5933572020293407,-0.9836882812981157,0.3903310792687733
GM Insula Id1,0.40123116172800055,-0.09225318520145956,-0.30897797652653863
GM Insula Ig1,-0.07316792194753569,0.5886712580557785,-0.5155033361082358
GM Insula Ig2,-0.1783761192404711,-0.1530954786039317,0.33147159784440094
GM Lateral geniculate body,-0.27781281887289083,0.10604765926441548,0.17176515960847114
GM Mamillary body,0.05893482773673599,-0.14461372246431678,0.0856788947275835
GM Medial geniculate body,0.362577954440178,-0.4995124930736587,0.13693453863347005
GM Premotor cortex BA6,-0.22827497393336166,-0.4222228557367627,0.6504978296701214
GM Primary auditory cortex TE1.0,-0.12197114214862949,-0.11229984907915375,0.23427099122778228
GM Primary auditory cortex TE1.1,0.04847053280745245,0.24274147289598852,-0.29121200570344197
GM Primary auditory cortex TE1.2,0.17233284037057053,-0.023721958928851178,-0.14861088144171997
GM Primary motor cortex BA4a,0.5668016966660587,-0.3209605511918082,-0.2458411454742529
GM Primary motor cortex BA4p,0.07148883417132566,0.18435838381383016,-0.2558472179851569
GM Primary somatosensory cortex BA1,0.004910301451786125,0.026685533959247193,-0.03159583541103245
GM Primary somatosensory cortex BA2,0.07850896598826432,-0.420765842333752,0.3422568763454943
GM Primary somatosensory cortex BA3a,0.13236728381017734,-0.07650996269201737,-0.0558573211181606
GM Primary somatosensory cortex BA3b,-0.1380851570153296,0.18707381261029712,-0.04898865559496721
GM Secondary somatosensory cortex / Parietal operculum OP1,-0.2895707959433703,-0.05420746368157721,0.3437782596249518
GM Secondary somatosensory cortex / Parietal operculum OP2,0.3545048697919042,-0.13782872817538985,-0.21667614161651028
GM Secondary somatosensory cortex / Parietal operculum OP3,0.30614717806676633,-0.15744486615942277,-0.14870231190734243
GM Secondary somatosensory cortex / Parietal operculum OP4,0.129518129933277,-0.03633485124856796,-0.09318327868470763
GM Superior parietal lobule 5Ci,-0.033888234279434395,0.5637561867030532,-0.5298679524236207
GM Superior parietal lobule 5L,-0.2157209795377597,-0.12033712114981682,0.33605810068757846
GM Superior parietal lobule 5M,-0.09922354458581262,0.11052062404239697,-0.01129707945658084
GM Superior parietal lobule 7A,-0.29608168984858707,0.47930724115379286,-0.1832255513051983
GM Superior parietal lobule 7M,-0.11126085250619416,-0.140674954015643,0.2519358065218376
GM Superior parietal lobule 7P,0.3974189701953705,-0.29691799146254044,-0.1005009787328314
GM Superior parietal lobule 7PC,0.3383466523623671,-0.3604630447431727,0.02211639238081002
GM Visual cortex V1 BA17,-0.20923898522832288,0.44180936784740005,-0.23257038261907995
GM Visual cortex V2 BA18,-0.29097173845083163,0.2918036907965052,-0.000831952345674361
GM Visual cortex V3V,-0.08837025681223142,0.16272741742029742,-0.07435716060806409
GM Visual cortex V4,0.49749213041274065,-0.06083513489845749,-0.4366569955142791
GM Visual cortex V5,-0.03587826367208627,-0.6401655962196595,0.6760438598917526
WM Acoustic radiation,0.015128839126061125,0.3821970719755845,-0.3973259111016449
WM Callosal body,0.05427344468071463,-0.3712656503125166,0.3169922056318008
WM Cingulum,-0.4400318636422288,-0.0185758517147006,0.45860771535692674
WM Corticospinal tract,-0.02949188824604969,0.05996359804616383,-0.030471709800111702
WM Fornix,0.26502922333504486,0.018451579962506112,-0.2834808032975598
WM Inferior occipito-frontal fascicle,0.24894215062422972,0.17535206069844678,-0.42429421132267675
WM Optic radiation,-0.03643448073669263,0.4536508613690202,-0.41721638063232863
WM Superior longitudinal fascicle,0.26256651845313406,-0.5237653508957978,0.2611988324426764
WM Superior occipito-frontal fascicle,0.5189817538298612,-0.2932480415889358,-0.22573371224092362
WM Uncinate fascicle,-0.08260544022634579,-0.238503871698887,0.3211093119252331
subject,0.023022874239409654,0.009078514441888024,-0.0321013886813009
