,congruent,incongruent,neutral
Feat 1,-0.0015471736387654188,0.005190071357621411,-0.0036428977190606127
Feat 2,-0.008504204586383537,0.018265800334187406,-0.009761595747681841
Feat 3,0.00810849093486501,0.01286485803794608,-0.020973348972757436
Feat 4,-0.027936529692341148,0.009085535722435487,0.018850993969884156
Feat 5,0.0017843878879089886,0.006497133877783863,-0.008281521765704085
Feat 6,0.0003168730220748904,0.00941998297455848,-0.009736855996648834
Feat 7,0.019482669873869263,-0.017620918208215874,-0.0018617516656440896
Feat 8,0.03176225880843622,-0.0009248469775402412,-0.0308374118309971
Feat 9,0.005656619342953233,0.006501426786437241,-0.012158046129374713
Feat 10,0.0055317398558849,-0.0061478564759649985,0.0006161166201120811
Feat 11,0.015566907619080604,-0.006706013476134032,-0.008860894142996052
Feat 12,-0.01691469579888279,-0.0008441285490127727,0.01775882434797085
Feat 13,-0.0050398604016011666,0.0036312966236492993,0.0014085637779588868
Feat 14,0.0049631593390304625,-0.0011322242221615119,-0.0038309351168860396
Feat 15,-0.014427548306282706,0.018099195265113527,-0.0036716469587734606
Feat 16,-0.008906645690620352,-0.020157101954886708,0.029063747645504227
Feat 17,-0.0021566130323580276,-0.00418050941672023,0.006337122449033653
Feat 18,-0.01998479287806283,0.00025864630399697426,0.019726146574108323
Feat 19,-0.004200064117481349,-0.00945904927013943,0.013659113387590306
Feat 20,0.01879707849517402,-0.0006197031326303818,-0.018177375362546953
Feat 21,-0.006591270927013623,0.005622021455421651,0.0009692494716029626
Feat 22,-0.002962383258088089,-0.014763570799527434,0.01772595405765936
Feat 23,-0.0016683325527794015,0.00454910460538986,-0.0028807720526009533
Feat 24,0.007177109300004872,0.007390182270886687,-0.014567291570899497
Feat 25,-0.0028116180435611812,0.008469984529070277,-0.0056583664855353755
Feat 26,-0.01452159506833321,-0.0024077642205190546,0.016929359288853522
Feat 27,0.0021735564721246767,-0.019771339724340926,0.017597783252184255
Feat 28,-0.008942662957857426,-0.019032857610055486,0.027975520567967684
Feat 29,-0.012343587046689267,0.014807144346573067,-0.0024635572998891082
Feat 30,-0.001745846426985112,0.013831998201237813,-0.012086151774233457
Feat 31,-0.014145331574137079,0.01821613946144529,-0.004070807887301507
