,congruent,incongruent,neutral
b'7Networks_LH_Vis_1',-0.12121595777959338,-0.05382246582614235,0.1750384236057362
b'7Networks_LH_Vis_2',0.1418631268347887,0.036115168319883276,-0.1779782951546677
b'7Networks_LH_Vis_3',-0.04055215745297215,0.14133430183355356,-0.10078214438058032
b'7Networks_LH_Vis_4',-0.061467388744727944,0.03444894653094685,0.027018442213778374
b'7Networks_LH_Vis_5',0.1119769898585294,-0.019652042329907644,-0.09232494752862086
b'7Networks_LH_Vis_6',-0.032391607632440075,0.26965248738548575,-0.237260879753042
b'7Networks_LH_Vis_7',-0.6410293149589017,-0.11269381826397162,0.7537231332228782
b'7Networks_LH_Vis_8',-0.06651817223958217,0.1602990920047196,-0.09378091976513854
b'7Networks_LH_Vis_9',0.004730059486383997,-0.033265742625969784,0.028535683139587716
b'7Networks_LH_SomMot_1',0.2376089651411661,-0.17154515629519337,-0.06606380884597442
b'7Networks_LH_SomMot_2',0.32001742664886224,-0.3100008937927955,-0.010016532856067049
b'7Networks_LH_SomMot_3',0.021638090735796686,-0.058162317375437644,0.03652422663963981
b'7Networks_LH_SomMot_4',-0.09040738394341899,-0.01828061188321646,0.10868799582663281
b'7Networks_LH_SomMot_5',-0.20745182015723068,0.05468888763306565,0.15276293252416284
b'7Networks_LH_SomMot_6',0.03549340383600308,-0.22303835256461133,0.18754494872860586
b'7Networks_LH_DorsAttn_Post_1',0.6605106900942491,-0.25401483709781886,-0.40649585299643215
b'7Networks_LH_DorsAttn_Post_2',0.30632199688203837,-0.20612083086056104,-0.10020116602147763
b'7Networks_LH_DorsAttn_Post_3',-0.24681049636337138,0.34034936208924055,-0.09353886572586838
b'7Networks_LH_DorsAttn_Post_4',0.15662701102373447,-0.4023523505871526,0.24572533956342552
b'7Networks_LH_DorsAttn_Post_5',-0.07591864644516344,0.08224695929743173,-0.006328312852269266
b'7Networks_LH_DorsAttn_Post_6',-0.14573984394947426,0.08514134259250636,0.060598501356971174
b'7Networks_LH_DorsAttn_PrCv_1',-0.19854565180894443,0.2523767810833959,-0.05383112927445241
b'7Networks_LH_DorsAttn_FEF_1',0.03714274646477453,-0.10643562442877345,0.0692928779640002
b'7Networks_LH_SalVentAttn_ParOper_1',0.21312819335701166,-0.26527103206878233,0.05214283871176836
b'7Networks_LH_SalVentAttn_FrOperIns_1',0.39749615197639554,0.03794319837673754,-0.43543935035313264
b'7Networks_LH_SalVentAttn_FrOperIns_2',-0.1554910316633962,0.16069208935894125,-0.005201057695545422
b'7Networks_LH_SalVentAttn_PFCl_1',-0.04595330470050559,0.030873016485367596,0.015080288215137683
b'7Networks_LH_SalVentAttn_Med_1',-0.026821427660621646,-0.12461280163350924,0.15143422929412803
b'7Networks_LH_SalVentAttn_Med_2',-0.32735810571971924,0.45348948812273693,-0.1261313824030196
b'7Networks_LH_SalVentAttn_Med_3',-0.016305463284529392,-0.15803185123016145,0.17433731451469364
b'7Networks_LH_Limbic_OFC_1',-0.08608387289342027,0.19985754005898745,-0.11377366716556478
b'7Networks_LH_Limbic_TempPole_1',0.09246188951291212,-0.004197719934290869,-0.08826416957862057
b'7Networks_LH_Limbic_TempPole_2',0.14247049390261968,0.005192992950520538,-0.14766348685314168
b'7Networks_LH_Cont_Par_1',0.008672764906087024,-0.12940317234714022,0.120730407441059
b'7Networks_LH_Cont_PFCl_1',-0.3372634344034476,0.170001070676351,0.1672623637270873
b'7Networks_LH_Cont_pCun_1',-0.10586053002815439,0.010681556406883239,0.09517897362127059
b'7Networks_LH_Cont_Cing_1',0.10936387595581856,0.034096329151514226,-0.14346020510733526
b'7Networks_LH_Default_Temp_1',-0.13257207689739942,0.0761316035552895,0.05644047334211093
b'7Networks_LH_Default_Temp_2',0.13884814000007029,-0.12256324127392909,-0.016284898726141084
b'7Networks_LH_Default_Par_1',-0.3135121283482938,-0.16925309895124357,0.48276522729954685
b'7Networks_LH_Default_Par_2',0.2028348323984339,-0.27184014422412883,0.06900531182569423
b'7Networks_LH_Default_PFC_1',-0.2928924225885067,0.2048103069041944,0.08808211568431105
b'7Networks_LH_Default_PFC_2',-0.0003067704649546421,-0.11015834901989176,0.11046511948484566
b'7Networks_LH_Default_PFC_3',0.23641138475248485,-0.1587387763122426,-0.07767260844024418
b'7Networks_LH_Default_PFC_4',-0.04747922305734317,0.0030033510140631166,0.04447587204328013
b'7Networks_LH_Default_PFC_5',-0.13734912408722855,-0.12820018417546714,0.2655493082626933
b'7Networks_LH_Default_PFC_6',0.1526404193310218,-0.1172455672930429,-0.035394852037979055
b'7Networks_LH_Default_PFC_7',0.3437867233274776,-0.0756116782261271,-0.268175045101354
