,anger,disgust,fear
Brodmann area 20,-0.4642058764317842,-0.06491282972766609,0.5291187061594566
Brodmann area 38,0.23216737007181737,-0.1595489355117632,-0.0726184345600554
Brodmann area 36,0.0671650128254547,-0.3192105090384945,0.2520454962130322
Brodmann area 21,0.084536242089241,-0.2103951571025065,0.12585891501326557
Brodmann area 28,0.1398102403753489,0.40052849138485025,-0.5403387317602093
Brodmann area 11,0.9971224434325217,-0.21318618433819234,-0.7839362590943504
Dentate,-0.11339526015983177,0.045707082669232506,0.06768817749059913
Brodmann area 35,-0.09104634969434956,-0.24958123602530125,0.34062758571965157
Brodmann area 47,-0.44280194652217003,0.32873438977315395,0.11406755674901443
Hippocampus,-0.260700243560011,-0.3382861029902469,0.5989863465502643
Brodmann area 34,-0.4904564412447066,0.32517886916205396,0.16527757208266422
Amygdala,0.19738873896411607,-0.1418452306318237,-0.05554350833229124
Brodmann area 18,0.35560163440108883,-0.1459088851830885,-0.20969274921800035
Brodmann area 37,0.4770603098944806,0.09085604179882226,-0.5679163516932987
Brodmann area 25,-0.10716680191634242,-0.11423606560604116,0.22140286752238508
Brodmann area 17,-0.3698580306945315,-0.036292132079683806,0.40615016277420823
Brodmann area 19,0.07249940805569062,0.522086069391601,-0.5945854774472977
Optic Tract,-0.11875748554583965,-0.0010032923863506904,0.11976077793218412
Hypothalamus,-0.034075729307102426,-0.1367307504544411,0.17080647976153412
Brodmann area 13,-0.02964030388171006,-0.14822601714531625,0.17786632102701513
Substania Nigra,-0.20619812099335652,-0.15992037394840358,0.3661184949417538
Red Nucleus,-0.09524782655309522,0.24396318182818288,-0.14871535527508933
Caudate Tail,-0.21260360735591155,0.3143199678719202,-0.10171636051600644
Mammillary Body,0.19598182799508895,0.06284996696747264,-0.2588317949625509
Putamen,-0.06914841059110624,-0.19409240070877026,0.2632408112998739
Brodmann area 32,-0.19683025466429738,0.07313701843598014,0.12369323622831566
Brodmann area 10,-0.03014666851073984,0.07861245544313333,-0.04846578693239269
Brodmann area 30,0.20945875708373224,0.3132196928051146,-0.522678449888849
Brodmann area 27,-0.172190151550204,-0.3216964750586705,0.49388662660888316
Medial Geniculum Body,0.3348870441355752,-0.02529715360995717,-0.30958989052561914
Brodmann area 22,-0.3260902881937944,0.4284616041177252,-0.10237131592392767
Lateral Globus Pallidus,0.23794460784617283,-0.021542607701508357,-0.2164020001446685
Subthalamic Nucleus,-0.2958000228616983,0.38676298183114705,-0.09096295896945016
Medial Globus Pallidus,0.21683244712829686,-0.16947741714218975,-0.047355029986104386
Caudate Head,0.3898143810153845,-0.43097917888957527,0.041164797874191486
Brodmann area 24,0.5528809272132396,0.017510380650388346,-0.5703913078636325
Lateral Geniculum Body,0.13544126696016737,-0.27133420540034725,0.13589293844017464
Anterior Commissure,-0.175859904667547,0.3914511271629132,-0.21559122249536328
Corpus Callosum,0.23345230229937278,-0.08169608656205271,-0.15175621573731646
Ventral Posterior Lateral Nucleus,-0.08238110115954013,-0.132678212937888,0.21505931409742457
Ventral Posterior Medial Nucleus,-0.2484867478035092,0.015409776922524682,0.23307697088098228
Brodmann area 45,-0.28564914524235,0.27354033121500615,0.012108814027337904
Brodmann area 46,-0.03039383413519839,-0.15914291869620398,0.18953675283140153
Pulvinar,0.3699687454898506,0.33021784188577863,-0.7001865873756232
Medial Dorsal Nucleus,0.07350326293876336,0.04531561671644291,-0.11881887965519577
Ventral Lateral Nucleus,-0.32543187647989325,0.44130176552059996,-0.11586988904070944
Ventral Anterior Nucleus,-0.29616546050781367,-0.09694220225585509,0.3931076627636716
Brodmann area 29,-0.12891014381498123,-0.369610547850577,0.49852069166555735
Brodmann area 41,-0.47332121810167316,0.14785515196111942,0.3254660661405521
Brodmann area 42,-0.04999297385466659,-0.4124163801843259,0.46240935403899425
Brodmann area 6,-0.04734604782074336,-0.0885299921527137,0.13587603997346992
Anterior Nucleus,0.3909689959809429,-0.09651130012600168,-0.2944576958549465
Brodmann area 44,0.11081845643802433,-0.2187248753881556,0.10790641895013145
Caudate Body,-0.18235461072047243,0.03418054960434937,0.14817406111612386
Brodmann area 39,-0.1891266129468795,-0.0905994011800306,0.27972601412690473
Brodmann area 23,-0.003208391517066783,0.32680703485589296,-0.3235986433388172
Lateral Posterior Nucleus,-0.007924077264559702,-0.23548912970905234,0.24341320697361202
Brodmann area 43,0.5857409920588077,0.07920821312397455,-0.6649492051827643
Brodmann area 31,0.10513484453136553,-0.17320052730370372,0.06806568277233538
Brodmann area 40,0.3433906418240463,-0.007711132679007457,-0.33567950914503475
Lateral Dorsal Nucleus,0.022989302576349752,0.024886860316757298,-0.04787616289310844
Midline Nucleus,-0.036605694240451146,-0.1637315764019517,0.20033727064240134
Brodmann area 4,-0.11668948907356069,0.23732154224104285,-0.12063205316747741
Brodmann area 9,-0.03416449367850715,0.23438711771642828,-0.20022262403792496
Brodmann area 33,-0.12332286535294101,-0.4198960060694863,0.5432188714224184
Brodmann area 2,0.09584952645539162,0.007333217062163527,-0.10318274351754718
Brodmann area 1,0.03918259135678494,-0.4336441860278109,0.39446159467103054
Brodmann area 3,-0.18628644034251868,0.28564596231941297,-0.09935952197690189
Brodmann area 7,0.041880804936927016,-0.07276519103142431,0.030884386094498298
Brodmann area 8,-0.1985294085915425,0.16962394411668333,0.028905464474859068
Brodmann area 5,-0.1077988147380389,0.07689307398637128,0.030905740751663968
subject,-0.05832530295210955,-0.0005486548833857595,0.058873957835484214
