,congruent,incongruent,neutral
Brodmann area 20,0.5697669897803329,-0.2220660223342956,-0.34770096744604095
Brodmann area 38,-0.20463884392545678,-0.08213381098096335,0.2867726549064214
Brodmann area 36,-0.17814962317560004,0.1294184163412021,0.04873120683439714
Brodmann area 21,0.09504429186358634,-0.03956033789320069,-0.05548395397038489
Brodmann area 28,0.1657154170891326,0.4386451255853897,-0.6043605426745168
Brodmann area 11,0.2805931884886983,0.03196893721124915,-0.31256212569994996
Dentate,0.28265345980892387,0.008394491537459473,-0.29104795134638484
Brodmann area 35,-0.13832942768378445,-0.4313269929798149,0.5696564206635957
Brodmann area 47,-0.17815394140366542,0.28600298855552636,-0.10784904715186269
Hippocampus,-0.04446943163271749,0.06661995894678255,-0.022150527314070453
Brodmann area 34,0.40893994204804773,-0.15205830166837292,-0.25688164037968114
Amygdala,0.1264729445593529,0.3776208604734432,-0.5040938050327947
Brodmann area 18,0.48715065381064526,-0.3702387641053626,-0.11691188970528058
Brodmann area 37,0.20123723201915006,-0.6488167127185118,0.44757948069937015
Brodmann area 25,-0.19139850542530684,0.08405376155142913,0.10734474387387774
Brodmann area 17,-0.3383741421147528,0.8019867279978556,-0.4636125858831104
Brodmann area 19,-0.1648311000950512,0.004921087140511704,0.15991001295454477
Optic Tract,-0.29137161716642107,0.28185192987677865,0.00951968728964079
Hypothalamus,0.04610610845459549,0.17075634147430396,-0.2168624499289044
Brodmann area 13,0.4266565073340871,-0.11425324750033203,-0.31240325983376765
Substania Nigra,-0.02789554667251945,-0.07870235911558238,0.10659790578809739
Red Nucleus,-0.0972818448125645,0.3003201511219011,-0.20303830630933736
Caudate Tail,0.6436229074855381,-0.043993540944343074,-0.5996293665412014
Mammillary Body,0.27669289801372143,-0.2709723541635597,-0.005720543850164378
Putamen,0.2614116387621024,-0.4431442473935872,0.18173260863147403
Brodmann area 32,0.4534951966477019,-0.5460323768237669,0.09253718017607006
Brodmann area 10,0.27295189804108944,0.0097408874630021,-0.28269278550409527
Brodmann area 30,-0.7475153243227814,0.27570810818522873,0.47180721613755283
Brodmann area 27,0.3514419507946994,-0.5070494243164174,0.15560747352173063
Medial Geniculum Body,-0.0857076575636505,0.1113438208855046,-0.02563616332185685
Brodmann area 22,-0.40430684958873525,0.1375723407010821,0.2667345088876567
Lateral Globus Pallidus,0.06319202750860632,-0.01727176806163095,-0.04592025944697717
Subthalamic Nucleus,0.09481269747116079,0.3002106269951984,-0.39502332446636373
Medial Globus Pallidus,0.16686923608735177,-0.24425425177667015,0.0773850156893185
Caudate Head,-0.13854104454328392,0.16671010026187888,-0.0281690557185936
Brodmann area 24,-0.10040085677479633,0.29671201438233236,-0.19631115760753098
Lateral Geniculum Body,0.0736472088865397,0.09853387134330328,-0.17218108022984668
Anterior Commissure,-0.011350778256676304,-0.00989752023434763,0.02124829849102342
Corpus Callosum,0.21014943808328687,-0.2307183649983865,0.020568926915105423
Ventral Posterior Lateral Nucleus,0.0002381725480632979,0.02949691227945734,-0.02973508482752135
Ventral Posterior Medial Nucleus,-0.18283885061828564,0.053030147572571656,0.12980870304571113
Brodmann area 45,-0.6152038710524964,-0.009260463574595243,0.6244643346271016
Brodmann area 46,-0.41622863350665923,0.49617542852575935,-0.07994679501909788
Pulvinar,-0.1647754769683261,-0.10327999578729324,0.26805547275561586
Medial Dorsal Nucleus,0.2517443131956036,-0.41587703943016674,0.16413272623456243
Ventral Lateral Nucleus,-0.46730605815003934,0.3925450358207667,0.07476102232926421
Ventral Anterior Nucleus,-0.32918167475248317,0.26708899354013815,0.062092681212340385
Brodmann area 29,-0.1700215471743043,0.25673624730681727,-0.08671470013251241
Brodmann area 41,0.09140111971332035,0.07193442976608637,-0.16333554947940132
Brodmann area 42,0.07761744065332718,-0.2895732335656879,0.2119557929123546
Brodmann area 6,-0.2710258196564187,-0.1319105657909735,0.402936385447396
Anterior Nucleus,0.1036652341809026,-0.06605742954409807,-0.03760780463681129
Brodmann area 44,0.07625538933879122,0.1325023753692996,-0.2087577647080909
Caudate Body,-0.3933803978709015,0.1796866801808069,0.21369371769009285
Brodmann area 39,-0.3870491780536798,-0.8166840647103427,1.2037332427640184
Brodmann area 23,-0.16801398269807566,-0.08593167988230047,0.253945662580372
Lateral Posterior Nucleus,-0.18975346581734245,0.09975752166837451,0.08999594414897183
Brodmann area 43,0.2234010474224511,0.007921685823921248,-0.2313227332463778
Brodmann area 31,0.22657382239282728,0.33632089020977907,-0.5628947126026065
Brodmann area 40,0.3431871977913875,-0.22558133078690834,-0.11760586700447334
Lateral Dorsal Nucleus,0.028392745142491016,0.04157756841559553,-0.06997031355809272
Midline Nucleus,0.5556039845085604,-0.24263359860533873,-0.31297038590322446
Brodmann area 4,0.08068717299699076,-0.026965674371208177,-0.053721498625783584
Brodmann area 9,-0.4316787780484879,0.05049314953772814,0.38118562851076293
Brodmann area 33,-0.23015265129503965,0.3688379324673533,-0.13868528117231332
Brodmann area 2,0.12000171844109322,-0.28610887262048823,0.16610715417940303
Brodmann area 1,0.007018266586791194,0.044157767802548736,-0.051176034389342956
Brodmann area 3,0.015834644480179294,-0.03891280324535018,0.02307815876516127
Brodmann area 7,0.15507944557757553,0.03156918110139024,-0.18664862667896698
Brodmann area 8,0.09788976278759454,-0.44132485263854804,0.34343508985094967
Brodmann area 5,0.12981231749517178,0.001957835828830523,-0.13177015332400727
subject,-0.006982545071499871,0.010338480845589498,-0.0033559357740821083
