Feat 1,Feat 2,Feat 3,filename,subject,emotion,priming,true_label,predicted_label,error_count
-126.86091,-16.924395,4.5473595,./emotion-fmri-neu/cp022_beta_disgust_incongruent_c0.nii.gz,22,disgust,incongruent,incongruent,neutral,1
-26.382483,2.7663982,3.2001595,./emotion-fmri-neu/cp028_beta_fear_incongruent_c0.nii.gz,28,fear,incongruent,incongruent,neutral,1
-26.295826,3.2992613,4.7047935,./emotion-fmri-neu/cp028_beta_disgust_incongruent_c0.nii.gz,28,disgust,incongruent,incongruent,neutral,1
-25.387352,2.9702606,2.501231,./emotion-fmri-neu/cp028_beta_anger_incongruent_c0.nii.gz,28,anger,incongruent,incongruent,neutral,1
-22.954397,2.2879677,1.9549489,./emotion-fmri-neu/cp028_beta_anger_congruent_c0.nii.gz,28,anger,congruent,congruent,neutral,1
-22.714672,1.4579387,1.180712,./emotion-fmri-neu/cp028_beta_fear_congruent_c0.nii.gz,28,fear,congruent,congruent,neutral,1
-22.49397,2.8391838,2.4926198,./emotion-fmri-neu/cp028_beta_disgust_congruent_c0.nii.gz,28,disgust,congruent,congruent,neutral,1
-19.199228,-3.889722,-5.447069,./emotion-fmri-neu/cp027_beta_anger_neutral_c0.nii.gz,27,anger,neutral,neutral,incongruent,1
-18.752655,-5.3258233,-6.233855,./emotion-fmri-neu/cp027_beta_disgust_neutral_c0.nii.gz,27,disgust,neutral,neutral,incongruent,1
-17.844482,-4.0387793,-6.2475877,./emotion-fmri-neu/cp027_beta_fear_neutral_c0.nii.gz,27,fear,neutral,neutral,incongruent,1
-17.50557,13.524483,-2.7831903,./emotion-fmri-neu/cp026_beta_fear_congruent_c0.nii.gz,26,fear,congruent,congruent,neutral,1
-16.876835,14.245956,-2.4293835,./emotion-fmri-neu/cp026_beta_anger_congruent_c0.nii.gz,26,anger,congruent,congruent,neutral,1
-16.67917,-4.9505863,-7.1042614,./emotion-fmri-neu/cp027_beta_anger_incongruent_c0.nii.gz,27,anger,incongruent,incongruent,congruent,1
-16.51924,1.9204081,17.101053,./emotion-fmri-neu/cp013_beta_anger_neutral_c0.nii.gz,13,anger,neutral,neutral,incongruent,1
-16.126837,-5.7289443,-6.867741,./emotion-fmri-neu/cp027_beta_fear_incongruent_c0.nii.gz,27,fear,incongruent,incongruent,congruent,1
