Feat 1,Feat 2,Feat 3,filename,subject,emotion,priming
-3.4442043,1.8787704,19.759714,./emotion-fmri-neu/cp001_beta_anger_congruent_c0.nii.gz,1,anger,congruent
-1.0928702,2.12777,22.430738,./emotion-fmri-neu/cp001_beta_anger_incongruent_c0.nii.gz,1,anger,incongruent
-2.2760165,1.891846,23.655664,./emotion-fmri-neu/cp001_beta_anger_neutral_c0.nii.gz,1,anger,neutral
-3.0204096,1.9337895,20.234377,./emotion-fmri-neu/cp001_beta_fear_congruent_c0.nii.gz,1,fear,congruent
0.10085623,2.7117,22.843803,./emotion-fmri-neu/cp001_beta_fear_incongruent_c0.nii.gz,1,fear,incongruent
-0.95836294,0.6636745,21.970053,./emotion-fmri-neu/cp001_beta_fear_neutral_c0.nii.gz,1,fear,neutral
-1.0104367,3.3940315,21.916237,./emotion-fmri-neu/cp001_beta_disgust_congruent_c0.nii.gz,1,disgust,congruent
0.72869146,3.1410356,22.622871,./emotion-fmri-neu/cp001_beta_disgust_incongruent_c0.nii.gz,1,disgust,incongruent
-0.40989834,2.2479045,24.33261,./emotion-fmri-neu/cp001_beta_disgust_neutral_c0.nii.gz,1,disgust,neutral
20.756847,-4.4530606,10.754161,./emotion-fmri-neu/cp002_beta_anger_congruent_c0.nii.gz,2,anger,congruent
20.892262,-2.0679014,12.441962,./emotion-fmri-neu/cp002_beta_anger_incongruent_c0.nii.gz,2,anger,incongruent
17.756184,-1.1522009,13.51831,./emotion-fmri-neu/cp002_beta_anger_neutral_c0.nii.gz,2,anger,neutral
19.474684,-1.214392,10.5781145,./emotion-fmri-neu/cp002_beta_fear_congruent_c0.nii.gz,2,fear,congruent
18.988182,-1.8587204,12.245312,./emotion-fmri-neu/cp002_beta_fear_incongruent_c0.nii.gz,2,fear,incongruent
19.373198,-0.8841684,13.487174,./emotion-fmri-neu/cp002_beta_fear_neutral_c0.nii.gz,2,fear,neutral
20.876982,-4.009151,11.009402,./emotion-fmri-neu/cp002_beta_disgust_congruent_c0.nii.gz,2,disgust,congruent
19.612633,-1.6640078,12.0904455,./emotion-fmri-neu/cp002_beta_disgust_incongruent_c0.nii.gz,2,disgust,incongruent
21.90725,-1.6751499,13.2812805,./emotion-fmri-neu/cp002_beta_disgust_neutral_c0.nii.gz,2,disgust,neutral
0.98966604,9.499168,5.301173,./emotion-fmri-neu/cp003_beta_anger_congruent_c0.nii.gz,3,anger,congruent
-0.46632817,8.942651,4.226867,./emotion-fmri-neu/cp003_beta_anger_incongruent_c0.nii.gz,3,anger,incongruent
-2.0604928,9.318479,4.6051655,./emotion-fmri-neu/cp003_beta_anger_neutral_c0.nii.gz,3,anger,neutral
0.0073305843,5.1538286,6.6735907,./emotion-fmri-neu/cp003_beta_fear_congruent_c0.nii.gz,3,fear,congruent
-0.8778689,8.67319,3.1978402,./emotion-fmri-neu/cp003_beta_fear_incongruent_c0.nii.gz,3,fear,incongruent
-0.9177342,7.038969,3.0930595,./emotion-fmri-neu/cp003_beta_fear_neutral_c0.nii.gz,3,fear,neutral
-0.05304468,5.4099097,6.4446917,./emotion-fmri-neu/cp003_beta_disgust_congruent_c0.nii.gz,3,disgust,congruent
0.09652076,9.391585,3.8467994,./emotion-fmri-neu/cp003_beta_disgust_incongruent_c0.nii.gz,3,disgust,incongruent
0.8307557,10.251506,2.8379579,./emotion-fmri-neu/cp003_beta_disgust_neutral_c0.nii.gz,3,disgust,neutral
-9.21603,-14.077614,-1.9725041,./emotion-fmri-neu/cp004_beta_anger_congruent_c0.nii.gz,4,anger,congruent
-10.28366,-15.057399,-2.1361263,./emotion-fmri-neu/cp004_beta_anger_incongruent_c0.nii.gz,4,anger,incongruent
-8.369934,-14.3840065,-6.618644,./emotion-fmri-neu/cp004_beta_anger_neutral_c0.nii.gz,4,anger,neutral
-0.1487885,16.382252,-8.153287,./emotion-fmri-neu/cp004_beta_fear_congruent_c0.nii.gz,4,fear,congruent
-10.422925,-16.005135,-2.0652013,./emotion-fmri-neu/cp004_beta_fear_incongruent_c0.nii.gz,4,fear,incongruent
-1.7397921,8.970551,1.514165,./emotion-fmri-neu/cp004_beta_fear_neutral_c0.nii.gz,4,fear,neutral
