,anger,disgust,fear
Precentral_L,-0.011834401267426428,0.012213112923383868,-0.00037871165595268973
Precentral_R,-0.043964696710064,0.30699474968616425,-0.26303005297610266
Frontal_Sup_L,0.21581038103041034,0.05042533790700143,-0.2662357189374114
Frontal_Sup_R,-0.1708298452879066,0.21908217661853654,-0.04825233133062858
Frontal_Sup_Orb_L,-0.17266142885412633,0.2603586073523859,-0.0876971784982504
Frontal_Sup_Orb_R,0.3261433786150938,0.08821746348699822,-0.41436084210210755
Frontal_Mid_L,0.12801713663600173,-0.2022754330844876,0.07425829644848578
Frontal_Mid_R,-0.4782280823848087,-0.2770789478217615,0.7553070302065661
Frontal_Mid_Orb_L,0.33793628943569387,-0.3694605899383372,0.03152430050263429
Frontal_Mid_Orb_R,0.06696584228213104,-0.6444342067395042,0.5774683644573655
Frontal_Inf_Oper_L,-0.22190087270804654,0.34746280872529234,-0.12556193601724902
Frontal_Inf_Oper_R,-0.043320189485191264,0.0991078091230348,-0.055787619637836405
Frontal_Inf_Tri_L,-0.4800169565880199,0.44808209213057604,0.031934864457452146
Frontal_Inf_Tri_R,-0.0698133194391671,0.17221098815676356,-0.10239766871760334
Frontal_Inf_Orb_L,-0.5672017533542857,0.5447222799198441,0.02247947343445155
Frontal_Inf_Orb_R,-0.011597755143732135,-0.07216679588296983,0.08376455102669553
Rolandic_Oper_L,0.4508712471719519,-0.3834855042231234,-0.06738574294882974
Rolandic_Oper_R,0.12087691886027821,0.31515379855290065,-0.4360307174131771
Supp_Motor_Area_L,-0.500232213512934,-0.29831051869262215,0.7985427322055733
Supp_Motor_Area_R,0.5855357697478437,0.17363788851100448,-0.7591736582588497
Olfactory_L,-0.48063334916437783,-0.2111018987822947,0.6917352479466776
Olfactory_R,0.10973533259229681,0.3337783246941385,-0.44351365728642883
Frontal_Sup_Medial_L,0.4544643134417797,9.516476558821401e-05,-0.45455947820737386
Frontal_Sup_Medial_R,-0.20976406625483773,-0.0028102513019858154,0.21257431755682013
Frontal_Med_Orb_L,0.4513395282374998,-0.2508029660781578,-0.20053656215934387
Frontal_Med_Orb_R,0.11285757812700799,0.22403667964887353,-0.3368942577758804
Rectus_L,0.7051270830874337,-0.4678655282641552,-0.2372615548232845
Rectus_R,-0.25221799806476713,0.3382802589051227,-0.08606226084036517
Insula_L,0.16865519901438547,-0.19759337881501368,0.028938179800618524
Insula_R,-0.21811209566703987,-0.1654683461264206,0.38358044179346085
