,congruent,incongruent,neutral
Precentral_L,-0.4211478251512121,0.17822344727345446,0.24292437787775759
Precentral_R,0.409682794895528,-0.10661014374031182,-0.303072651155215
Frontal_Sup_L,0.5091511136321865,-0.436502506736287,-0.07264860689590476
Frontal_Sup_R,0.3507234544331693,-0.14395403330729298,-0.20676942112587576
Frontal_Sup_Orb_L,0.02182558860921529,0.3135999729359475,-0.33542556154516007
Frontal_Sup_Orb_R,-0.21272633673155408,0.4400293709113229,-0.22730303417977407
Frontal_Mid_L,0.10428893819283128,-0.09214338081000464,-0.012145557382826475
Frontal_Mid_R,-0.10464056185750636,0.08531297685234726,0.01932758500515912
Frontal_Mid_Orb_L,0.2078082882850345,0.09121919204953484,-0.29902748033457127
Frontal_Mid_Orb_R,0.07928882736920444,-0.08564231927759715,0.006353491908393927
Frontal_Inf_Oper_L,0.09883289994036186,-0.14736296902167975,0.048530069081318086
Frontal_Inf_Oper_R,-0.29172719873218045,0.5228568679949677,-0.2311296692627894
Frontal_Inf_Tri_L,-0.5149674400324316,0.11291857250024276,0.402048867532191
Frontal_Inf_Tri_R,-0.4299377363079865,0.11574247435000753,0.31419526195798053
Frontal_Inf_Orb_L,-0.1817406959002339,0.2631794465399393,-0.08143875063970522
Frontal_Inf_Orb_R,-0.23356348877495545,0.42456763530501096,-0.19100414653004993
Rolandic_Oper_L,0.4777664272340081,-0.13079993947009044,-0.34696648776391636
Rolandic_Oper_R,-0.21878503439101946,0.32223721921306014,-0.10345218482204352
Supp_Motor_Area_L,-0.12603042560003966,-0.2631544283849049,0.38918485398494396
Supp_Motor_Area_R,0.01665609729121063,-0.1600596006650002,0.14340350337378968
Olfactory_L,-0.5178465610536807,0.04644517088815268,0.4714013901655304
Olfactory_R,-0.010965059350624345,-0.10960336454530528,0.12056842389592778
Frontal_Sup_Medial_L,-0.16121328876161142,-0.34027387390404584,0.5014871626656611
Frontal_Sup_Medial_R,-0.4546621272114453,0.1905374327160715,0.2641246944953767
Frontal_Med_Orb_L,0.18952193853414379,-0.36155177214127376,0.1720298336071328
Frontal_Med_Orb_R,-0.39029454712210754,0.3313118795957645,0.05898266752634207
Rectus_L,0.06454162969760288,-0.22994090567121578,0.1653992759736159
Rectus_R,0.6004028193881948,-0.3286527275984327,-0.27175009178975923
Insula_L,-0.015081062049073663,0.07428526450200121,-0.0592042024529266
Insula_R,0.28278023891602955,-0.04591969611558931,-0.2368605428004371
Cingulum_Ant_L,0.19570848929070925,0.14427400938277127,-0.3399824986734808
Cingulum_Ant_R,0.22941272294155,-0.2606263503682625,0.031213627426713093
Cingulum_Mid_L,-0.2569718183289237,0.44477261930696044,-0.1878008009780397
Cingulum_Mid_R,0.36909588932081033,0.016785229848104037,-0.3858811191689141
Cingulum_Post_L,0.02043607874403039,0.12592637148334956,-0.14636245022738192
Cingulum_Post_R,-0.09088089993785373,-0.2886813758803933,0.3795622758182505
Hippocampus_L,-0.009623271452101154,0.13378600333575547,-0.1241627318836525
Hippocampus_R,0.29997011485994884,-0.1412879402835998,-0.1586821745763486
ParaHippocampal_L,-0.00037276124359283405,-0.16793890925029417,0.1683116704938889
ParaHippocampal_R,-0.005712354429467783,0.26021191599159504,-0.2544995615621265
Amygdala_L,0.3065375962735265,0.3390920526480034,-0.6456296489215324
Amygdala_R,0.11042024298266599,0.17660095611597518,-0.28702119909864016
Calcarine_L,0.22740254857244907,0.1815173634172413,-0.4089199119896919
Calcarine_R,-0.2462816625381042,0.41506327046939234,-0.16878160793128627
