,congruent,incongruent,neutral
Left Cerebral White Matter,-0.4249576821428168,0.5205290794833617,-0.09557139734054451
Left Cerebral Cortex ,-0.1440264152500038,-0.16387123666858008,0.30789765191858687
Left Lateral Ventrical,0.590333619259525,-0.1879299231940313,-0.4024036960654989
Left Thalamus,-0.21482147093273046,0.04500776015644563,0.1698137107762833
Left Caudate,-0.6298157544100471,0.023729099567454056,0.6060866548425816
Left Putamen,-0.028499721895442413,-0.0967013335208231,0.12520105541626442
Left Pallidum,-0.3348537495890895,0.08812181993794485,0.24673192965114715
Brain-Stem,0.16598491040343777,-0.017997923897458183,-0.14798698650598313
Left Hippocampus,-0.36950252661686533,0.045742474601878316,0.3237600520149835
Left Amygdala,0.18466475474130944,0.19543497257729925,-0.38009972731860986
Left Accumbens,0.09410838401101504,-0.011341679084542056,-0.08276670492647296
Right Cerebral White Matter,0.2746332590002945,-0.5288101003693811,0.2541768413690869
Right Cerebral Cortex ,-0.05274062741587271,-0.05712259595898863,0.10986322337486117
Right Lateral Ventricle,-0.15424680526636542,-0.09224120665114667,0.24648801191751507
Right Thalamus,0.36042274885546116,-0.014463845995985098,-0.34595890285947606
Right Caudate,0.19643347984572926,0.17160153631412634,-0.36803501615985645
Right Putamen,0.4575169988669624,-0.07869914595905092,-0.37881785290790915
Right Pallidum,-0.09132317563417194,0.316689187222973,-0.22536601158880337
Right Hippocampus,0.1356982814001566,-0.2744254465711068,0.13872716517094946
Right Amygdala,-0.07265748715177633,0.21921026419853556,-0.1465527770467574
Right Accumbens,0.10431187605656127,-0.18999962120116692,0.08568774514460624
subject,-0.0005942966957036966,0.003284962721070139,-0.00269066602536728
