,congruent,incongruent,neutral
Left Cerebellum,-0.011455757013168134,-0.001846201760099725,0.013301958773268157
Right Cerebellum,0.1515124991956927,-0.0018652378844123893,-0.14964726131128203
Left Brainstem,0.0021742613447697625,0.2443544317436644,-0.2465286930884351
Right Brainstem,0.01679380685561287,-0.24299523553621247,0.2262014286806001
Left Cerebrum,-0.4753766483415035,0.09833685501768719,0.37703979332381343
Right Cerebrum,0.47519173524574326,-0.238908786062207,-0.23628294918353535
Inter-Hemispheric,-0.3112472835272061,-0.2938837351107768,0.6051310186379795
subject,0.016387475214110745,-0.019753688110919237,0.003366212896810203
Posterior Lobe,0.10222815209828565,-0.03181943487485626,-0.07040871722342748
Medulla,0.09660504730110828,-0.04623798383889006,-0.0503670634622179
Temporal Lobe,-0.04774034293255164,-1.17031103657039,1.218051379502943
Limbic Lobe,-0.3041608338502753,1.0149924293922246,-0.7108315955419509
Frontal Lobe,0.07306673895070526,-0.10361532538621916,0.030548586435513492
Sub-lobar,-0.05344891067332318,0.3119420848682079,-0.25849317419488627
Pons,0.01688903919700288,0.12279080415789759,-0.13967984335490247
Anterior Lobe,-0.1317177354337441,-0.010082941147606394,0.1418006765813492
Occipital Lobe,-0.1811110946016783,0.5622669218826891,-0.3811558272810213
Midbrain,-0.023621137451465594,-0.07886925531584019,0.10249039276730516
Frontal-Temporal Space,0.14211642497947463,0.30844483157084746,-0.45056125655032025
Parietal Lobe,0.29491656208615047,-0.26563725288868584,-0.029279309197466973
Gray Matter,0.2534893144261944,0.17736544524765813,-0.4308547596738494
White Matter,-0.34557612092759976,-0.33043400427369674,0.6760101252012953
Cerebro-Spinal Fluid,0.5186102257585384,-0.33539597933585374,-0.18321424642268597
