,anger,disgust,fear
Frontal Pole,0.4746621872654585,-0.28527169838174216,-0.18939048888371746
Insular Cortex,-0.08227728729793762,-0.245007029847173,0.3272843171451155
Superior Frontal Gyrus,0.2126247656039074,0.14403269786640566,-0.35665746347031874
Middle Frontal Gyrus,-0.23814043232924614,0.022938048213373856,0.2152023841158726
"Inferior Frontal Gyrus, pars triangularis",-0.2718635310296259,0.1216448570894026,0.15021867394022495
"Inferior Frontal Gyrus, pars opercularis",-0.2811741643236472,0.13494549343394835,0.14622867088969466
Precentral Gyrus,-0.10797446436306776,0.38113533516413595,-0.2731608708010699
Temporal Pole,0.22213492639985127,0.06147540757021156,-0.2836103339700632
"Superior Temporal Gyrus, anterior division",0.013972013822574325,-0.3921238612791087,0.37815184745653535
"Superior Temporal Gyrus, posterior division",0.1426051312629641,0.32609038028357135,-0.4686955115465324
"Middle Temporal Gyrus, anterior division",-0.046181865836551594,-0.06906510942139757,0.11524697525795116
"Middle Temporal Gyrus, posterior division",-0.23636511929275192,-0.2906286534486378,0.526993772741397
"Middle Temporal Gyrus, temporooccipital part",0.16277057946146267,0.31581731864930696,-0.478587898110766
"Inferior Temporal Gyrus, anterior division",0.035856327245748096,0.030912573490082397,-0.06676890073583033
"Inferior Temporal Gyrus, posterior division",-0.11265024304054201,-0.1456782840092698,0.2583285270498167
"Inferior Temporal Gyrus, temporooccipital part",0.012480929276642558,0.15242452153703304,-0.16490545081367441
Postcentral Gyrus,0.14475961444163946,-0.3719568326283442,0.22719721818670502
Superior Parietal Lobule,-0.0008699602542308268,0.38003209563862694,-0.3791621353844042
"Supramarginal Gyrus, anterior division",0.25256513031937,-0.5357520312790199,0.28318690095964244
"Supramarginal Gyrus, posterior division",0.12090477395061086,0.38375129940065233,-0.5046560733512571
Angular Gyrus,-0.2430778730872611,-0.17953239908790625,0.42261027217516495
"Lateral Occipital Cortex, superior division",0.15711151208176888,0.002600142706819547,-0.15971165478859167
"Lateral Occipital Cortex, inferior division",0.3980387654546084,0.15507191035812887,-0.5531106758127347
Intracalcarine Cortex,0.0707665617209542,0.14152729632726488,-0.212293858048222
Frontal Medial Cortex,0.3239719110068985,-0.2709693437980613,-0.05300256720883786
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.047082470946661036,-0.31188042948541644,0.3589629004320812
Subcallosal Cortex,-0.07732172764713786,0.11961913549284604,-0.042297407845706056
Paracingulate Gyrus,-0.42333215472701013,0.422227991868532,0.0011041628584844503
"Cingulate Gyrus, anterior division",0.41484773591796087,-0.14788444782313617,-0.26696328809482045
"Cingulate Gyrus, posterior division",-0.02068414787780854,-0.13240410871222513,0.15308825659003783
Precuneous Cortex,0.13721175613783068,-0.3253551536053809,0.18814339746755124
Cuneal Cortex,-0.14383712459133946,0.2635596555981807,-0.1197225310068412
Frontal Orbital Cortex,-0.09249200211220529,0.0701955024363213,0.022296499675886122
"Parahippocampal Gyrus, anterior division",0.3158259368116161,-0.19206864907209006,-0.12375728773952695
"Parahippocampal Gyrus, posterior division",-0.3083305896621982,-0.08648864867345589,0.39481923833565624
Lingual Gyrus,0.2419247355505531,0.050332822018436175,-0.29225755756899313
"Temporal Fusiform Cortex, anterior division",-0.20972065310572413,0.12448383178130476,0.08523682132442104
"Temporal Fusiform Cortex, posterior division",-0.4618355494104066,0.13228763704622298,0.3295479123641746
Temporal Occipital Fusiform Cortex,0.1306229281228036,-0.24723392964077578,0.1166110015179694
Occipital Fusiform Gyrus,-0.1299669077669441,0.029860261647853936,0.10010664611909133
Frontal Operculum Cortex,0.042222434082822044,0.00953023588224414,-0.05175266996506619
Central Opercular Cortex,0.20796551073742303,0.23490134331819976,-0.44286685405562115
Parietal Operculum Cortex,-0.11043827003070057,0.07165927500343854,0.038778995027263216
Planum Polare,-0.22545298209109635,0.296590168735094,-0.07113718664399574
Heschl's Gyrus (includes H1 and H2),0.07988684426282322,-0.07423423384133243,-0.005652610421491272
Planum Temporale,-0.2635596284592232,-0.15739804034466134,0.42095766880388935
Supracalcarine Cortex,-0.04425857607179946,-0.12360365859814967,0.16786223466995437
Occipital Pole,-0.23238448083829147,-0.29071046356029373,0.5230949443985817
subject,-0.02167131963505736,0.009998584574664179,0.011672735060395085
