,congruent,incongruent,neutral
Frontal Pole,-0.010859640775334028,-0.4282293723577307,0.4390890131330714
Insular Cortex,0.5547223471125627,0.13810280314956386,-0.6928251502621329
Superior Frontal Gyrus,0.13549897013886564,-0.2076187608454166,0.07211979070654995
Middle Frontal Gyrus,-0.1316897395919207,-0.20994399639775357,0.3416337359896777
"Inferior Frontal Gyrus, pars triangularis",-0.2525322788416061,-0.07009791308277273,0.32263019192437686
"Inferior Frontal Gyrus, pars opercularis",-0.41266305698176275,0.7525603159629923,-0.3398972589812329
Precentral Gyrus,0.5401294705978374,-0.05507269488129476,-0.4850567757165448
Temporal Pole,-0.9155847962829414,0.36689227070626707,0.5486925255766788
"Superior Temporal Gyrus, anterior division",-0.8173283382690133,0.4174738557661722,0.3998544825028384
"Superior Temporal Gyrus, posterior division",0.009624751193158193,0.713732897156531,-0.7233576483496861
"Middle Temporal Gyrus, anterior division",-0.559880767950222,0.30469514826290167,0.25518561968731707
"Middle Temporal Gyrus, posterior division",1.024217372880579,-0.5092388569563526,-0.5149785159242442
"Middle Temporal Gyrus, temporooccipital part",-0.9174092383265957,-0.9633449413867714,1.8807541797133616
"Inferior Temporal Gyrus, anterior division",0.29773989655198563,0.1839268700799964,-0.4816667666319834
"Inferior Temporal Gyrus, posterior division",0.16667733571800453,-0.3222910347699844,0.15561369905197275
"Inferior Temporal Gyrus, temporooccipital part",0.5567111059266924,0.6420070438846038,-1.1987181498113002
Postcentral Gyrus,0.12180703463108425,-0.31706152040679625,0.19525448577571178
Superior Parietal Lobule,0.1111071367902571,-0.2462694303164695,0.13516229352621262
"Supramarginal Gyrus, anterior division",0.5226021127578927,0.070279733685142,-0.5928818464430304
"Supramarginal Gyrus, posterior division",-0.5098616959080922,0.015066984634494152,0.49479471127359015
Angular Gyrus,0.20712218506993568,-0.4061560656556287,0.19903388058569244
"Lateral Occipital Cortex, superior division",-0.0033780736449517484,0.22533998340972206,-0.2219619097647711
"Lateral Occipital Cortex, inferior division",0.3933755604364902,-1.368453401866035,0.9750778414295305
Intracalcarine Cortex,-0.2687819664045503,0.4510122919824252,-0.1822303255778775
Frontal Medial Cortex,-0.1282668466350559,-0.05689241544469646,0.18515926207975433
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.305886463689922,-0.0659704570178542,0.3718569207077766
Subcallosal Cortex,-0.03899222743452726,-0.21356148398689467,0.2525537114214198
Paracingulate Gyrus,0.18603957856245826,-0.8226044450280785,0.6365648664656177
"Cingulate Gyrus, anterior division",0.14838556762201555,0.7996211736767332,-0.9480067412987576
"Cingulate Gyrus, posterior division",-0.026068080154869916,0.35060209313195867,-0.32453401297708523
Precuneous Cortex,-0.1935038963053786,-0.07401856676894428,0.26752246307432237
Cuneal Cortex,0.11138914990578061,0.15665804948989873,-0.2680471993956784
Frontal Orbital Cortex,0.0947695714306332,0.5615544971473703,-0.6563240685779991
"Parahippocampal Gyrus, anterior division",0.4366827731672112,-0.05914797662724462,-0.37753479653997446
"Parahippocampal Gyrus, posterior division",-0.0011358643274729512,-0.5751349972668469,0.5762708615943237
Lingual Gyrus,-0.2288850663134525,0.17146311560528232,0.057421950708170764
"Temporal Fusiform Cortex, anterior division",-0.4782583086861729,0.7113365942590204,-0.23307828557284607
"Temporal Fusiform Cortex, posterior division",0.09281163436224381,0.09695805631715679,-0.18976969067939836
Temporal Occipital Fusiform Cortex,-0.19160642023164468,0.11428465255409077,0.07732176767755164
Occipital Fusiform Gyrus,0.30584222958886087,0.2853679711584213,-0.5912102007472845
Frontal Operculum Cortex,-0.6037113934934192,0.09421912710398898,0.509492266389438
Central Opercular Cortex,0.5136717593012008,-0.3913055051359791,-0.12236625416522544
Parietal Operculum Cortex,0.06723010225973429,-0.14374522715622987,0.07651512489649356
Planum Polare,0.8872815090064554,-0.15814629146783044,-0.7291352175386313
Heschl's Gyrus (includes H1 and H2),-0.4955607332788593,0.24339816456814306,0.25216256871071774
Planum Temporale,0.08605461965141241,-0.2688296725871438,0.18277505293573032
Supracalcarine Cortex,0.031075244548254964,-0.35556066616017046,0.32448542161191635
Occipital Pole,-0.47909038117519687,0.614966467725353,-0.13587608655015665
subject,-0.00696637742245333,-0.021697364116034387,0.028663741538488562
