,anger,disgust,fear
Left Frontal Pole,0.418141014160728,-0.10842288627993676,-0.3097181278807996
Right Frontal Pole,0.5269796313343458,-0.34964761713583836,-0.17733201419851005
Left Insular Cortex,0.42289250129989264,-0.45539866473639157,0.03250616343649306
Right Insular Cortex,-0.7489628809099358,0.09524618371796875,0.6537166971919621
Left Superior Frontal Gyrus,0.5113477908536488,-0.519339503107946,0.007991712254285247
Right Superior Frontal Gyrus,-0.23923598112054467,0.6129917660550654,-0.3737557849345115
Left Middle Frontal Gyrus,-0.08448671627109774,-0.004509936217128002,0.08899665248822518
Right Middle Frontal Gyrus,-0.29446228349806136,0.08415194723060274,0.21031033626745202
"Left Inferior Frontal Gyrus, pars triangularis",-0.6432517587487802,0.21527686245343314,0.4279748962953359
"Right Inferior Frontal Gyrus, pars triangularis",0.2719061992156626,-0.042036154970681014,-0.229870044244982
"Left Inferior Frontal Gyrus, pars opercularis",-0.1654170683501212,0.2646039360771406,-0.09918686772702082
"Right Inferior Frontal Gyrus, pars opercularis",-0.44212818472955656,0.14108352419295928,0.3010446605365908
Left Precentral Gyrus,-0.011408049960062058,-0.19223196850659466,0.20364001846665752
Right Precentral Gyrus,-0.1207551103178198,0.43757365809093623,-0.31681854777311563
Left Temporal Pole,0.3478714296512949,0.12179287967491403,-0.4696643093262206
Right Temporal Pole,0.2580458375607006,-0.06152693294014746,-0.19651890462055363
"Left Superior Temporal Gyrus, anterior division",-0.10026146380265369,-0.04870567721314641,0.14896714101579944
"Right Superior Temporal Gyrus, anterior division",-0.02712823106832083,-0.3675121635188464,0.3946403945871617
"Left Superior Temporal Gyrus, posterior division",-0.17325921462769694,0.15001535163846008,0.023243862989236204
"Right Superior Temporal Gyrus, posterior division",0.24672373106919596,0.4065922647468433,-0.65331599581604
"Left Middle Temporal Gyrus, anterior division",-0.14840384655048997,0.021602049474717423,0.12680179707577147
"Right Middle Temporal Gyrus, anterior division",0.30024813472659057,-0.11444305616565409,-0.18580507856094047
"Left Middle Temporal Gyrus, posterior division",0.4421028102925312,-0.2341589094746856,-0.20794390081784928
"Right Middle Temporal Gyrus, posterior division",-0.7206441112991218,-0.18394694730164907,0.9045910586007923
"Left Middle Temporal Gyrus, temporooccipital part",-0.020275401136424093,0.2560615207145519,-0.235786119578131
"Right Middle Temporal Gyrus, temporooccipital part",0.17038752498864895,0.3107766638150829,-0.4811641888037334
"Left Inferior Temporal Gyrus, anterior division",0.14356912428914265,-0.33881598684614334,0.19524686255700982
"Right Inferior Temporal Gyrus, anterior division",0.21624614074464055,0.07612499418044105,-0.2923711349250922
"Left Inferior Temporal Gyrus, posterior division",-0.40038670625768463,-0.3722410976282894,0.7726278038859735
"Right Inferior Temporal Gyrus, posterior division",0.056086935423163606,0.3545145650600793,-0.4106015004832403
"Left Inferior Temporal Gyrus, temporooccipital part",0.17557295323221034,0.21471731623158372,-0.3902902694637958
"Right Inferior Temporal Gyrus, temporooccipital part",-0.06960661956251465,0.03519832235359289,0.03440829720891974
Left Postcentral Gyrus,-0.3366140347725823,0.15803600346080374,0.17857803131177535
Right Postcentral Gyrus,0.3728637235541834,-0.4860116744070808,0.11314795085290177
Left Superior Parietal Lobule,0.27395145271578414,0.2634833554013813,-0.5374348081171669
Right Superior Parietal Lobule,-0.34291865070430366,0.3226966252607547,0.020222025443555246
"Left Supramarginal Gyrus, anterior division",0.29449553797023686,-0.804079005583658,0.5095834676134209
"Right Supramarginal Gyrus, anterior division",0.19927058328533093,-0.16470780702466503,-0.03456277626066778
"Left Supramarginal Gyrus, posterior division",-0.05513940032250429,-0.030097489706923997,0.0852368900294307
"Right Supramarginal Gyrus, posterior division",0.19465813802291404,0.37843486954828875,-0.5730930075711875
Left Angular Gyrus,-0.576885098178218,0.23834599275128276,0.338539105426932
Right Angular Gyrus,0.0722388947072228,-0.3659154336291733,0.29367653892194673
"Left Lateral Occipital Cortex, superior division",-0.06913497946506439,-0.05119863713891838,0.12033361660398245
"Right Lateral Occipital Cortex, superior division",0.6644217629731627,-0.09262304024618115,-0.5717987227269813
"Left Lateral Occipital Cortex, inferior division",0.4722043888102071,0.2154363179117537,-0.6876407067219625
"Right Lateral Occipital Cortex, inferior division",0.09500041508790055,-0.03422413834227211,-0.06077627674563352
Left Intracalcarine Cortex,-0.35811576084739616,0.07179138254421413,0.28632437830317736
Right Intracalcarine Cortex,0.3090891648268888,0.1948378990767622,-0.5039270639036483
Left Frontal Medial Cortex,0.7422474493957585,-0.30038813662631236,-0.4418593127694616
Right Frontal Medial Cortex,-0.172250327042839,-0.062241501949670375,0.2344918289925122
Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.25720750194753916,-0.4656563137261583,0.722863815673693
Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.22491703374134064,0.1055516162076553,-0.3304686499489965
Left Subcallosal Cortex,0.3212218641518854,-0.247475206584387,-0.0737466575674949
Right Subcallosal Cortex,-0.5100306893191191,0.37410508907466833,0.13592560024444794
Left Paracingulate Gyrus,-0.07904803191484515,0.24368943577692043,-0.16464140386207107
Right Paracingulate Gyrus,-0.3128288922361114,0.4327313174300077,-0.11990242519389711
"Left Cingulate Gyrus, anterior division",-0.1759663523466879,0.3615791477153915,-0.1856127953687033
"Right Cingulate Gyrus, anterior division",0.5854850025525462,-0.7234749211846172,0.1379899186320829
"Left Cingulate Gyrus, posterior division",-0.010786858008164304,-0.17276476597483537,0.1835516239830007
"Right Cingulate Gyrus, posterior division",0.021976174881878648,-0.1217975537860652,0.09982137890418881
Left Precuneous Cortex,-0.04574673846553461,-0.17251159257463478,0.2182583310401692
Right Precuneous Cortex,0.005704729416219664,-0.1776487985105552,0.1719440690943277
Left Cuneal Cortex,-0.414524738676484,0.05443127145757546,0.360093467218911
Right Cuneal Cortex,0.0960245047694577,0.2738769175912975,-0.3699014223607583
Left Frontal Orbital Cortex,-0.5264549981233675,0.2651402735100289,0.2613147246133438
Right Frontal Orbital Cortex,0.2403852439971646,-0.25276091335050427,0.012375669353348873
"Left Parahippocampal Gyrus, anterior division",0.21819370920334183,-0.49709270843290077,0.27889899922956474
"Right Parahippocampal Gyrus, anterior division",0.39905307779347005,0.1915402766755791,-0.5905933544690378
"Left Parahippocampal Gyrus, posterior division",-0.26163451590680836,0.1017340213995945,0.15990049450720575
"Right Parahippocampal Gyrus, posterior division",-0.08851004517163667,-0.13648929984285413,0.22499934501449648
