,congruent,incongruent,neutral
Left Frontal Pole,-0.03450714556864303,-0.22568079600551347,0.26018794157415376
Right Frontal Pole,0.11387277775121503,0.022177130106351976,-0.13604990785756782
Left Insular Cortex,0.09276569926996077,0.1201611242903187,-0.21292682356028014
Right Insular Cortex,0.3351964149067442,-0.06992945503101786,-0.26526695987572757
Left Superior Frontal Gyrus,0.45433650405973297,-0.42399296413696436,-0.03034353992276671
Right Superior Frontal Gyrus,-0.06408494931469638,-0.019000188381683856,0.0830851376963834
Left Middle Frontal Gyrus,0.15703907427257202,-0.13075752070404278,-0.02628155356852937
Right Middle Frontal Gyrus,-0.28306362396528784,-0.10861560038930662,0.39167922435458746
"Left Inferior Frontal Gyrus, pars triangularis",-0.14450942176124848,-0.07581267711553234,0.22032209887678356
"Right Inferior Frontal Gyrus, pars triangularis",-0.3667559598573042,0.08962615783350734,0.27712980202379695
"Left Inferior Frontal Gyrus, pars opercularis",-0.02985066725944388,0.2897272121120953,-0.2598765448526507
"Right Inferior Frontal Gyrus, pars opercularis",-0.45204822680880785,0.6640390201172223,-0.2119907933084096
Left Precentral Gyrus,-0.11207281473524355,0.09445335535568718,0.01761945937955648
Right Precentral Gyrus,0.5644505139884899,-0.1505036960670386,-0.4139468179214528
Left Temporal Pole,-0.252582915103479,-0.11596881190586772,0.3685517270093487
Right Temporal Pole,-0.4083695819963486,0.15086351062713332,0.25750607136921766
"Left Superior Temporal Gyrus, anterior division",0.1605249310113051,0.17862351622457606,-0.33914844723587867
"Right Superior Temporal Gyrus, anterior division",-0.9509222870682986,0.3118061818773542,0.6391161051909463
"Left Superior Temporal Gyrus, posterior division",-0.015194095114419548,0.03677809265372946,-0.02158399753931049
"Right Superior Temporal Gyrus, posterior division",-0.10440197775706142,0.6844597148913374,-0.5800577371342737
"Left Middle Temporal Gyrus, anterior division",-0.4503439482705674,0.4326484331057106,0.017695515164858185
"Right Middle Temporal Gyrus, anterior division",-0.26629651442765645,-0.0617564343821297,0.3280529488097882
"Left Middle Temporal Gyrus, posterior division",0.35840211057885957,-0.26950069884179156,-0.08890141173707447
