,anger,disgust,fear
Feat 1,0.05827197948428061,-0.07670367039375228,0.01843169090947053
Feat 2,-0.0626611524102043,0.080221378980495,-0.017560226570284138
Feat 3,-0.019115646393524408,-0.19200156829507195,0.21111721468857297
Feat 4,0.13553880224695827,0.051078947006225485,-0.18661774925318103
Feat 5,0.06645416104795998,0.22924590080651486,-0.2957000618544957
Feat 6,-0.18853323431536978,-0.05135445277585825,0.23988768709125896
Feat 7,-0.06560208871376197,-0.19355980199738304,0.2591618907111956
Feat 8,0.04285840336387507,-0.03270725509335203,-0.010151148270515456
Feat 9,-0.22924012844311373,0.17531259667912402,0.053927531763984723
Feat 10,-0.2851943551815281,0.2532416918426611,0.03195266333890627
Feat 11,-0.11534522438144952,0.1011924560091197,0.014152768372341456
Feat 12,-0.03376978990424247,0.09761064198094371,-0.06384085207672015
Feat 13,0.21716320459071675,-0.039296542090217886,-0.17786666250049965
Feat 14,0.07840235641878336,-0.40433284222056703,0.3259304858018347
Feat 15,-0.4421948144093485,0.32250597232867145,0.11968884208063854
Feat 16,-0.03257858086498859,0.13148954966144683,-0.09891096879648428
Feat 17,-0.11119253974639723,0.059981584369639296,0.051210955376780685
Feat 18,0.23765310102678922,0.16625657586865955,-0.4039096768955142
Feat 19,-0.16993517321397725,0.033371285509487036,0.13656388770445838
Feat 20,0.014147344452862653,0.021135918358383056,-0.03528326281124346
Feat 21,-0.023938714313451244,-0.01994095046043939,0.043879664773890645
subject,-0.001353542215550091,0.0003700830852290173,0.000983459130311997
