,anger,disgust,fear
Feat 1,-4.658075110771478e-05,0.0001239484242230521,-7.736767310545845e-05
Feat 2,0.000102387783925867,-0.0003601383365375665,0.00025775055268000116
Feat 3,-7.263063233226745e-05,-0.0002776762393758432,0.0003503068717158944
Feat 4,-0.00038000254030023446,-7.131955483592216e-05,0.00045132209512286617
Feat 5,-0.00015869981539250256,0.0011390689663411985,-0.0009803691509220219
Feat 6,0.0016949562926516233,-0.0012794884179696115,-0.00041546787468878693
Feat 7,-0.0005509972885494924,0.0009855599211349027,-0.00043456263256675765
Feat 8,5.178298373674509e-05,0.00024995495250624926,-0.00030173793625474404
Feat 9,1.8698815541604497e-05,-0.0006653385056951582,0.0006466396901509986
Feat 10,0.0006149576632605733,-0.0006241595194098123,9.201856135614854e-06
Feat 11,0.0005435478624795582,0.00176923674921572,-0.002312784611692157
Feat 12,0.000661425023329522,5.064576597953881e-05,-0.0007120707893260705
Feat 13,0.0011814746606139044,-0.001122439708684005,-5.9034951867906095e-05
Feat 14,0.00011491837998600547,-0.00017699855652955797,6.208017653975734e-05
Feat 15,3.373321139211842e-05,0.001316326617239304,-0.0013500598286337857
Feat 16,-0.00012793124928402636,0.0007998992373261544,-0.0006719679880701362
Feat 17,-0.0007792062479058226,0.0010113454223331358,-0.0002321391743944741
Feat 18,-0.0007730741385704826,-0.00020571283578832395,0.0009787869743734657
Feat 19,-0.0017633586250220227,0.0015114388759054644,0.0002519197491319364
Feat 20,0.0005947855500500403,0.0006464312105736709,-0.001241216760634658
Feat 21,0.0005533371496838025,0.0014479864368652736,-0.002001323586544212
Feat 22,0.00037904069454039506,-0.00043961314485099323,6.05724503206828e-05
Feat 23,0.0006990840702409784,-0.002278196846210474,0.001579112775984107
Feat 24,-0.0007653156274255765,-0.0011254428740248618,0.0018907585014466678
Feat 25,0.001625513227492875,0.0003867055842665445,-0.0020122188117621524
Feat 26,-0.00010609178508080885,0.0005539274011253432,-0.00044783561605534725
Feat 27,0.0014914215609409863,-0.0017646303102580388,0.0002732087493149715
Feat 28,0.0017244177146688168,0.0015076867176921922,-0.0032321044323654533
Feat 29,0.0012871378806703815,-0.0014569252154622802,0.0001697873348495928
Feat 30,-0.0005462536873306362,0.0025283499760670007,-0.0019820962887567
Feat 31,0.0026134185179881014,-0.003178019188586441,0.0005646006705629886
Feat 32,0.0010103017270756969,0.0006481099283738929,-0.001658411655451656
Feat 33,-0.0036633497376070876,0.0013325447100984234,0.002330805027508065
Feat 34,-0.003000752682526811,0.000976985218375706,0.002023767464176815
Feat 35,0.0014385973825848401,-0.0004784682159393049,-0.0009601291666277217
Feat 36,0.0017926950008071902,0.00039428160283979427,-0.002186976603657598
Feat 37,-0.00045808433884364345,-0.0008081561269047778,0.001266240465754727
Feat 38,0.004191557339756422,-0.001654853376542368,-0.002536703963233258
Feat 39,0.0027105291280446263,-0.0029506277130716433,0.0002400985850266449
Feat 40,-0.001110955391670693,-0.002401837716752131,0.003512793108417375
Feat 41,-0.00026911744573259274,0.0005148504981533819,-0.0002457330523995351
Feat 42,0.0017675115107400005,-0.0006738205414804568,-0.001093690969269912
Feat 43,0.0013053408335437695,0.0009571547462167817,-0.002262495579737224
Feat 44,-0.00044826511193341283,0.001451990640059389,-0.001003725528124186
Feat 45,0.0018872985464066215,0.0005042163396962748,-0.0023915148861118627
Feat 46,0.0003042445586977736,-0.0028100633202740584,0.002505818761588882
Feat 47,-0.0010574456882523914,0.004808899767516245,-0.0037514540792547234
Feat 48,-0.0004160027234183508,0.004891039580271617,-0.004475036856837036
Feat 49,-0.0004778345766640425,0.0004333809803319032,4.445359633573443e-05
Feat 50,0.002742434474138962,-0.0003218062932585036,-0.0024206281808795602
Feat 51,0.0014785616824368848,-0.0013344926608299986,-0.00014406902163528672
subject,-0.005181124598100816,0.017525857609311704,-0.012344733011121833
