,congruent,incongruent,neutral
Feat 1,-0.00012723389059340044,0.0008632198864699109,-0.0007359859958661304
Feat 2,-0.0034131245144516835,0.004285078188470878,-0.0008719536740046649
Feat 3,0.0007902841813193018,0.006328478664457954,-0.00711876284582764
Feat 4,0.003141158542136513,0.0008561063817320705,-0.003997264923693849
Feat 5,-0.006985947036121787,0.0037454807453513226,0.003240466290758978
Feat 6,-0.0010757784739865374,0.0023020483540628508,-0.0012262698800807575
Feat 7,-0.004331839487712796,0.003834338228764987,0.0004975012589914174
Feat 8,-0.010245704622617174,0.00825346670226551,0.001992237920411863
Feat 9,0.005897366827710712,0.0024766044623536023,-0.008373971289958683
Feat 10,0.012580307800590818,0.00046082493233592936,-0.013041132732807539
Feat 11,-0.007039879314297647,0.011060756449979569,-0.004020877135690275
Feat 12,0.006208335211745195,0.00547469170865459,-0.011683026920394862
Feat 13,0.0015150817219474863,0.002023128660625678,-0.0035382103826035833
Feat 14,-0.007912417812813108,0.008924150480357374,-0.0010117326674895526
Feat 15,-0.001878391252604442,0.0061610882096078,-0.004282696957030434
Feat 16,0.002795065525253511,0.004967174932593816,-0.007762240457698929
Feat 17,0.002742581362212306,0.003492263750532502,-0.006234845112689373
Feat 18,0.0033086070627495303,0.005174605175237781,-0.008483212237954837
Feat 19,-0.014395088919502263,0.009098299689515628,0.0052967892299084825
Feat 20,-0.0030734155824734015,0.0034599086331503263,-0.0003864930507154557
Feat 21,-0.0020419479735300683,0.01478529743142271,-0.012743349457916994
Feat 22,0.0035741743952600684,0.0035235859745650286,-0.007097760369860327
Feat 23,-0.004487738634716868,0.01446480428181407,-0.00997706564712915
Feat 24,0.019867968237926213,-0.003361951693560533,-0.016506016544318127
Feat 25,-0.0043897259602940246,0.007019597882801247,-0.0026298719224942743
Feat 26,0.005659603120571861,-0.0010901061213725726,-0.004569496999124208
Feat 27,0.0021386188530523554,-0.012844005538890082,0.010705386685971017
Feat 28,0.008496111298363751,-0.0020327444110058673,-0.006463366887495216
Feat 29,-0.003486322674090361,-0.004726735247192663,0.008213057921330346
Feat 30,-0.007620148905810388,6.929730251799401e-05,0.007550851603316982
Feat 31,0.005018996759304471,-0.006138635041376126,0.0011196382821179087
Feat 32,0.0038194953199389425,0.0035790503205527,-0.007398545640543532
Feat 33,0.0074676350671122925,0.006294480623969148,-0.013762115691161264
Feat 34,-0.009820687462424874,0.0008967176791642252,0.00892396978316292
Feat 35,0.007288931747012078,-0.001760367789908919,-0.005528563957158243
Feat 36,-4.159508612660168e-06,-0.0016700163857397226,0.0016741758943572011
Feat 37,-0.0025047052722816047,0.0005398396673631405,0.001964865604905028
Feat 38,-0.0025924338006213196,-0.002941138158577469,0.0055335719591554314
Feat 39,-0.00561858776248454,0.008583202347801851,-0.002964614585297897
Feat 40,-0.0003318321704912107,0.004116910680744612,-0.0037850785102258888
Feat 41,0.0065306792249979735,0.008925605665602309,-0.0154562848906247
Feat 42,-0.004004737624526812,0.005332151505117113,-0.0013274138806548025
Feat 43,0.00038591613538371887,0.0023835271879397144,-0.002769443323290239
Feat 44,0.007005942556135675,-0.0014637700642143668,-0.005542172491965968
Feat 45,0.0018981543464294827,-0.005778555589428332,0.0038804012429059834
Feat 46,0.01250677322105612,-0.006737979448779049,-0.005768793772257231
Feat 47,0.0026836283266158958,-0.00023528521563670278,-0.0024483431110351264
Feat 48,0.005764507564220744,-0.009727657052380847,0.003963149488210479
Feat 49,0.00020778224279345767,0.0020099409523031686,-0.002217723195117053
Feat 50,-0.00844281721989025,0.007144044851204487,0.0012987723687493543
Feat 51,0.0037647661724032116,-0.0046613568010990935,0.0008965906286907804
subject,0.0068225198211744695,-0.053400285717324594,0.04657776589670831
