,anger,disgust,fear
GM Amygdala_centromedial group,-0.20361668762539833,0.1948834645832011,0.008733223042193339
GM Amygdala_laterobasal group,0.4991939681624774,-0.3603544428917972,-0.13883952527068516
GM Amygdala_superficial group,0.1492431548897293,0.359238914719863,-0.5084820696095862
GM Anterior intra-parietal sulcus hIP1,-0.6011309766568245,-0.059324914602493985,0.660455891259331
GM Anterior intra-parietal sulcus hIP2,0.47798913537885107,-0.370443638214749,-0.10754549716409918
GM Anterior intra-parietal sulcus hIP3,0.38732573828578276,0.2026024473798143,-0.589928185665606
GM Broca's area BA44,-0.42923883505003707,0.47344566718231523,-0.04420683213228236
GM Broca's area BA45,-0.045300569668225855,-0.04444709576417068,0.08974766543239643
GM Hippocampus cornu ammonis,-0.43562650200810316,0.22901857602834602,0.2066079259797539
GM Hippocampus dentate gyrus,0.11070063803517598,-0.22653939982843058,0.11583876179325236
GM Hippocampus entorhinal cortex,-0.004989918388140779,-0.008349490600649268,0.013339408988788265
GM Hippocampus hippocampal-amygdaloid transition area,-0.20557538342907092,0.049355226040702145,0.15622015738836895
GM Hippocampus subiculum,-0.26017702505378837,-0.29070810914426065,0.5508851341980507
GM Inferior parietal lobule PF,0.10646993225667763,-0.3787059255792411,0.2722359933225643
GM Inferior parietal lobule PFcm,-0.20536428467800155,0.33513510609710717,-0.12977082141910462
GM Inferior parietal lobule PFm,-0.07374060440390888,0.5906655842097472,-0.5169249798058446
GM Inferior parietal lobule PFop,0.14262059580038416,0.15815366940698575,-0.3007742652073677
GM Inferior parietal lobule PFt,0.07042903802289294,-0.44804662984886345,0.3776175918259673
GM Inferior parietal lobule PGp,0.14546287586056994,-0.13956247482651518,-0.005900401034056364
GM Inferior parietal lobule Pga,-0.02366652376957956,-0.3923957978962008,0.4160623216657825
GM Insula Id1,-0.024243706405827032,0.009626283048103321,0.014617423357721506
GM Insula Ig1,0.0804917482040722,-0.2308795460467577,0.15038779784268605
GM Insula Ig2,0.03259441076405863,-0.13172711644064955,0.0991327056765899
GM Lateral geniculate body,0.052013852637771515,-0.3410063063716785,0.2889924537339012
GM Mamillary body,-0.149219261425948,-0.14867702036397362,0.2978962817899184
GM Medial geniculate body,0.060141514403567,0.3006151640618726,-0.36075667846543563
GM Premotor cortex BA6,-0.1524301035705731,0.09888862263703749,0.05354148093353599
GM Primary auditory cortex TE1.0,-0.22270946441988992,0.11959219148733909,0.10311727293254806
GM Primary auditory cortex TE1.1,-0.2576585166637474,0.31742029377824366,-0.05976177711449674
GM Primary auditory cortex TE1.2,0.007308723845757981,0.06259946529098583,-0.06990818913674517
GM Primary motor cortex BA4a,0.21054403296411656,-0.3025384091704509,0.09199437620633405
GM Primary motor cortex BA4p,-0.11532555128163142,0.02917283908114135,0.08615271220049077
GM Primary somatosensory cortex BA1,0.026618361389534394,-0.11984905838472652,0.09323069699519092
GM Primary somatosensory cortex BA2,-0.10378885361684834,0.04236504078016613,0.06142381283667725
GM Primary somatosensory cortex BA3a,0.24514923093809973,0.006167092609817182,-0.2513163235479156
GM Primary somatosensory cortex BA3b,-0.2960428291131422,0.4130952543422611,-0.11705242522912337
GM Secondary somatosensory cortex / Parietal operculum OP1,0.14431238371172056,-0.5046789744086839,0.3603665906969572
GM Secondary somatosensory cortex / Parietal operculum OP2,0.08365057075025897,-0.5679204421682127,0.4842698714179516
GM Secondary somatosensory cortex / Parietal operculum OP3,-0.26140269020804247,0.48248894906160056,-0.2210862588535568
GM Secondary somatosensory cortex / Parietal operculum OP4,0.4612273242913253,-0.10356172842818054,-0.3576655958631497
GM Superior parietal lobule 5Ci,-0.06209813110038642,-0.06629742008306472,0.12839555118345364
GM Superior parietal lobule 5L,-0.051518543831316176,0.020224967633169035,0.031293576198145046
GM Superior parietal lobule 5M,0.25704237151900045,-0.14826404408307345,-0.1087783274359296
GM Superior parietal lobule 7A,-0.05743035495743441,-0.07087091188058423,0.12830126683802034
GM Superior parietal lobule 7M,0.03919230323286242,-0.07786267174623218,0.03867036851336958
GM Superior parietal lobule 7P,-0.18475565369623206,0.11372022230968512,0.07103543138654815
GM Superior parietal lobule 7PC,-0.1729338727783005,0.4396773170443907,-0.2667434442660902
GM Visual cortex V1 BA17,-0.06576447801578315,-0.38611520457964843,0.4518796825954303
GM Visual cortex V2 BA18,0.0725077851318213,0.8639965011385229,-0.9365042862703508
GM Visual cortex V3V,0.006543280141580376,-0.2595752878642127,0.25303200772263146
GM Visual cortex V4,0.08795732833635132,-0.23362830028872006,0.14567097195236792
GM Visual cortex V5,0.23805499702507754,0.16052134904944626,-0.39857634607452297
WM Acoustic radiation,0.1850481253296911,-0.045357229927697626,-0.13969089540199053
WM Callosal body,0.7188644065101434,-0.7465869153097032,0.027722508799559554
WM Cingulum,0.1321573969088584,0.03550592102408255,-0.1676633179329399
WM Corticospinal tract,0.2028986786006972,-0.1106703175020832,-0.09222836109861354
WM Fornix,0.046643056663098134,0.3121682661759092,-0.35881132283900713
WM Inferior occipito-frontal fascicle,-0.32647187486591334,-0.2662993396208181,0.5927712144867239
WM Optic radiation,-0.3219312069999619,0.4023554218404425,-0.08042421484047937
WM Superior longitudinal fascicle,-0.1804838874090009,0.4134918545498749,-0.2330079671408713
WM Superior occipito-frontal fascicle,-0.27822798897535284,-0.030060378792547287,0.30828836776789587
WM Uncinate fascicle,0.20086167840440589,0.11595408364332083,-0.31681576204773443
subject,-0.016948155914517905,-0.004025552467459514,0.020973708381975063
