,congruent,incongruent,neutral
GM Amygdala_centromedial group,-0.00593242461307239,-0.10504209160713984,0.11097451622021255
GM Amygdala_laterobasal group,0.2090074902914008,0.28088202288920155,-0.4898895131806049
GM Amygdala_superficial group,-0.017334816609147964,0.22291750116271106,-0.20558268455356474
GM Anterior intra-parietal sulcus hIP1,0.02987357760889986,0.3406629207995624,-0.3705364984084703
GM Anterior intra-parietal sulcus hIP2,-0.24550833670346234,0.20101936742120047,0.0444889692822639
GM Anterior intra-parietal sulcus hIP3,-0.2519628010107371,0.3901507779603965,-0.13818797694965848
GM Broca's area BA44,-0.8937272090015428,0.5172424309271288,0.37648477807441877
GM Broca's area BA45,-0.6236814254918326,0.2574583663207113,0.3662230591711243
GM Hippocampus cornu ammonis,0.360539892296382,-0.3072537235105485,-0.05328616878583203
GM Hippocampus dentate gyrus,0.2956702539508668,-0.16427965118808588,-0.1313906027627831
GM Hippocampus entorhinal cortex,0.45665363966033484,0.23321141679265414,-0.6898650564529871
GM Hippocampus hippocampal-amygdaloid transition area,-0.4098887003084948,0.4296618846311648,-0.019773184322671708
GM Hippocampus subiculum,-0.7915660903604159,0.2732414685308434,0.5183246218295736
GM Inferior parietal lobule PF,0.47430969990467087,0.01424417280790002,-0.48855387271256656
GM Inferior parietal lobule PFcm,0.01371336794709593,0.20075355497853029,-0.21446692292562547
GM Inferior parietal lobule PFm,-0.07620426933934546,-0.32369299851810984,0.39989726785745483
GM Inferior parietal lobule PFop,-0.050622050694023965,0.534230947555671,-0.4836088968616446
GM Inferior parietal lobule PFt,0.25283298428566775,-0.33733646492954855,0.08450348064387661
GM Inferior parietal lobule PGp,-0.8980357849436735,-0.3435556122755682,1.241591397219235
GM Inferior parietal lobule Pga,0.7167439581772639,-0.9704480251276006,0.253704066950336
GM Insula Id1,0.5035127016406566,-0.2422364546453954,-0.2612762469952614
GM Insula Ig1,0.11546863962490954,0.7913550177930213,-0.9068236574179279
GM Insula Ig2,-0.3221386660571756,-0.30218702003388537,0.624325686091059
GM Lateral geniculate body,-0.023021493647319848,-0.06675611800838607,0.08977761165570675
GM Mamillary body,0.0007881416737696601,-0.10974284430804045,0.10895470263427201
GM Medial geniculate body,0.2684141616110204,-0.48720611031757555,0.21879194870655372
GM Premotor cortex BA6,0.0447153923451321,-0.849451878695961,0.8047364863508308
GM Primary auditory cortex TE1.0,-0.039747759203553605,-0.33094568984441713,0.37069344904797435
GM Primary auditory cortex TE1.1,-0.08337978754829109,0.3223972313341605,-0.23901744378587053
GM Primary auditory cortex TE1.2,0.1969096463093417,0.040398816742550886,-0.2373084630518914
GM Primary motor cortex BA4a,0.5244280038167963,-0.3894053750786006,-0.135022628738188
GM Primary motor cortex BA4p,0.06269213789813008,0.23660634174139394,-0.29929847963952216
GM Primary somatosensory cortex BA1,-0.11384995792764721,0.24562217805239972,-0.1317722201247513
GM Primary somatosensory cortex BA2,0.2542549916827439,-0.7874456813056655,0.5331906896229244
GM Primary somatosensory cortex BA3a,0.11361488119364038,0.004531492655309699,-0.11814637384895041
GM Primary somatosensory cortex BA3b,-0.2610349609748505,0.32991306086589,-0.0688780998910392
GM Secondary somatosensory cortex / Parietal operculum OP1,-0.5961125659113151,-0.10388968642329917,0.700002252334607
GM Secondary somatosensory cortex / Parietal operculum OP2,0.3770644957581663,-0.24642655088138685,-0.13063794487677877
GM Secondary somatosensory cortex / Parietal operculum OP3,0.4667555662529789,-0.24635255198908249,-0.2204030142638947
GM Secondary somatosensory cortex / Parietal operculum OP4,0.24438904589588195,0.02621846188905827,-0.2706075077849416
GM Superior parietal lobule 5Ci,-0.2010438657545078,0.7801677151655169,-0.5791238494110104
GM Superior parietal lobule 5L,-0.6014086817840824,0.047461960964513286,0.5539467208195653
GM Superior parietal lobule 5M,0.26989429205214716,-0.04134189245606273,-0.2285523995960812
GM Superior parietal lobule 7A,-0.2997719828610133,0.7248294669661764,-0.42505748410515826
GM Superior parietal lobule 7M,-0.08227683184411552,-0.13718585843774717,0.21946269028186416
GM Superior parietal lobule 7P,0.5154398373953845,-0.3717306831540818,-0.14370915424130265
GM Superior parietal lobule 7PC,0.5409907649798346,-0.3324404728032281,-0.20855029217660737
GM Visual cortex V1 BA17,-0.12477749851416679,0.34466702588924725,-0.21988952737507636
GM Visual cortex V2 BA18,-0.5226269119080484,0.5215137661810518,0.0011131457269928605
GM Visual cortex V3V,-0.14762031263522202,0.06371682985268287,0.0839034827825399
GM Visual cortex V4,0.534598660735097,0.11579885592842756,-0.6503975166635132
GM Visual cortex V5,0.1940399307378263,-0.8201715238769495,0.6261315931391223
WM Acoustic radiation,-0.2640190750316629,0.7030994818053082,-0.4390804067736417
WM Callosal body,-0.2874658045514253,-0.3436729990275495,0.6311388035789679
WM Cingulum,-0.006764685562548706,-0.11759888907251628,0.12436357463506746
WM Corticospinal tract,-0.17623740675832017,-0.027284025053700544,0.20352143181202362
WM Fornix,0.35636185307835344,-0.025281816206173136,-0.3310800368721811
WM Inferior occipito-frontal fascicle,0.34127289883203427,0.3184532463367612,-0.6597261451687976
WM Optic radiation,0.18567316347517032,0.6094128873663727,-0.7950860508415438
WM Superior longitudinal fascicle,-0.0769052584075203,-0.6756535048106002,0.7525587632181218
WM Superior occipito-frontal fascicle,0.5629754848861269,-0.3672044487426262,-0.19577103614349833
WM Uncinate fascicle,-0.06160941535958009,-0.374518546695984,0.4361279620555677
subject,0.04461917059593152,-0.01820334283164805,-0.02641582776428103
