,anger,disgust,fear
Feat 1,0.002157359138058513,-0.00039260400450101177,-0.0017647551335705277
Feat 2,-0.01128845512682165,0.006887756676347517,0.004400698450460069
Feat 3,-0.0001806593430517589,-0.0009706661022995556,0.0011513254453778482
Feat 4,0.0036286595126299157,0.0011904274618135889,-0.0048190869744257625
Feat 5,0.002274561931830897,0.007849640604507747,-0.010124202536313198
Feat 6,-0.003924275677990245,0.0075924268918658,-0.0036681512138728666
Feat 7,-0.004755725531751338,-0.008611272080049779,0.013366997611828113
Feat 8,0.015663419504302428,-0.009322501254305471,-0.006340918249982712
Feat 9,0.01150604527514212,-0.0020256240803176776,-0.009480421194814102
Feat 10,0.00027793127911935575,0.0008315738038370275,-0.0011095050829481663
Feat 11,0.0036612539439234474,-0.0029600685446252253,-0.0007011853992781339
Feat 12,-0.002981897371475144,0.01719694161731502,-0.014215044245844627
Feat 13,0.010067130127549968,0.0021239881810195824,-0.012191118308545135
Feat 14,0.002875909855073007,-0.02141651151904614,0.018540601663993173
Feat 15,-0.018486186448934915,0.007959435685211774,0.01052675076372186
Feat 16,0.0005480102941996726,-0.001936091935979676,0.0013880816417987853
Feat 17,0.004672145891114172,0.0031443116996934576,-0.007816457590822164
Feat 18,0.005932761853803299,0.011203526873561475,-0.017136288727368713
Feat 19,0.0063013217139176346,-0.004718493318233098,-0.0015828283957206462
Feat 20,0.0004405760147509322,-0.011925937010289808,0.011485360995524909
Feat 21,-0.0020719613589280806,0.010616203151177252,-0.008544241792267057
Feat 22,0.02419701930568848,-0.0003679666456958941,-0.023829052659997428
Feat 23,-0.007511487358178149,0.012984479085529632,-0.005472991727357163
Feat 24,0.008658841956517008,0.003422309343309459,-0.01208115129982605
Feat 25,-0.000561960992610553,-0.00829713889534851,0.008859099887958933
Feat 26,-0.004796790714814442,-0.0014385271428870832,0.006235317857711485
Feat 27,0.017117362593269916,0.010161865646075201,-0.027279228239355323
Feat 28,-0.00877885424523794,0.0005100364894984538,0.00826881775574268
Feat 29,0.012873112755539162,-0.009219844854291481,-0.003653267901244013
Feat 30,0.001619433314631713,-0.011646996556564376,0.010027563241956914
Feat 31,-0.017121107364207123,-0.006848689560530158,0.023969796924737285
Feat 32,0.007735605736001161,0.0056540701707759105,-0.0133896759067793
Feat 33,0.0038061700416586824,0.002458949218739287,-0.00626511926040865
Feat 34,-0.011805098268021817,0.014887887181319545,-0.003082788913285007
Feat 35,-0.030076342129948096,0.00535312386920109,0.024723218260737458
Feat 36,-0.0012655057891139223,-0.0042185800918960546,0.005484085881008989
Feat 37,-0.009663247125876035,0.01177514659543205,-0.002111899469534705
Feat 38,-0.010627113110512416,0.00524560872731784,0.005381504383199226
Feat 39,-0.003446336491921609,0.0021135268255654998,0.00133280966635211
Feat 40,-0.02166232809139479,-0.005621175068564315,0.027283503159960615
Feat 41,0.02385390183156924,0.0016603158432526473,-0.02551421767481806
Feat 42,0.031293896967143534,0.0023680065283854966,-0.03366190349551947
Feat 43,-0.035183995647758044,0.017768065565939677,0.017415930081820664
Feat 44,0.002565505865591243,-0.012142311637420213,0.009576805771839284
Feat 45,0.00763214075116511,-0.01684691234256758,0.009214771591408615
Feat 46,0.026657674187674014,0.011912802494020259,-0.03857047668168245
Feat 47,-0.008249394607051578,0.013665251922129893,-0.00541585731507708
Feat 48,-0.011751189471967374,0.02525659867812342,-0.013505409206147229
Feat 49,-0.006722604102250197,-0.015361739181811473,0.022084343284075093
Feat 50,0.017475992369732556,0.008242912956734311,-0.025718905326483417
Feat 51,0.021956111803006613,-0.012910970589366421,-0.009045141213634618
Feat 52,-0.011443366498370779,-0.007794710543584193,0.01923807704196579
Feat 53,-0.002494906748645265,-0.0009549020152592368,0.003449808763926718
Feat 54,0.023612372838319316,-0.01318794863889885,-0.010424424199420596
Feat 55,0.03059373121592531,0.011090790916420247,-0.041684522132349536
Feat 56,0.025388848577912272,-0.0037652975364111303,-0.02162355104150199
Feat 57,-0.01462153215482297,0.014963583371245504,-0.00034205121641221124
Feat 58,-0.045750954340124536,0.060363275937153626,-0.01461232159701999
Feat 59,-0.006801848902621756,0.00017884142684855482,0.006623007475762384
Feat 60,-0.007364472466878558,0.0043014841921184535,0.0030629882747566666
Feat 61,0.013124228607094019,0.007240715109848578,-0.02036494371693995
Feat 62,-0.002242232128577078,-0.0013951251291681999,0.0036373572577405645
Feat 63,-0.03818712759882058,0.028920623337603757,0.009266504261216215
Feat 64,-0.01444531313997192,-0.012911283285048378,0.02735659642502424
Feat 65,-0.01790298256259632,0.03468656817995497,-0.016783585617344672
Feat 66,0.008645668554074597,-0.00829068190654999,-0.0003549866475237479
Feat 67,0.05320751176474681,-0.015975004637370182,-0.03723250712738019
Feat 68,0.01966585886839723,-0.00013017476255799536,-0.019535684105841302
Feat 69,-0.023620426219433117,0.026280781459780123,-0.002660355240359124
Feat 70,-0.02406376209676588,-0.023163791477268443,0.04722755357402968
Feat 71,-0.002926527367463744,-0.009126170301312405,0.012052697668776091
Feat 72,0.007981125127536005,-0.02804060957072413,0.02005948444318468
Feat 73,0.004008188461036922,-0.014707984399857089,0.010699795938823826
Feat 74,-0.01885455806557471,0.005289351838531645,0.01356520622703053
Feat 75,-0.03826534227370051,0.054188557287470754,-0.01592321501376904
Feat 76,0.04346607431289675,-0.058414126479500096,0.014948052166599623
Feat 77,0.015879719542565368,-0.009739559899230305,-0.006140159643334444
Feat 78,0.014419148697866568,-0.011712621657295056,-0.002706527040575566
Feat 79,-0.017021308905061722,0.017653517075370214,-0.00063220817031381
Feat 80,0.007197643554541558,-0.014463587802986502,0.007265944248448222
Feat 81,0.008856973086981497,0.017116346165003897,-0.025973319251979772
Feat 82,-0.001431988112292392,0.010321586490778327,-0.008889598378482553
Feat 83,-0.05949535733565907,0.03164621522369139,0.027849142111974645
Feat 84,0.0023387919986856817,-0.004923619427535051,0.002584827428847448
Feat 85,0.020203333492004018,0.022371604930963098,-0.04257493842295898
