,congruent,incongruent,neutral
Feat 1,-0.001376578133071227,0.004703679492786754,-0.0033271013597173534
Feat 2,-0.006350375762807513,0.014347103301462012,-0.007996727538713158
Feat 3,0.009901809174501178,0.010874051161601743,-0.020775860336059607
Feat 4,-0.02683897143271381,0.007009496524791228,0.019829474907919482
Feat 5,0.0016977702840080106,0.004982251514977049,-0.0066800217989216575
Feat 6,-0.004375182098470552,0.010783442164992912,-0.006408260066563828
Feat 7,0.023242558113037323,-0.020671076713665193,-0.0025714813993715185
Feat 8,0.038181941077827665,0.00285210659763756,-0.041034047675470336
Feat 9,-0.00021685191885136585,0.008215561449373368,-0.00799870953046571
Feat 10,0.0026483730500502503,-0.0038684098499090504,0.0012200367999201179
Feat 11,0.023200019222611733,-0.009520875097965148,-0.01367914412462709
Feat 12,-0.019043108189795318,-0.0004180854571618141,0.019461193646967453
Feat 13,-0.002465840525094078,0.0022024031351873413,0.00026343738985783963
Feat 14,0.01011018115521552,-0.0037111419084755425,-0.006399039246727574
Feat 15,-0.01605963334834775,0.026075425763054005,-0.010015792414698597
Feat 16,-0.01061944230208595,-0.021628169748301777,0.032247612050434964
Feat 17,-0.010627637634267384,-0.0010657729227020584,0.011693410557021585
Feat 18,-0.029865469646299415,0.0023410819113840868,0.027524387734881306
Feat 19,-0.00608158891137228,-0.005456692948991878,0.011538281860399272
Feat 20,0.020765529113235766,0.0024996970255896068,-0.023265226138803913
Feat 21,-0.0012103276231491076,0.000641032280044075,0.0005692953431200446
Feat 22,0.0043219124259299335,-0.018074172821649463,0.013752260395757174
Feat 23,0.0022156351653293558,0.003970190032473741,-0.006185825197826669
Feat 24,0.0172033118152995,-0.003458680065994048,-0.013744631749322899
Feat 25,-0.0017482839146182722,0.013651357456049892,-0.011903073541395953
Feat 26,-0.021546555461583076,0.0003198950696497563,0.02122666039197007
Feat 27,0.006108108353168303,-0.026138773681192756,0.020030665328054496
Feat 28,-0.017146765839442864,-0.023428913135044846,0.04057567897443788
Feat 29,-0.012499737795638195,0.01656520912603194,-0.004065471330428004
Feat 30,0.0009961026444698213,0.015955971211953947,-0.016952073856435615
Feat 31,-0.018150627215927303,0.018842684870313577,-0.0006920576544213605
Feat 32,0.015925636640269036,-0.004854978627511763,-0.01107065801273821
Feat 33,0.0006414249035091584,-0.013091388441903648,0.012449963538339357
Feat 34,-0.021993965422375725,-0.00639352643281915,0.02838749185517367
Feat 35,-0.007950522655648039,-0.021064833948145668,0.029015356603768118
Feat 36,0.002689381639266357,0.026650454066646994,-0.029339835705919685
Feat 37,0.03813672828352174,-0.010275826189285363,-0.027860902094236924
Feat 38,0.013241792742805814,-0.02106844563838021,0.007826652895594251
Feat 39,0.041472042454193184,-0.03610708961108867,-0.005364952843149451
Feat 40,0.009756941523272453,-0.01875306517025348,0.00899612364697846
Feat 41,0.001338568608943535,0.01211219805768782,-0.01345076666665739
Feat 42,0.014689626030519196,-0.03649312212043188,0.021803496089907403
Feat 43,-0.014483326886688654,0.003928727871924302,0.01055459901479441
