,anger,disgust,fear
Brodmann area 20,-0.6017595540719103,-0.10826561104350259,0.7100251651154235
Brodmann area 38,0.3125953092817192,-0.08468269270983123,-0.22791261657188794
Brodmann area 36,0.14229643085343974,-0.32830353879436064,0.18600710794092007
Brodmann area 21,0.35541428024698857,-0.1575696640243137,-0.19784461622267238
Brodmann area 28,0.16061206479635168,0.3278519369268514,-0.4884640017232037
Brodmann area 11,0.8216162987475422,-0.12498695107389837,-0.6966293476736419
Dentate,-0.06173737651861164,-0.07180642740401558,0.13354380392262785
Brodmann area 35,-0.13711069861919425,-0.03602561747964668,0.17313631609883942
Brodmann area 47,-0.3921982625147411,0.16161323096782643,0.23058503154691054
Hippocampus,-0.2706491541525232,-0.3150331410602421,0.5856822952127658
Brodmann area 34,-0.2231022219764139,0.10949565759721802,0.11360656437919345
Amygdala,0.22857405239074885,0.14897705305839493,-0.3775511054491437
Brodmann area 18,0.3681006763460823,-0.1526482869794546,-0.21545238936662853
Brodmann area 37,0.2884504991991406,0.12960132163686405,-0.4180518208360054
Brodmann area 25,-0.17575611554222,-0.062262208065451616,0.2380183236076693
Brodmann area 17,-0.3047429463894583,-0.05311974192700756,0.35786268831646245
Brodmann area 19,-0.0430539934415596,0.32311072506497956,-0.28005673162342104
Optic Tract,0.04650968394023432,-0.08797260914238872,0.041462925202153375
Hypothalamus,0.08917754974816103,-0.2514722613218533,0.1622947115736913
Brodmann area 13,0.015020553214779336,-0.5323856939849787,0.5173651407702055
Substania Nigra,-0.18063158385944725,-0.02585415768444027,0.2064857415438905
Red Nucleus,0.10376301758868438,0.0340363318635058,-0.13779934945219058
Caudate Tail,-0.144510143583321,0.08797102885855707,0.05653911472476203
Mammillary Body,-0.1490510720304809,0.18496305000468927,-0.03591197797420935
Putamen,-0.09038954070410746,-0.15941580343445408,0.24980534413856237
Brodmann area 32,-0.3253816800965867,0.2535833540037902,0.07179832609280115
Brodmann area 10,0.07064278567030698,-0.10725382407169874,0.03661103840139028
Brodmann area 30,0.2525409048452988,0.3639084517222782,-0.6164493565675799
Brodmann area 27,-0.31487893187854993,-0.15898198990406634,0.47386092178261796
Medial Geniculum Body,0.22006337282008875,0.07081728604787595,-0.2908806588679611
Brodmann area 22,-0.34690822781029274,0.5964359500358356,-0.24952772222554134
Lateral Globus Pallidus,0.24344261039834975,-0.15156776296844163,-0.09187484742990468
Subthalamic Nucleus,-0.26796374888232155,0.36184246269183984,-0.09387871380952681
Medial Globus Pallidus,0.12858420236840756,0.08478293906332288,-0.21336714143173102
Caudate Head,0.3346390672419577,-0.3979328931974892,0.06329382595552908
Brodmann area 24,0.5275878989565566,-0.013459719218965738,-0.5141281797375815
Lateral Geniculum Body,0.22843989693742936,-0.5045866944747358,0.27614679753729676
Anterior Commissure,-0.18295609639236235,0.3733272056658165,-0.19037110927345582
Corpus Callosum,0.08747526169360578,0.3498758786473336,-0.43735114034094247
Ventral Posterior Lateral Nucleus,0.09886822909067666,-0.15624470970405469,0.057376480613376836
Ventral Posterior Medial Nucleus,-0.38644604089577667,0.15407888041697504,0.23236716047879957
Brodmann area 45,-0.16975134249590848,0.49424777455108987,-0.32449643205518597
Brodmann area 46,-0.2667461505434584,-0.02932951485885745,0.2960756654023162
Pulvinar,0.5349444431088596,0.18004360481222925,-0.7149880479210813
Medial Dorsal Nucleus,-0.06219126511991587,0.186122634297817,-0.12393136917790264
Ventral Lateral Nucleus,-0.05689955461102295,0.2651428331425776,-0.20824327853155972
Ventral Anterior Nucleus,-0.30514402987273215,0.04043995589088412,0.26470407398184087
Brodmann area 29,-0.1579920379306637,-0.29162868456698543,0.4496207224976523
Brodmann area 41,-0.4393797363491393,0.06443194066797352,0.3749477956811636
Brodmann area 42,-0.06600658878428023,-0.33855012206510404,0.40455671084938477
Brodmann area 6,0.0882248290448744,-0.17491918019787805,0.08669435115300313
Anterior Nucleus,0.26180527592391967,-0.046783089534201426,-0.21502218638971965
Brodmann area 44,-0.02427336438127963,-0.20667601916302805,0.23094938354430955
Caudate Body,-0.13575195901205223,0.0006151892677716791,0.13513676974427832
Brodmann area 39,-0.13927983841485753,-0.20636405391528698,0.34564389233014914
Brodmann area 23,0.035506072424980446,0.21525591850407277,-0.25076199092905405
Lateral Posterior Nucleus,-0.16599699148194802,-0.20909586049070614,0.3750928519726585
Brodmann area 43,0.42246436804769766,0.21726380539035142,-0.6397281734380594
Brodmann area 31,0.10231141272004489,-0.25206695730984546,0.14975554458979895
Brodmann area 40,0.263357254089095,0.1782009604116023,-0.4415582145007006
Lateral Dorsal Nucleus,-0.12516386015336328,0.036587213817841184,0.08857664633552557
Midline Nucleus,0.1217112854574871,-0.16050485294269742,0.03879356748521183
Brodmann area 4,-0.23172554580315902,0.07369264697390723,0.15803289882925406
Brodmann area 9,-0.021301564260737905,0.1343366159039336,-0.11303505164319323
Brodmann area 33,-0.0927575574194376,-0.34112031609040233,0.43387787350984264
Brodmann area 2,0.23191621996177259,-0.09468440679832314,-0.1372318131634494
Brodmann area 1,0.014930736893847088,-0.35583194766519666,0.3409012107713457
Brodmann area 3,-0.061225205461794,0.2995656901947524,-0.2383404847329555
Brodmann area 7,-0.07087604748549162,-0.10739238199207479,0.17826842947757005
Brodmann area 8,-0.18186321215898915,0.15908139572015917,0.022781816438827616
Brodmann area 5,0.05938855772970231,0.03679529202489297,-0.09618384975459583
subject,-0.020393033444414906,-0.003516652573905417,0.023909686018320074
