,congruent,incongruent,neutral
Brodmann area 20,0.7302161453844777,-0.10355584076399652,-0.6266603046204865
Brodmann area 38,-0.1923880408324998,-0.12288433330403799,0.3152723741365383
Brodmann area 36,-0.4242615138427725,0.6028503306750672,-0.17858881683229474
Brodmann area 21,0.38410095328638183,-0.27208298162428723,-0.1120179716620954
Brodmann area 28,0.4024036914220389,0.5589596665940494,-0.9613633580160881
Brodmann area 11,0.5756662349447933,0.0591525834366806,-0.6348188183814745
Dentate,0.225530511573653,0.23185135372838558,-0.45738186530204084
Brodmann area 35,0.021963269892080577,-0.7594918525356718,0.737528582643589
Brodmann area 47,-0.17201469966591376,0.4990310657652273,-0.327016366099316
Hippocampus,-0.36741442112873524,0.14841773715755616,0.21899668397117827
Brodmann area 34,0.4861594812847473,-0.579212297314335,0.09305281602958934
Amygdala,-0.1975652621216693,0.6084512624362606,-0.4108860003145936
Brodmann area 18,0.40732260882510907,-0.48109261836273864,0.07377000953762622
Brodmann area 37,0.4299139194721321,-0.8646541882783897,0.43474026880626193
Brodmann area 25,-0.443611438840015,0.12331731390926823,0.32029412493074433
Brodmann area 17,-0.37645033900212577,0.8061771713924513,-0.4297268323903233
Brodmann area 19,-0.045884133127210326,0.2033684118301864,-0.15748427870297438
Optic Tract,-0.28396684578888554,0.20864502916927052,0.07532181661961643
Hypothalamus,0.0637286048452542,0.2201971387194975,-0.2839257435647508
Brodmann area 13,0.4487979418758899,-0.3449281472116074,-0.10386979466427651
Substania Nigra,0.07041662258228151,-0.2363719249666895,0.16595530238440967
Red Nucleus,0.05025312679062548,0.2834807551683217,-0.33373388195894876
Caudate Tail,0.9025077105078682,0.15352732242946204,-1.0560350329373354
Mammillary Body,0.5056774452557246,-0.5800522404564117,0.07437479520069562
Putamen,0.30939457220928707,-0.5657258434251087,0.2563312712158168
Brodmann area 32,0.5912640474627027,-0.7201565117980866,0.1288924643353814
Brodmann area 10,0.24294202021317263,-0.17748906544169057,-0.06545295477147992
Brodmann area 30,-0.558986462477161,0.12496749124922282,0.4340189712279364
Brodmann area 27,0.3511876493676712,-0.3457434374250178,-0.005444211942657401
Medial Geniculum Body,-0.20017270520257552,0.18725553862501873,0.012917166577555797
Brodmann area 22,-0.6463518588696452,0.17190955665596214,0.47444230221368516
Lateral Globus Pallidus,0.08551539698831936,0.18664766470233937,-0.27216306169065785
Subthalamic Nucleus,-0.03644108014654361,0.24304198012712197,-0.20660089998057735
Medial Globus Pallidus,0.021875113631925226,-0.052925764504036785,0.031050650872112735
Caudate Head,-0.13593252491770286,0.2208203779220824,-0.08488785300437725
Brodmann area 24,-0.4020719916369563,0.4563166102451663,-0.054244618608214314
Lateral Geniculum Body,0.11720428701928758,0.2219362394585415,-0.33914052647782944
Anterior Commissure,-0.010854852268248245,-0.13393522241059144,0.1447900746788399
Corpus Callosum,0.18008229100167927,-0.3519065351848846,0.17182424418320452
Ventral Posterior Lateral Nucleus,0.13079716187851503,-0.06841362419602985,-0.06238353768248388
Ventral Posterior Medial Nucleus,-0.3667459496324407,0.2894090141998699,0.07733693543257256
Brodmann area 45,-0.8009835355235765,-0.10135867385334282,0.9023422093769187
Brodmann area 46,-0.37077140756198507,0.6240730736918471,-0.253301666129863
Pulvinar,-0.2614583908668452,-0.34978344931960614,0.6112418401864541
Medial Dorsal Nucleus,0.26039485286550196,-0.39336485723976955,0.13297000437427017
Ventral Lateral Nucleus,-0.7584868055272146,0.7869919622185197,-0.028505156691300604
Ventral Anterior Nucleus,-0.35795796206392644,0.20867497974930088,0.1492829823146294
Brodmann area 29,-0.30361342819515474,0.4155171229597815,-0.11190369476462529
Brodmann area 41,-0.025788460872632635,0.12984728864563025,-0.10405882777299973
Brodmann area 42,-0.19030736482536922,0.0035874738652319355,0.18671989096013814
Brodmann area 6,-0.1816276492521058,-0.3314551957258819,0.5130828449779925
Anterior Nucleus,-0.07283437090273828,-0.19632067364762687,0.2691550445503633
Brodmann area 44,0.17706225941627385,0.39484743808688966,-0.5719096975031583
Caudate Body,-0.3377822364496716,0.2617188644386272,0.07606337201104152
Brodmann area 39,-0.5404134929579288,-1.0301652951775009,1.5705787881354318
Brodmann area 23,-0.08132687658908666,-0.19345532674821514,0.27478220333730247
Lateral Posterior Nucleus,-0.165739900915089,-0.06525983459442539,0.2309997355095151
Brodmann area 43,0.32225558698373047,-0.2570564549719663,-0.06519913201176444
Brodmann area 31,0.2729040863984372,0.5569811715204216,-0.8298852579188531
Brodmann area 40,0.1422997929673154,-0.11633800725096852,-0.02596178571634744
Lateral Dorsal Nucleus,-0.12751993446267332,-0.007944577152806873,0.13546451161547915
Midline Nucleus,0.8034188462385897,-0.1277186732973015,-0.6757001729412938
Brodmann area 4,0.4107023678017458,0.12901858045912376,-0.5397209482608696
Brodmann area 9,-0.6923799206464999,0.3538318838587452,0.33854803678775525
Brodmann area 33,0.08037780073835443,0.3506302510192397,-0.43100805175759505
Brodmann area 2,0.29695928709527425,-0.4945646647213165,0.1976053776260367
Brodmann area 1,-0.13246180307373906,0.21877645962127507,-0.08631465654753577
Brodmann area 3,0.1691959737524762,0.008216049534863263,-0.17741202328734013
Brodmann area 7,0.20552375297851624,0.007293552851895696,-0.21281730583041028
Brodmann area 8,0.20767636265757944,-0.4381416616265062,0.2304652989689228
Brodmann area 5,-0.11693330787068498,-0.09333579165124542,0.21026909952192918
subject,-0.0332202017759549,0.011818948236125197,0.021401253539832833
