Feat 1,Feat 2,Feat 3,subject,true_label,predicted_label
-0.46898034,2.361316,-9.174207,8,anger,disgust
0.38145256,0.84623635,-10.384031,8,anger,disgust
-0.024221927,0.98921376,-9.896569,8,fear,disgust
-3.0202649,-2.5951746,-7.324948,8,fear,disgust
-5.365602,-4.501239,-6.2813807,8,disgust,fear
-3.8999467,-3.3233738,-6.8928943,8,disgust,fear
-17.737202,-12.511218,-2.3679025,18,anger,fear
-17.640696,-13.954087,-0.239923,18,anger,fear
-17.677025,-14.077344,-7.408466,18,anger,fear
-18.227295,-14.504463,0.92084044,18,fear,anger
-17.661976,-12.285042,-3.4777555,18,disgust,fear
-17.433964,-14.513147,0.38712394,18,disgust,fear
-17.524302,-13.736393,-6.337204,18,disgust,fear
-14.421576,-5.387612,9.165663,28,fear,anger
-16.423172,-2.6042676,12.128053,28,fear,anger
-17.334064,-4.6478233,12.394146,28,fear,anger
-13.50848,-5.153566,10.934316,28,disgust,anger
-17.039837,-1.5942705,10.987162,28,disgust,anger
-17.05908,-2.9748654,13.309138,28,disgust,anger
