Feat 1,Feat 2,Feat 3,filename,subject,emotion,priming,true_label,predicted_label,error_count
-44.222496,13.064843,19.355413,./emotion-fmri-neu/cp003_beta_fear_incongruent_c0.nii.gz,3,fear,incongruent,fear,anger,1
-41.75567,68.52629,196.81583,./emotion-fmri-neu/cp027_beta_anger_incongruent_c0.nii.gz,27,anger,incongruent,anger,fear,1
-21.605381,1.1551007,-6.508259,./emotion-fmri-neu/cp009_beta_disgust_congruent_c0.nii.gz,9,disgust,congruent,disgust,fear,1
-21.577696,0.63253343,-6.690654,./emotion-fmri-neu/cp009_beta_anger_congruent_c0.nii.gz,9,anger,congruent,anger,fear,1
-20.119713,0.9304894,-4.2876625,./emotion-fmri-neu/cp009_beta_disgust_incongruent_c0.nii.gz,9,disgust,incongruent,disgust,fear,1
-19.88288,0.2379506,-4.3344226,./emotion-fmri-neu/cp009_beta_anger_incongruent_c0.nii.gz,9,anger,incongruent,anger,fear,1
-19.84407,-2.1782331,-1.4994401,./emotion-fmri-neu/cp009_beta_anger_neutral_c0.nii.gz,9,anger,neutral,anger,fear,1
-19.295969,0.084988534,-1.9075078,./emotion-fmri-neu/cp009_beta_disgust_neutral_c0.nii.gz,9,disgust,neutral,disgust,fear,1
-18.227295,-14.504463,0.92084044,./emotion-fmri-neu/cp018_beta_fear_incongruent_c0.nii.gz,18,fear,incongruent,fear,anger,1
-17.761904,-12.895166,-1.4117895,./emotion-fmri-neu/cp018_beta_fear_congruent_c0.nii.gz,18,fear,congruent,fear,anger,1
-17.661976,-12.285042,-3.4777555,./emotion-fmri-neu/cp018_beta_disgust_congruent_c0.nii.gz,18,disgust,congruent,disgust,anger,1
-17.524302,-13.736393,-6.337204,./emotion-fmri-neu/cp018_beta_disgust_neutral_c0.nii.gz,18,disgust,neutral,disgust,anger,1
-17.43892,-13.540471,-5.696104,./emotion-fmri-neu/cp018_beta_fear_neutral_c0.nii.gz,18,fear,neutral,fear,anger,1
-17.433964,-14.513147,0.38712394,./emotion-fmri-neu/cp018_beta_disgust_incongruent_c0.nii.gz,18,disgust,incongruent,disgust,anger,1
-17.360756,11.738392,5.786582,./emotion-fmri-neu/cp013_beta_disgust_neutral_c0.nii.gz,13,disgust,neutral,disgust,anger,1
-17.334064,-4.6478233,12.394146,./emotion-fmri-neu/cp028_beta_fear_neutral_c0.nii.gz,28,fear,neutral,fear,anger,1
-17.32004,-0.48847592,-3.882817,./emotion-fmri-neu/cp020_beta_anger_congruent_c0.nii.gz,20,anger,congruent,anger,fear,1
-17.05908,-2.9748654,13.309138,./emotion-fmri-neu/cp028_beta_disgust_neutral_c0.nii.gz,28,disgust,neutral,disgust,anger,1
-17.039837,-1.5942705,10.987162,./emotion-fmri-neu/cp028_beta_disgust_incongruent_c0.nii.gz,28,disgust,incongruent,disgust,anger,1
-16.423172,-2.6042676,12.128053,./emotion-fmri-neu/cp028_beta_fear_incongruent_c0.nii.gz,28,fear,incongruent,fear,anger,1
-15.975949,10.621664,5.0982337,./emotion-fmri-neu/cp013_beta_disgust_incongruent_c0.nii.gz,13,disgust,incongruent,disgust,anger,1
-15.599881,12.761633,-13.945704,./emotion-fmri-neu/cp023_beta_disgust_neutral_c0.nii.gz,23,disgust,neutral,disgust,anger,1
-14.851872,14.559316,-12.179686,./emotion-fmri-neu/cp023_beta_fear_congruent_c0.nii.gz,23,fear,congruent,fear,anger,1
-14.796217,6.733873,2.7158108,./emotion-fmri-neu/cp013_beta_fear_neutral_c0.nii.gz,13,fear,neutral,fear,anger,1
-14.6158285,9.228774,5.2011113,./emotion-fmri-neu/cp013_beta_fear_congruent_c0.nii.gz,13,fear,congruent,fear,anger,1
-14.421576,-5.387612,9.165663,./emotion-fmri-neu/cp028_beta_fear_congruent_c0.nii.gz,28,fear,congruent,fear,anger,1
-14.243199,14.618007,-14.395603,./emotion-fmri-neu/cp023_beta_disgust_incongruent_c0.nii.gz,23,disgust,incongruent,disgust,anger,1
-14.219901,7.4754963,2.5697136,./emotion-fmri-neu/cp013_beta_fear_incongruent_c0.nii.gz,13,fear,incongruent,fear,anger,1
-14.033264,-0.13424486,-24.529028,./emotion-fmri-neu/cp005_beta_disgust_neutral_c0.nii.gz,5,disgust,neutral,disgust,fear,1
-14.026702,8.891762,4.2448807,./emotion-fmri-neu/cp013_beta_disgust_congruent_c0.nii.gz,13,disgust,congruent,disgust,anger,1
-13.50848,-5.153566,10.934316,./emotion-fmri-neu/cp028_beta_disgust_congruent_c0.nii.gz,28,disgust,congruent,disgust,anger,1
-12.841888,0.099021904,-21.852448,./emotion-fmri-neu/cp005_beta_disgust_congruent_c0.nii.gz,5,disgust,congruent,disgust,fear,1
